t_rel_s,rate_mbit,slack_s1,slack_s2,slack_s3,chosen
-63.674,nan,31.1,20.71,10.98,S3
-62.673,nan,31.1,20.71,10.98,S3
-61.673,nan,31.1,20.71,10.98,S3
-60.673,nan,31.1,20.71,10.98,S3
-59.673,nan,31.1,20.71,10.98,S3
-58.673,nan,31.1,20.71,10.98,S3
-57.673,nan,31.1,20.71,10.98,S3
-56.673,nan,31.1,20.71,10.98,S3
-55.673,nan,31.1,20.71,10.98,S3
-54.673,nan,31.1,20.71,10.98,S3
-53.673,nan,31.1,20.71,10.98,S3
-52.673,nan,31.1,20.71,10.98,S3
-51.673,nan,31.1,20.71,10.98,S3
-50.673,nan,31.1,20.71,10.98,S3
-49.673,nan,31.1,20.71,10.98,S3
-48.673,nan,31.1,20.71,10.98,S3
-47.673,nan,31.1,20.71,10.98,S3
-46.673,nan,31.1,20.71,10.98,S3
-45.673,nan,31.1,20.71,10.98,S3
-44.673,nan,31.1,20.71,10.98,S3
-43.673,nan,31.1,20.71,10.98,S3
-42.673,nan,31.1,20.71,10.98,S3
-41.673,nan,31.1,20.71,10.98,S3
-40.673,nan,31.1,20.71,10.98,S3
-39.673,nan,31.1,20.71,10.98,S3
-38.673,nan,31.1,20.71,10.98,S3
-37.673,nan,31.1,20.71,10.98,S3
-36.673,nan,31.1,20.71,10.98,S3
-35.673,nan,31.1,20.71,10.98,S3
-34.673,nan,31.1,20.71,10.98,S3
-33.673,nan,31.1,20.71,10.98,S3
-32.673,nan,31.1,20.71,10.98,S3
-31.673,nan,31.1,20.71,10.98,S3
-30.673,nan,31.1,20.71,10.98,S3
-29.674,nan,31.1,20.71,10.98,S3
-28.673,nan,31.1,20.71,10.98,S3
-27.673,nan,31.1,20.71,10.98,S3
-26.673,nan,31.1,20.71,10.98,S3
-25.673,nan,31.1,20.71,10.98,S3
-24.673,nan,31.1,20.71,10.98,S3
-23.673,nan,31.1,20.71,10.98,S3
-22.673,nan,31.1,20.71,10.98,S3
-21.673,nan,31.1,20.71,10.98,S3
-20.674,nan,31.1,20.71,10.98,S3
-19.673,nan,31.1,20.71,10.98,S3
-18.673,nan,31.1,20.71,10.98,S3
-17.673,nan,31.1,20.71,10.98,S3
-16.673,nan,31.1,20.71,10.98,S3
-15.674,nan,31.1,20.71,10.98,S3
-14.673,nan,31.1,20.71,10.98,S3
-13.673,nan,31.1,20.71,10.98,S3
-12.673,nan,31.1,20.71,10.98,S3
-11.673,nan,31.1,20.71,10.98,S3
-10.673,nan,31.1,20.71,10.98,S3
-9.673,nan,31.1,20.71,10.98,S3
-8.673,nan,31.1,20.71,10.98,S3
-7.673,nan,31.1,20.71,10.98,S3
-6.673,nan,31.1,20.71,10.98,S3
-5.673,nan,31.1,20.71,10.98,S3
-4.673,nan,31.1,20.71,10.98,S3
-3.673,nan,31.1,20.71,10.98,S3
-2.673,nan,31.1,20.71,10.98,S3
-1.673,nan,31.1,20.71,10.98,S3
