site,band,kbit,n,e2e_p50_ms,e2e_p95_ms,slo_verdict,expected,match
site_s3,정상,20000,600,30.71,31.21,이내,이내,O
site_s3,Fair,4500,600,37.45,38.01,이내,이내(아슬),O
site_s3,Poor,2300,600,45.71,46.26,초과,초과,O
site_s3,극단,1600,601,53.22,53.75,초과,초과,O
site_s2,정상,20000,600,20.8,22.91,이내,,O
site_s2,Fair,4500,600,27.74,28.64,이내,,O
site_s2,Poor,2300,600,36.38,37.34,이내,이내,O
site_s2,극단,1600,600,44.06,44.83,이내,초과,불일치
site_s1,정상,20000,600,6.78,10.47,이내,,O
site_s1,Fair,4500,600,13.94,16.96,이내,,O
site_s1,Poor,2300,600,22.83,24.14,이내,,O
site_s1,극단,1600,600,30.68,31.91,이내,이내,O
