section,unit,n,S1%,S2%,S3%,viol%,corrected_p95
pre,c1_reserve,10501,0.0,0.0,100.0,0.048,26.858
pre,c1_search,15753,0.0,0.0,100.0,0.0,29.611
pre,c1_recommend,21002,0.0,0.0,100.0,0.019,26.492
pre,c2_reserve,10501,0.0,0.0,100.0,0.009,26.92
pre,c2_search,15753,0.0,0.0,100.0,0.006,29.664
pre,c2_recommend,21002,0.0,0.0,100.0,0.014,26.575
during,c1_reserve,10234,0.0,0.0,100.0,0.078,27.796
during,c1_search,15349,0.0,100.0,0.0,0.339,38.719
during,c1_recommend,20465,0.0,0.0,100.0,0.303,27.951
during,c2_reserve,10233,0.0,0.0,100.0,0.029,26.361
during,c2_search,15350,0.0,0.0,100.0,0.0,29.314
during,c2_recommend,20466,0.0,0.0,100.0,0.024,26.362
post,c1_reserve,10426,0.0,0.0,100.0,0.048,26.866
post,c1_search,15641,0.0,0.0,100.0,0.045,29.589
post,c1_recommend,20854,0.0,0.0,100.0,0.038,26.487
post,c2_reserve,10427,0.0,0.0,100.0,0.038,26.914
post,c2_search,15642,0.0,0.0,100.0,0.032,29.666
post,c2_recommend,20854,0.0,0.0,100.0,0.034,26.564
