t,S1%,S2%,S3%,n
-60,0.0,0.0,100.0,13
-59,0.0,0.0,100.0,136
-58,0.0,0.0,100.0,133
-57,0.0,0.0,100.0,135
-56,0.0,0.0,100.0,133
-55,0.0,0.0,100.0,134
-54,0.0,0.0,100.0,132
-53,0.0,0.0,100.0,134
-52,0.0,0.0,100.0,133
-51,0.0,0.0,100.0,134
-50,0.0,0.0,100.0,132
-49,0.0,0.0,100.0,133
-48,0.0,0.0,100.0,135
-47,0.0,0.0,100.0,133
-46,0.0,0.0,100.0,134
-45,0.0,0.0,100.0,132
-44,0.0,0.0,100.0,134
-43,0.0,0.0,100.0,133
-42,0.0,0.0,100.0,134
-41,0.0,0.0,100.0,132
-40,0.0,0.0,100.0,133
-39,0.0,0.0,100.0,135
-38,0.0,0.0,100.0,133
-37,0.0,0.0,100.0,134
-36,0.0,0.0,100.0,132
-35,0.0,0.0,100.0,134
-34,0.0,0.0,100.0,133
-33,0.0,0.0,100.0,134
-32,0.0,0.0,100.0,132
-31,0.0,0.0,100.0,133
-30,0.0,0.0,100.0,135
-29,0.0,0.0,100.0,133
-28,0.0,0.0,100.0,134
-27,0.0,0.0,100.0,132
-26,0.0,0.0,100.0,134
-25,0.0,0.0,100.0,133
-24,0.0,0.0,100.0,134
-23,0.0,0.0,100.0,132
-22,0.0,0.0,100.0,133
-21,0.0,0.0,100.0,135
-20,0.0,0.0,100.0,133
-19,0.0,0.0,100.0,134
-18,0.0,0.0,100.0,132
-17,0.0,0.0,100.0,134
-16,0.0,0.0,100.0,133
-15,0.0,0.0,100.0,134
-14,0.0,0.0,100.0,132
-13,0.0,0.0,100.0,133
-12,0.0,0.0,100.0,135
-11,0.0,0.0,100.0,133
-10,0.0,0.0,100.0,134
-9,0.0,0.0,100.0,132
-8,0.0,0.0,100.0,134
-7,0.0,0.0,100.0,133
-6,0.0,0.0,100.0,134
-5,0.0,0.0,100.0,132
-4,0.0,0.0,100.0,133
-3,0.0,0.0,100.0,135
-2,0.0,0.0,100.0,133
-1,0.0,0.0,100.0,134
0,0.0,0.0,100.0,266
1,0.0,0.0,100.0,133
2,0.0,0.0,100.0,134
3,0.0,0.0,100.0,132
4,0.0,0.0,100.0,133
5,0.0,0.0,100.0,135
6,0.0,0.0,100.0,133
7,0.0,0.0,100.0,134
8,0.0,0.0,100.0,132
9,0.0,0.0,100.0,134
10,0.0,0.0,100.0,133
11,0.0,0.0,100.0,134
12,0.0,0.0,100.0,132
13,0.0,0.0,100.0,133
14,0.0,0.0,100.0,135
15,0.0,0.0,100.0,133
16,0.0,0.0,100.0,134
17,0.0,0.0,100.0,132
18,0.0,0.0,100.0,134
19,0.0,0.0,100.0,133
20,0.0,0.0,100.0,134
21,0.0,0.0,100.0,132
22,0.0,0.0,100.0,133
23,0.0,0.0,100.0,135
24,0.0,0.0,100.0,133
25,0.0,0.0,100.0,134
26,0.0,0.0,100.0,132
27,0.0,0.0,100.0,134
28,0.0,0.0,100.0,133
