conn,seq,scheduled_ts,send_ts,end_ts,status,bytes_recv,request_id,warmup,service_ms,corrected_ms,ep
0,0,1785688782.613714,1785688782.614831,1785688782.646532,200,4474,e5c8cef2-b0cf-4671-937e-acc6176eb38e,1,31.701,32.818,-
1,0,1785688782.663714,1785688782.664912,1785688782.695455,200,4474,3da9ee5a-4084-49f0-84d8-d54530e3ff95,1,30.543,31.741,-
0,1,1785688782.713714,1785688782.713871,1785688782.743646,200,4474,5fb4ecb8-cd79-4d0c-a18b-dbc361856625,1,29.775,29.932,-
1,1,1785688782.763714,1785688782.763869,1785688782.793383,200,4474,ae1260e2-a28f-4382-8caf-415c2b56d7a1,1,29.514,29.669,-
0,2,1785688782.813714,1785688782.813859,1785688782.843494,200,4474,27aaebab-1510-4968-959d-47e79241a981,1,29.635,29.780,-
1,2,1785688782.863714,1785688782.863856,1785688782.893639,200,4474,4ed56069-2e6e-4432-823e-48774ff0826d,1,29.784,29.925,-
0,3,1785688782.913714,1785688782.913844,1785688782.943942,200,4474,e2b40e09-16fd-4396-b6fa-72ea2712fa19,1,30.097,30.227,-
1,3,1785688782.963714,1785688782.963796,1785688782.993334,200,4474,f7e07f6a-0f15-4370-a1ef-b085ee74ef09,1,29.538,29.620,-
0,4,1785688783.013714,1785688783.013845,1785688783.043635,200,4474,8a2fe6df-c4b4-404a-88fa-ae2d17676309,1,29.789,29.920,-
1,4,1785688783.063714,1785688783.063843,1785688783.093516,200,4474,4f099cef-1efc-49f2-9225-bba8b1ad3c89,1,29.673,29.801,-
0,5,1785688783.113714,1785688783.113842,1785688783.143364,200,4474,7c66171f-7310-45ea-982e-2b6cb0ce5274,1,29.522,29.650,-
1,5,1785688783.163714,1785688783.163837,1785688783.194138,200,4474,36c4566e-83ce-49c3-aff7-35784762bb06,1,30.301,30.424,-
0,6,1785688783.213714,1785688783.213843,1785688783.244218,200,4474,640aaad9-4bf7-4d3a-a0fe-b21c9a155958,1,30.376,30.504,-
1,6,1785688783.263714,1785688783.263837,1785688783.293379,200,4474,323507f3-1366-4677-a0cb-9ff58c5d69bf,1,29.542,29.665,-
0,7,1785688783.313714,1785688783.313836,1785688783.343350,200,4474,c1411ebf-c276-4c68-ab71-042e89baa705,1,29.513,29.635,-
1,7,1785688783.363714,1785688783.363836,1785688783.393214,200,4474,1a12c398-49e1-4a5e-bb19-bd5591c5c7c5,1,29.378,29.500,-
0,8,1785688783.413714,1785688783.413838,1785688783.443451,200,4474,38fc21d4-5480-4c76-a459-4f8272762ad0,1,29.613,29.737,-
1,8,1785688783.463714,1785688783.463795,1785688783.493507,200,4474,b3fc07d3-f7ef-4a06-b199-8e050931da2b,1,29.712,29.793,-
0,9,1785688783.513714,1785688783.513835,1785688783.543618,200,4474,328a10a8-6522-4026-93ed-6c4e8aaf9550,1,29.783,29.904,-
1,9,1785688783.563714,1785688783.563845,1785688783.593381,200,4474,945b4ce8-90cf-4a57-8a22-7d91b9566c33,1,29.535,29.666,-
0,10,1785688783.613714,1785688783.613850,1785688783.643361,200,4474,2765dace-828e-4e70-bad2-9e76f6f1744e,1,29.511,29.647,-
1,10,1785688783.663714,1785688783.663838,1785688783.693411,200,4474,bcc3f405-1503-446a-95f8-e2bd7c8e4a25,1,29.573,29.697,-
0,11,1785688783.713714,1785688783.713844,1785688783.743290,200,4474,702d847f-a884-433c-8255-ef0e344d32f3,1,29.447,29.576,-
1,11,1785688783.763714,1785688783.763839,1785688783.794157,200,4474,f98bf66e-1773-4a36-a03c-4d21d5b9185b,1,30.318,30.443,-
0,12,1785688783.813714,1785688783.813834,1785688783.843362,200,4474,8d66f016-c9a7-41d8-969e-c6d25ca038ed,1,29.528,29.648,-
1,12,1785688783.863714,1785688783.863838,1785688783.894722,200,4474,88ca7d6e-341a-4dae-bf3f-bf895d630c73,1,30.884,31.008,-
0,13,1785688783.913714,1785688783.913848,1785688783.943550,200,4474,eeb46501-3643-45ba-be3d-786096837bc5,1,29.702,29.836,-
1,13,1785688783.963714,1785688783.963837,1785688783.993323,200,4474,4c5a02a5-9515-4e47-ac5c-3ab4cb9e5eb0,1,29.486,29.609,-
0,14,1785688784.013714,1785688784.013849,1785688784.043377,200,4474,ac5464cd-580f-4444-8e8d-55e91a4eef04,1,29.529,29.663,-
1,14,1785688784.063714,1785688784.063836,1785688784.093642,200,4474,e5d6194b-71f7-4e1a-924b-70aded7dcb1b,1,29.806,29.928,-
0,15,1785688784.113714,1785688784.113836,1785688784.143265,200,4474,de527a8a-d3ea-47f9-99bb-e13add0883e7,1,29.429,29.551,-
1,15,1785688784.163714,1785688784.163834,1785688784.193338,200,4474,d4a6ee04-3bb1-4d72-bcdd-4b58477d591d,1,29.504,29.624,-
