run_id,policy,disturb,endpoint,n,n_viol,viol_rate
A_none_site_s3,site_s3,none,reserve,10666,4,0.000375
A_none_site_s3,site_s3,none,search,16002,5,0.000312
A_none_site_s3,site_s3,none,recommend,21333,3,0.000141
A_none_bl_rr,bl_rr,none,reserve,10667,28,0.002625
A_none_bl_rr,bl_rr,none,search,16001,93,0.005812
A_none_bl_rr,bl_rr,none,recommend,21333,63,0.002953
A_none_bl_lr,bl_lr,none,reserve,10668,18,0.001687
A_none_bl_lr,bl_lr,none,search,16001,479,0.029936
A_none_bl_lr,bl_lr,none,recommend,21331,139,0.006516
A_none_bl_loc,bl_loc,none,reserve,8495,8495,1.0
A_none_bl_loc,bl_loc,none,search,12741,12741,1.0
A_none_bl_loc,bl_loc,none,recommend,16986,16986,1.0
A_radio_site_s3,site_s3,radio,reserve,10217,341,0.033376
A_radio_site_s3,site_s3,radio,search,15323,15323,1.0
A_radio_site_s3,site_s3,radio,recommend,20428,7588,0.371451
A_radio_bl_rr,bl_rr,radio,reserve,10218,572,0.05598
A_radio_bl_rr,bl_rr,radio,search,15321,5946,0.388095
A_radio_bl_rr,bl_rr,radio,recommend,20432,1650,0.080756
A_radio_bl_lr,bl_lr,radio,reserve,10217,145,0.014192
A_radio_bl_lr,bl_lr,radio,search,15324,6316,0.412164
A_radio_bl_lr,bl_lr,radio,recommend,20429,1195,0.058495
A_radio_bl_loc,bl_loc,radio,reserve,7487,7487,1.0
A_radio_bl_loc,bl_loc,radio,search,11230,11230,1.0
A_radio_bl_loc,bl_loc,radio,recommend,14974,14974,1.0
A_server_site_s3,site_s3,server,reserve,10253,285,0.027797
A_server_site_s3,site_s3,server,search,15377,1129,0.073421
A_server_site_s3,site_s3,server,recommend,20503,918,0.044774
A_server_bl_rr,bl_rr,server,reserve,10253,24,0.002341
A_server_bl_rr,bl_rr,server,search,15376,90,0.005853
A_server_bl_rr,bl_rr,server,recommend,20502,64,0.003122
A_server_bl_lr,bl_lr,server,reserve,10252,20,0.001951
A_server_bl_lr,bl_lr,server,search,15377,508,0.033036
A_server_bl_lr,bl_lr,server,recommend,20502,146,0.007121
A_server_bl_loc,bl_loc,server,reserve,8146,8146,1.0
A_server_bl_loc,bl_loc,server,search,12216,12216,1.0
A_server_bl_loc,bl_loc,server,recommend,16287,16287,1.0
