run_id,policy,t_rel_s,n_c1_search,c1_search_viol_pct,c1_search_viol_pct_roll3,rate_kbit
B_ramp_site_s3,site_s3,0,133,0.0,0.0,
B_ramp_site_s3,site_s3,1,134,0.0,0.5051,
B_ramp_site_s3,site_s3,2,132,1.5152,0.5051,
B_ramp_site_s3,site_s3,3,134,0.0,0.5051,
B_ramp_site_s3,site_s3,4,134,0.0,0.0,
B_ramp_site_s3,site_s3,5,133,0.0,0.0,
B_ramp_site_s3,site_s3,6,132,0.0,0.0,
B_ramp_site_s3,site_s3,7,134,0.0,0.0,
B_ramp_site_s3,site_s3,8,134,0.0,0.0,
B_ramp_site_s3,site_s3,9,134,0.0,0.0,
B_ramp_site_s3,site_s3,10,132,0.0,0.5013,
B_ramp_site_s3,site_s3,11,133,1.5038,0.5013,
B_ramp_site_s3,site_s3,12,134,0.0,0.5013,
B_ramp_site_s3,site_s3,13,134,0.0,0.0,
B_ramp_site_s3,site_s3,14,133,0.0,0.0,
B_ramp_site_s3,site_s3,15,132,0.0,0.0,
B_ramp_site_s3,site_s3,16,134,0.0,0.0,
B_ramp_site_s3,site_s3,17,134,0.0,0.0,
B_ramp_site_s3,site_s3,18,134,0.0,0.0,
B_ramp_site_s3,site_s3,19,132,0.0,0.0,
B_ramp_site_s3,site_s3,20,133,0.0,0.0,
B_ramp_site_s3,site_s3,21,134,0.0,0.0,
B_ramp_site_s3,site_s3,22,134,0.0,0.0,
B_ramp_site_s3,site_s3,23,133,0.0,0.0,
B_ramp_site_s3,site_s3,24,132,0.0,0.0,
B_ramp_site_s3,site_s3,25,133,0.0,0.0,
B_ramp_site_s3,site_s3,26,135,0.0,0.0,
B_ramp_site_s3,site_s3,27,133,0.0,0.0,
B_ramp_site_s3,site_s3,28,133,0.0,0.0,
B_ramp_site_s3,site_s3,29,133,0.0,0.0,
B_ramp_site_s3,site_s3,30,134,0.0,0.0,
B_ramp_site_s3,site_s3,31,134,0.0,0.0,
B_ramp_site_s3,site_s3,32,133,0.0,0.0,
B_ramp_site_s3,site_s3,33,132,0.0,0.0,
B_ramp_site_s3,site_s3,34,133,0.0,0.0,
