run_id,target_rps,mix,site,class,n,join_rate,achieved_rps_total,fc_p50,fc_p95,fc_p99,svc_p95,cor_p95,viol_rate
t1c_s3mix_r1200,1200,mixed,S3,recommend,96014,1.0,1200.0,0.827,1.7,2.887,27.132,27.209,0.000531
t1c_s3mix_r1200,1200,mixed,S3,reserve,48006,1.0,1200.0,1.231,2.299,3.648,27.715,27.789,0.000792
t1c_s3mix_r1200,1200,mixed,S3,search,72012,1.0,1200.0,3.827,5.827,8.232,31.274,31.356,0.001041
t1c_s3mix_r1600,1600,mixed,S3,recommend,128024,1.0,1600.0,1.953,4.815,7.142,30.24,30.325,0.003656
t1c_s3mix_r1600,1600,mixed,S3,reserve,64008,1.0,1600.0,2.866,6.047,8.652,31.465,31.539,0.006796
t1c_s3mix_r1600,1600,mixed,S3,search,96016,1.0,1600.0,8.657,14.263,19.271,39.687,39.762,0.009675
t1c_s3mix_r400,400,mixed,S3,recommend,32006,1.0,400.0,0.418,0.622,1.351,26.04,26.278,0.000187
t1c_s3mix_r400,400,mixed,S3,reserve,16004,1.0,400.0,0.767,0.884,1.598,26.343,26.586,0.000125
t1c_s3mix_r400,400,mixed,S3,search,24002,1.0,400.0,3.022,3.833,4.45,29.275,29.502,0.0
t1c_s3mix_r800,800,mixed,S3,recommend,64008,1.0,800.0,0.561,1.202,1.846,26.617,26.729,0.000266
t1c_s3mix_r800,800,mixed,S3,reserve,32008,1.0,800.0,0.88,1.432,2.036,26.855,26.973,0.000375
t1c_s3mix_r800,800,mixed,S3,search,48004,1.0,800.0,3.158,4.264,5.244,29.703,29.822,0.000187
