band,band_kbit,class,site,slo_ms,gb_ms,d_net_ms,d_acc_ms,fc_budget_ms,feasible,observed
무제한,,search,S1,45.0,5.0,2.0,0.0,38.0,1,
무제한,,search,S2,45.0,5.0,15.0,0.0,25.0,1,
무제한,,search,S3,45.0,5.0,25.0,0.0,15.0,1,
무제한,,reserve,S1,35.0,5.0,2.0,0.0,28.0,1,
무제한,,reserve,S2,35.0,5.0,15.0,0.0,15.0,1,
무제한,,reserve,S3,35.0,5.0,25.0,0.0,5.0,1,
무제한,,recommend,S1,35.0,5.0,2.0,0.0,28.0,1,
무제한,,recommend,S2,35.0,5.0,15.0,0.0,15.0,1,
무제한,,recommend,S3,35.0,5.0,25.0,0.0,5.0,1,
20000k(정상),20000,search,S1,45.0,5.0,2.0,1.97,36.03,1,
20000k(정상),20000,search,S2,45.0,5.0,15.0,1.97,23.03,1,
20000k(정상),20000,search,S3,45.0,5.0,25.0,1.97,13.03,1,
20000k(정상),20000,reserve,S1,35.0,5.0,2.0,0.02,27.98,1,
20000k(정상),20000,reserve,S2,35.0,5.0,15.0,0.02,14.98,1,
20000k(정상),20000,reserve,S3,35.0,5.0,25.0,0.02,4.98,1,
20000k(정상),20000,recommend,S1,35.0,5.0,2.0,0.09,27.91,1,
20000k(정상),20000,recommend,S2,35.0,5.0,15.0,0.09,14.91,1,
20000k(정상),20000,recommend,S3,35.0,5.0,25.0,0.09,4.91,1,
4500k(완화),4500,search,S1,45.0,5.0,2.0,8.75,29.25,1,
4500k(완화),4500,search,S2,45.0,5.0,15.0,8.75,16.25,1,
4500k(완화),4500,search,S3,45.0,5.0,25.0,8.75,6.25,1,0.06 %(야간 D2 4500k×800) — 예산 양수라 변별 자체가 없다
4500k(완화),4500,reserve,S1,35.0,5.0,2.0,0.07,27.93,1,
4500k(완화),4500,reserve,S2,35.0,5.0,15.0,0.07,14.93,1,
4500k(완화),4500,reserve,S3,35.0,5.0,25.0,0.07,4.93,1,
4500k(완화),4500,recommend,S1,35.0,5.0,2.0,0.39,27.61,1,
4500k(완화),4500,recommend,S2,35.0,5.0,15.0,0.39,14.61,1,
4500k(완화),4500,recommend,S3,35.0,5.0,25.0,0.39,4.61,1,
2300k(poor),2300,search,S1,45.0,5.0,2.0,17.12,20.88,1,
2300k(poor),2300,search,S2,45.0,5.0,15.0,17.12,7.88,1,
2300k(poor),2300,search,S3,45.0,5.0,25.0,17.12,-2.12,0,phase4 poor 계열에서 S3 search 배제(계단 성립 구간)
2300k(poor),2300,reserve,S1,35.0,5.0,2.0,0.14,27.86,1,
2300k(poor),2300,reserve,S2,35.0,5.0,15.0,0.14,14.86,1,
2300k(poor),2300,reserve,S3,35.0,5.0,25.0,0.14,4.86,1,
2300k(poor),2300,recommend,S1,35.0,5.0,2.0,0.77,27.23,1,
2300k(poor),2300,recommend,S2,35.0,5.0,15.0,0.77,14.23,1,
2300k(poor),2300,recommend,S3,35.0,5.0,25.0,0.77,4.23,1,
1600k(extreme),1600,search,S1,45.0,5.0,2.0,24.61,13.39,1,"0.4~2.4 %(K비 ≤ 0.92) / 83.6 %(K비 1.65, 용량 초과)"
1600k(extreme),1600,search,S2,45.0,5.0,15.0,24.61,0.39,1,10.1 %(L200·21 rps) → 45.9 %(L1400·170) → 99.4 %(버스트)
1600k(extreme),1600,search,S3,45.0,5.0,25.0,24.61,-9.61,0,"100 % (전 부하·전 정책, f_c 3.8~5.7 ms 로 서버는 한가)"
1600k(extreme),1600,reserve,S1,35.0,5.0,2.0,0.2,27.8,1,
1600k(extreme),1600,reserve,S2,35.0,5.0,15.0,0.2,14.8,1,0 %(L200) → 0.3~13 %(L1400)
1600k(extreme),1600,reserve,S3,35.0,5.0,25.0,0.2,4.8,1,0 %(L200) → 0.9~4.4 %(L1400)
1600k(extreme),1600,recommend,S1,35.0,5.0,2.0,1.1,26.9,1,
1600k(extreme),1600,recommend,S2,35.0,5.0,15.0,1.1,13.9,1,0.1 %(L200) → 6.5~21 %(L1400)
1600k(extreme),1600,recommend,S3,35.0,5.0,25.0,1.1,3.9,1,0 %(L200) → 34~60 %(L1400·166~388 rps)
