run_id,policy,disturb,n_pre,n_during,n_post,byte_dev_pre,byte_dev_during,byte_dev_post,join_rate,achieved_rps_pre,achieved_rps_during,achieved_rps_post,achieved_ratio_during,disturb_len_s,during_window_rel,s1_knee_ratio_pre,s1_knee_ratio_during,s1_knee_ratio_expected,s1_share_during,unjoined_during,clock_off_p50_ms
A_none_site_s3,site_s3,none,96000,96001,95999,0.0,0.0,0.0,1.0,800.0,800.01,799.99,1.0,,120.0-240.0,0.0,0.0,0.0,0.0,0,-10.573
A_none_bl_rr,bl_rr,none,95999,96000,96001,0.0,0.0,0.0,1.0,799.99,800.0,800.01,1.0,,120.0-240.0,0.667,0.667,0.67,0.333333,0,1.625
A_none_bl_lr,bl_lr,none,96000,95999,95995,0.0,0.0,0.0,1.0,800.0,799.99,799.96,1.0,,120.0-240.0,0.796,0.799,0.56,0.399442,0,8.496
A_none_bl_loc,bl_loc,none,76252,76380,76448,0.0,0.0,0.0,1.0,635.43,636.5,637.07,0.7956,,120.0-240.0,1.143,1.143,1.14,0.571406,0,6.114
A_radio_site_s3,site_s3,radio,94525,91936,93799,0.0,0.0,0.0,1.0,799.99,800.01,800.01,1.0,118.92,123.2-238.1,0.0,0.0,0.0,0.0,0,1.381
A_radio_bl_rr,bl_rr,radio,94476,91944,93846,0.0,0.0,0.0,1.0,800.02,800.03,799.98,1.0,118.93,123.1-238.1,0.667,0.667,0.67,0.333377,0,0.742
A_radio_bl_lr,bl_lr,radio,94501,91938,93824,0.0,0.0,0.0,1.0,800.1,799.99,799.91,1.0,118.92,123.2-238.1,0.798,0.795,0.56,0.397409,0,0.804
A_radio_bl_loc,bl_loc,radio,75154,72881,75044,0.0,0.0,0.0,1.0,636.0,634.15,640.06,0.7927,118.93,123.2-238.1,1.143,1.143,1.14,0.571425,0,-1.124
A_server_site_s3,site_s3,server,94524,92264,94270,0.0,0.0,0.0,1.0,800.0,800.01,800.0,1.0,119.33,122.7-238.1,0.0,0.0,0.0,0.0,0,-4.599
A_server_bl_rr,bl_rr,server,94515,92261,94282,0.0,0.0,0.0,1.0,799.99,800.0,799.99,1.0,119.33,122.7-238.1,0.667,0.667,0.67,0.333326,0,-12.961
A_server_bl_lr,bl_lr,server,94530,92260,94269,0.0,0.0,0.0,1.0,799.98,799.99,799.99,1.0,119.33,122.8-238.1,0.796,0.803,0.56,0.401507,0,-17.181
A_server_bl_loc,bl_loc,server,75141,73694,75118,0.0,0.0,0.0,1.0,636.64,637.9,637.79,0.7974,119.53,122.6-238.1,1.143,1.143,1.14,0.571417,0,-13.642
B_ramp_site_s3,site_s3,ramp,46427,188013,45824,0.0,0.0,0.0,1.0,800.0,799.96,799.98,1.0,239.03,63.1-298.1,0.0,0.0,0.0,0.0,0,-7.672
B_ramp_bl_rr,bl_rr,ramp,46558,187900,45799,0.0,0.0,0.0,1.0,800.0,799.98,799.96,1.0,238.88,63.3-298.1,0.667,0.667,0.67,0.333342,0,1.094
B_ramp_bl_lr,bl_lr,ramp,46479,187915,45865,0.0,0.0,0.0,1.0,799.94,799.99,799.98,1.0,238.9,63.1-298.0,0.794,0.798,0.56,0.399101,0,5.525
B_ramp_bl_loc,bl_loc,ramp,36982,148569,36485,0.0,0.0,0.0,1.0,636.24,632.64,635.97,0.7908,238.84,63.2-298.0,1.143,1.143,1.14,0.571438,0,11.98
