run_id,policy,disturb,section,cohort,endpoint,n,n_viol,viol_rate,corrected_p50,corrected_p95,corrected_p99
A_none_site_s3,site_s3,none,pre,1,reserve,10668,6,0.000562,26.491,27.353,28.509
A_none_site_s3,site_s3,none,pre,1,search,15999,7,0.000438,30.206,31.858,33.463
A_none_site_s3,site_s3,none,pre,1,recommend,21333,6,0.000281,26.259,27.07,27.952
A_none_site_s3,site_s3,none,pre,2,reserve,10667,4,0.000375,26.409,27.174,28.241
A_none_site_s3,site_s3,none,pre,2,search,15999,11,0.000688,30.197,31.906,33.585
A_none_site_s3,site_s3,none,pre,2,recommend,21334,7,0.000328,26.246,27.124,28.157
A_none_site_s3,site_s3,none,during,1,reserve,10666,4,0.000375,26.465,27.267,28.11
A_none_site_s3,site_s3,none,during,1,search,16002,5,0.000312,30.178,31.77,33.224
A_none_site_s3,site_s3,none,during,1,recommend,21333,3,0.000141,26.238,27.035,27.724
A_none_site_s3,site_s3,none,during,2,reserve,10667,3,0.000281,26.401,27.051,27.901
A_none_site_s3,site_s3,none,during,2,search,16001,4,0.00025,30.168,31.779,33.34
A_none_site_s3,site_s3,none,during,2,recommend,21332,6,0.000281,26.237,27.056,27.869
A_none_site_s3,site_s3,none,post,1,reserve,10666,10,0.000938,26.459,27.258,28.014
A_none_site_s3,site_s3,none,post,1,search,15999,11,0.000688,30.17,31.769,33.324
A_none_site_s3,site_s3,none,post,1,recommend,21334,15,0.000703,26.238,27.052,27.913
A_none_site_s3,site_s3,none,post,2,reserve,10666,8,0.00075,26.397,27.08,27.929
A_none_site_s3,site_s3,none,post,2,search,16000,14,0.000875,30.156,31.796,33.238
A_none_site_s3,site_s3,none,post,2,recommend,21334,18,0.000844,26.236,27.08,28.029
A_none_bl_rr,bl_rr,none,pre,1,reserve,10668,14,0.001312,5.141,26.339,26.558
A_none_bl_rr,bl_rr,none,pre,1,search,15999,58,0.003625,16.79,30.28,32.639
A_none_bl_rr,bl_rr,none,pre,1,recommend,21333,33,0.001547,11.08,26.101,26.475
A_none_bl_rr,bl_rr,none,pre,2,reserve,10668,11,0.001031,26.202,26.442,27.021
A_none_bl_rr,bl_rr,none,pre,2,search,15998,44,0.00275,19.018,30.312,31.966
A_none_bl_rr,bl_rr,none,pre,2,recommend,21333,32,0.0015,11.138,26.089,26.406
A_none_bl_rr,bl_rr,none,during,1,reserve,10667,28,0.002625,5.647,26.343,26.605
A_none_bl_rr,bl_rr,none,during,1,search,16001,93,0.005812,16.989,30.279,34.038
A_none_bl_rr,bl_rr,none,during,1,recommend,21333,63,0.002953,11.111,26.101,26.487
A_none_bl_rr,bl_rr,none,during,2,reserve,10665,21,0.001969,26.192,26.436,27.037
A_none_bl_rr,bl_rr,none,during,2,search,16002,79,0.004937,18.716,30.318,32.357
A_none_bl_rr,bl_rr,none,during,2,recommend,21332,55,0.002578,11.093,26.095,26.515
