policy,cohort,pre_S1_pct,pre_S2_pct,pre_S3_pct,during_S1_pct,during_S2_pct,during_S3_pct,post_S1_pct,post_S2_pct,post_S3_pct,max_delta_pp,pre_search_viol_pct,pre_all_viol_pct,during_search_viol_pct,during_all_viol_pct,search_viol_delta_pp
site_s3,1,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.025,0.028,100.0,50.583,99.975
site_s3,2,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.051,0.038,0.046,0.041,-0.005
site_s3,all,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.038,0.033,50.023,25.312,49.985
bl_rr,1,35.388,29.213,35.399,34.298,31.15,34.552,35.411,29.205,35.384,1.937,0.438,0.265,38.809,17.768,38.371
bl_rr,2,31.276,37.456,31.268,32.378,35.514,32.108,31.258,37.459,31.283,1.942,0.406,0.243,2.362,1.142,1.956
bl_rr,all,33.332,33.334,33.333,33.338,33.332,33.33,33.334,33.332,33.333,0.006,0.422,0.254,20.585,9.455,20.163
bl_lr,1,40.082,36.753,23.165,39.524,36.881,23.596,39.901,36.979,23.12,0.558,3.213,1.354,41.216,16.654,38.003
bl_lr,2,39.697,37.665,22.638,39.958,37.435,22.607,40.102,37.177,22.721,0.261,2.883,1.244,3.061,1.325,0.178
bl_lr,all,39.89,37.209,22.901,39.741,37.158,23.101,40.001,37.078,22.921,0.2,3.048,1.299,22.14,8.99,19.092
bl_loc,1,57.536,28.308,14.156,57.573,28.459,13.968,57.305,28.482,14.213,0.188,100.0,100.0,100.0,100.0,0.0
bl_loc,2,56.753,28.835,14.412,56.772,28.671,14.557,56.987,28.659,14.353,0.164,100.0,100.0,100.0,100.0,0.0
bl_loc,all,57.144,28.572,14.284,57.142,28.573,14.285,57.145,28.571,14.284,0.002,100.0,100.0,100.0,100.0,0.0
