policy,disturb,section,site,n,share_pct,fc_p50,fc_p95,fc_p99
site_s3,none,pre,S3,96000,100.0,1.045,5.535,6.808
site_s3,none,during,S3,96001,100.0,1.022,5.448,6.688
site_s3,server,pre,S3,94524,100.0,1.021,5.498,6.845
site_s3,server,during,S3,92264,100.0,3.426,16.66,23.215
bl_rr,none,pre,S1,32000,33.334,0.556,13.578,24.369
bl_rr,none,pre,S2,31999,33.333,1.168,8.062,10.628
bl_rr,none,pre,S3,32000,33.334,0.836,4.74,5.398
bl_rr,none,during,S1,32000,33.333,0.559,13.967,26.422
bl_rr,none,during,S2,32000,33.333,1.163,8.051,10.258
bl_rr,none,during,S3,32000,33.333,0.833,4.729,5.324
bl_rr,server,pre,S1,31505,33.333,1.758,17.408,31.58
bl_rr,server,pre,S2,31505,33.333,1.02,8.047,11.158
bl_rr,server,pre,S3,31505,33.333,0.752,4.431,5.013
bl_rr,server,during,S1,30753,33.333,1.775,17.48,32.143
bl_rr,server,during,S2,30754,33.334,1.022,8.062,10.887
bl_rr,server,during,S3,30754,33.334,1.01,6.621,9.232
bl_lr,none,pre,S1,38206,39.798,3.178,36.49,51.748
bl_lr,none,pre,S2,35635,37.12,1.351,9.13,12.403
bl_lr,none,pre,S3,22159,23.082,0.772,4.428,5.015
bl_lr,none,during,S1,38346,39.944,3.105,36.242,51.281
bl_lr,none,during,S2,35605,37.089,1.369,9.191,12.363
bl_lr,none,during,S3,22048,22.967,0.766,4.399,5.006
bl_lr,server,pre,S1,37640,39.818,3.154,36.239,50.399
bl_lr,server,pre,S2,35172,37.207,1.284,9.015,11.989
bl_lr,server,pre,S3,21718,22.975,0.766,4.434,5.003
bl_lr,server,during,S1,37043,40.151,3.044,36.261,51.599
bl_lr,server,during,S2,34316,37.195,1.308,9.148,12.266
bl_lr,server,during,S3,20901,22.654,0.973,6.351,8.991
bl_loc,none,pre,S1,43570,57.139,15.626,276.747,362.871
bl_loc,none,pre,S2,21789,28.575,1.026,8.749,12.553
bl_loc,none,pre,S3,10893,14.286,0.798,4.423,5.038
bl_loc,none,during,S1,43644,57.141,15.394,274.903,350.713
bl_loc,none,during,S2,21823,28.572,1.016,8.766,12.599
bl_loc,none,during,S3,10913,14.288,0.794,4.43,4.98
bl_loc,server,pre,S1,42938,57.143,15.42,277.482,364.112
bl_loc,server,pre,S2,21469,28.572,1.05,8.876,12.72
bl_loc,server,pre,S3,10734,14.285,0.784,4.394,4.969
bl_loc,server,during,S1,42110,57.142,15.72,275.916,357.652
bl_loc,server,during,S2,21057,28.574,1.041,8.891,12.988
bl_loc,server,during,S3,10527,14.285,0.93,5.707,8.016
