run_id,target_rps,mix,site,class,n,join_rate,achieved_rps_total,fc_p50,fc_p95,fc_p99,svc_p95,cor_p95,viol_rate
a_m1_r250,250,mixed,S1,recommend,5624,1.0,250.0,-0.71,3.036,11.917,5.461,5.622,0.000711
a_m1_r250,250,mixed,S1,reserve,5628,1.0,250.0,1.682,6.281,19.19,8.682,8.842,0.003021
a_m1_r250,250,mixed,S1,search,33750,1.0,250.0,6.505,16.589,43.504,18.923,19.068,0.010519
a_m1_r280,280,mixed,S1,recommend,6300,1.0,280.0,0.98,5.629,14.448,7.975,8.099,0.000635
a_m1_r280,280,mixed,S1,reserve,6300,1.0,280.0,3.855,10.888,22.689,13.276,13.405,0.003651
a_m1_r280,280,mixed,S1,search,37802,1.0,280.0,9.537,23.3,53.764,25.626,25.756,0.014629
a_m1_r310,310,mixed,S1,recommend,6974,1.0,310.0,3.442,14.041,22.391,16.434,16.631,0.003728
a_m1_r310,310,mixed,S1,reserve,6974,1.0,310.0,7.221,19.448,30.856,21.854,22.112,0.009751
a_m1_r310,310,mixed,S1,search,41854,1.0,310.0,17.224,42.953,75.398,45.28,45.46,0.051441
a_m2_r550,550,mixed,S1,recommend,12376,1.0,550.0,0.924,5.475,11.87,7.87,7.963,0.00097
a_m2_r550,550,mixed,S1,reserve,74249,1.0,550.0,-0.045,5.213,19.208,7.621,7.698,0.004835
a_m2_r550,550,mixed,S1,search,12376,1.0,550.0,7.746,14.17,29.164,16.508,16.598,0.00501
a_m2_r700,700,mixed,S1,recommend,15752,1.0,700.0,2.913,11.181,19.849,13.569,14.158,0.006793
a_m2_r700,700,mixed,S1,reserve,94502,1.0,700.0,6.263,22.234,38.466,24.668,25.099,0.020476
a_m2_r700,700,mixed,S1,search,15752,1.0,700.0,14.597,30.435,45.348,32.793,33.249,0.016188
a_m2_r850,850,mixed,S1,recommend,19133,1.0,850.2,13.04,28.849,36.613,31.269,135.76,0.668949
a_m2_r850,850,mixed,S1,reserve,114802,1.0,850.2,32.284,55.986,67.967,58.461,138.545,0.792599
a_m2_r850,850,mixed,S1,search,19135,1.0,850.2,44.198,69.717,83.901,72.073,154.936,0.85341
a_m3_r550,550,mixed,S1,recommend,74250,1.0,550.0,-0.409,3.548,12.219,5.946,6.032,0.002182
a_m3_r550,550,mixed,S1,reserve,12374,1.0,550.0,0.133,3.456,13.265,5.868,5.948,0.003798
a_m3_r550,550,mixed,S1,search,12376,1.0,550.0,7.197,11.946,23.813,14.292,14.373,0.004525
a_m3_r700,700,mixed,S1,recommend,94506,1.0,700.0,0.611,5.904,17.608,8.317,8.399,0.005185
a_m3_r700,700,mixed,S1,reserve,15748,1.0,700.0,-0.22,3.686,17.083,6.104,6.176,0.00489
a_m3_r700,700,mixed,S1,search,15752,1.0,700.0,9.074,16.006,34.233,18.35,18.414,0.008189
a_m3_r850,850,mixed,S1,recommend,114752,1.0,850.1,2.169,11.421,26.247,13.833,14.065,0.012436
a_m3_r850,850,mixed,S1,reserve,19124,1.0,850.1,0.791,10.981,23.517,13.414,13.561,0.010197
a_m3_r850,850,mixed,S1,search,19126,1.0,850.1,12.032,26.208,46.412,28.566,28.715,0.014117
