run_id,target_rps,mix,site,class,n,join_rate,achieved_rps_total,fc_p50,fc_p95,fc_p99,svc_p95,cor_p95,viol_rate
t1c_s2mix_r1000,1000,mixed,S2,recommend,80010,1.0,1000.1,5.67,15.068,22.185,30.491,30.843,0.021172
t1c_s2mix_r1000,1000,mixed,S2,reserve,40004,1.0,1000.1,7.833,18.45,26.658,33.863,33.966,0.040396
t1c_s2mix_r1000,1000,mixed,S2,search,60014,1.0,1000.1,19.415,35.587,49.921,50.988,51.085,0.119572
t1c_s2mix_r200,200,mixed,S2,recommend,16004,1.0,200.0,0.73,0.99,2.647,16.44,16.78,0.000125
t1c_s2mix_r200,200,mixed,S2,reserve,7998,1.0,200.0,1.191,1.552,3.746,17.002,17.34,0.00075
t1c_s2mix_r200,200,mixed,S2,search,12000,1.0,200.0,4.477,6.057,8.221,21.524,21.858,0.0
t1c_s2mix_r400,400,mixed,S2,recommend,32002,1.0,400.0,0.551,1.526,2.917,16.926,17.089,0.000125
t1c_s2mix_r400,400,mixed,S2,reserve,16002,1.0,400.0,0.88,1.135,2.974,16.59,16.759,0.000187
t1c_s2mix_r400,400,mixed,S2,search,24004,1.0,400.0,3.46,5.064,7.733,20.478,20.634,0.000333
t1c_s2mix_r600,600,mixed,S2,recommend,48008,1.0,600.0,1.427,2.781,4.767,18.192,18.311,0.000333
t1c_s2mix_r600,600,mixed,S2,reserve,23998,1.0,600.0,1.207,2.304,4.624,17.711,17.829,0.000458
t1c_s2mix_r600,600,mixed,S2,search,36006,1.0,600.0,5.224,7.798,11.469,23.212,23.325,0.001139
t1c_s2mix_r800,800,mixed,S2,recommend,64006,1.0,800.0,1.77,4.659,7.84,20.081,20.175,0.001187
t1c_s2mix_r800,800,mixed,S2,reserve,32004,1.0,800.0,1.861,5.138,9.107,20.535,20.62,0.001781
t1c_s2mix_r800,800,mixed,S2,search,48006,1.0,800.0,7.09,13.096,19.476,28.491,28.576,0.003437
s0_s2m0_r1200,1200,mixed,S2,recommend,96624,1.0,1154.7,19.384,39.927,51.824,55.408,7887.227,1.0
s0_s2m0_r1200,1200,mixed,S2,reserve,48312,1.0,1154.7,26.519,56.093,70.603,71.581,7870.067,1.0
s0_s2m0_r1200,1200,mixed,S2,search,72480,1.0,1154.7,68.641,125.192,157.0,140.654,7907.989,1.0
s0_s2m0_r900,900,mixed,S2,recommend,72002,1.0,900.0,4.23,11.33,16.875,26.759,26.861,0.005903
s0_s2m0_r900,900,mixed,S2,reserve,36008,1.0,900.0,5.911,13.908,20.515,29.321,29.398,0.011775
s0_s2m0_r900,900,mixed,S2,search,54009,1.0,900.0,15.373,27.458,38.19,42.851,42.929,0.035087
s0_s2m1_r570,570,mixed,S2,recommend,12826,1.0,570.0,4.928,13.314,18.887,28.709,28.81,0.009122
s0_s2m1_r570,570,mixed,S2,reserve,12826,1.0,570.0,7.745,18.212,24.771,33.601,33.704,0.0368
s0_s2m1_r570,570,mixed,S2,search,76966,1.0,570.0,20.049,35.862,50.111,51.276,51.393,0.130096
s0_s2m1_r750,750,mixed,S2,recommend,17203,1.0,663.8,18.035,48.762,65.474,64.188,26070.206,1.0
s0_s2m1_r750,750,mixed,S2,reserve,17210,1.0,663.8,25.338,63.023,83.643,78.437,26094.202,1.0
s0_s2m1_r750,750,mixed,S2,search,103276,1.0,663.8,93.076,170.748,215.278,186.149,26123.857,1.0
s0_s2m2_r1250,1250,mixed,S2,recommend,28126,1.0,1250.0,2.668,6.464,9.947,21.88,22.036,0.002915
s0_s2m2_r1250,1250,mixed,S2,reserve,168775,1.0,1250.0,3.974,9.651,15.916,25.074,25.175,0.006731
s0_s2m2_r1250,1250,mixed,S2,search,28128,1.0,1250.0,10.033,17.595,24.371,32.991,33.113,0.00647
s0_s2m2_r1650,1650,mixed,S2,recommend,37244,1.0,1644.7,9.384,22.589,29.363,38.064,1459.686,0.992616
s0_s2m2_r1650,1650,mixed,S2,reserve,223432,1.0,1644.7,22.017,40.535,50.635,56.132,1457.654,0.993466
s0_s2m2_r1650,1650,mixed,S2,search,37250,1.0,1644.7,35.386,61.24,75.649,76.7,1472.3,0.99549
