run_id,target_rps,mix,site,class,n,join_rate,achieved_rps_total,fc_p50,fc_p95,fc_p99,svc_p95,cor_p95,viol_rate
s0b_s3m0_r2100,2100,mixed,S3,recommend,168267,1.0,1773.7,12.201,33.968,47.7,59.496,32145.83,0.999453
s0b_s3m0_r2100,2100,mixed,S3,reserve,84139,1.0,1773.7,16.241,41.787,56.62,67.295,32134.986,0.998883
s0b_s3m0_r2100,2100,mixed,S3,search,126207,1.0,1773.7,47.749,103.319,135.707,128.79,32159.031,0.999667
s0b_s3m0_r2500,2500,mixed,S3,recommend,205430,1.0,2092.6,8.803,22.385,29.75,47.935,38029.647,1.0
s0b_s3m0_r2500,2500,mixed,S3,reserve,102705,1.0,2092.6,11.705,27.203,36.113,52.731,38022.326,1.0
s0b_s3m0_r2500,2500,mixed,S3,search,154084,1.0,2092.6,35.877,67.226,84.816,92.724,38041.712,1.0
s0b_s3m1_r1450,1450,mixed,S3,recommend,33344,1.0,1255.1,9.598,28.077,38.701,53.516,30551.177,1.0
s0b_s3m1_r1450,1450,mixed,S3,reserve,33346,1.0,1255.1,13.353,35.023,48.124,60.441,30570.895,1.0
s0b_s3m1_r1450,1450,mixed,S3,search,200098,1.0,1255.1,59.132,110.049,140.605,135.507,30587.557,1.0
s0b_s3m1_r900,900,mixed,S3,recommend,20255,1.0,900.2,1.348,4.223,18.376,29.619,29.91,0.030708
s0b_s3m1_r900,900,mixed,S3,reserve,20255,1.0,900.2,2.394,6.06,26.809,31.494,31.814,0.038114
s0b_s3m1_r900,900,mixed,S3,search,121562,1.0,900.2,6.243,14.154,95.148,39.599,39.699,0.043591
s0b_s3m2_r2400,2400,mixed,S3,recommend,54008,1.0,2400.0,1.928,4.267,6.293,29.696,30.071,0.009628
s0b_s3m2_r2400,2400,mixed,S3,reserve,324052,1.0,2400.0,2.893,6.455,9.992,31.907,32.052,0.014334
s0b_s3m2_r2400,2400,mixed,S3,search,54010,1.0,2400.0,7.737,12.86,18.057,38.301,38.458,0.009146
s0b_s3m2_r3300,3300,mixed,S3,recommend,76612,1.0,2764.4,3.388,10.586,14.731,36.11,39028.03,1.0
s0b_s3m2_r3300,3300,mixed,S3,reserve,459681,1.0,2764.4,7.269,18.548,24.471,44.17,39027.382,1.0
s0b_s3m2_r3300,3300,mixed,S3,search,76619,1.0,2764.4,16.882,32.102,39.427,57.675,39031.883,1.0
