run_id,target_rps,mix,site,class,n,join_rate,achieved_rps_total,fc_p50,fc_p95,fc_p99,svc_p95,cor_p95,viol_rate
s0_b1600_r160,160,mixed,S1,recommend,12800,1.0,160.0,-0.866,-0.548,6.952,4.171,4.381,0.000391
s0_b1600_r160,160,mixed,S1,reserve,6400,1.0,160.0,-0.427,-0.067,10.462,3.764,3.995,0.001406
s0_b1600_r160,160,mixed,S1,search,9602,1.0,160.0,2.721,6.12,16.839,33.352,33.579,0.008644
s0_b1600_r200,200,mixed,S1,recommend,16000,1.0,200.0,-0.861,0.003,6.308,4.692,4.859,0.00025
s0_b1600_r200,200,mixed,S1,reserve,8000,1.0,200.0,-0.425,0.146,5.237,3.991,4.175,0.002125
s0_b1600_r200,200,mixed,S1,search,12002,1.0,200.0,4.387,7.509,16.126,34.728,34.927,0.007665
s0_b1600_r250,250,mixed,S1,recommend,20000,1.0,250.0,-0.351,1.927,7.322,6.596,6.73,0.0004
s0_b1600_r250,250,mixed,S1,reserve,9998,1.0,250.0,0.368,1.248,8.743,5.076,5.231,0.002701
s0_b1600_r250,250,mixed,S1,search,15004,1.0,250.0,5.924,9.787,19.636,36.984,37.14,0.01393
s0_b1600_r280,280,mixed,S1,recommend,22400,1.0,280.0,-0.794,1.166,8.952,5.835,5.952,0.000223
s0_b1600_r280,280,mixed,S1,reserve,11200,1.0,280.0,-0.442,0.682,12.033,4.532,4.666,0.001339
s0_b1600_r280,280,mixed,S1,search,16802,1.0,280.0,3.438,6.617,19.011,33.801,33.936,0.012022
s0_b1600_r340,340,mixed,S1,recommend,27203,1.0,340.0,0.741,3.632,12.369,8.292,8.392,0.001507
s0_b1600_r340,340,mixed,S1,reserve,13600,1.0,340.0,0.185,1.946,11.755,5.787,5.893,0.003162
s0_b1600_r340,340,mixed,S1,search,20402,1.0,340.0,6.817,11.314,25.38,38.513,38.622,0.023037
s0_b1600_r370,370,mixed,S1,recommend,29602,1.0,370.0,-0.483,3.253,10.897,7.933,8.048,0.001689
s0_b1600_r370,370,mixed,S1,reserve,14800,1.0,370.0,-0.426,2.661,16.286,6.483,6.589,0.00473
s0_b1600_r370,370,mixed,S1,search,22202,1.0,370.0,3.666,12.007,30.01,39.201,39.32,0.027385
s0_b1600_r400,400,mixed,S1,recommend,32000,1.0,400.0,0.425,5.201,12.99,9.861,9.995,0.002875
s0_b1600_r400,400,mixed,S1,reserve,16000,1.0,400.0,0.585,5.848,18.493,9.674,9.754,0.004625
s0_b1600_r400,400,mixed,S1,search,24004,1.0,400.0,5.722,15.795,35.022,42.989,43.065,0.038994
