policy,t_rel_s,class,n,S1_pct,S2_pct,S3_pct
SORTS,0,recommend,199,0.0,55.78,44.22
SORTS,0,reserve,102,0.0,69.61,30.39
SORTS,0,search,149,0.0,50.34,49.66
SORTS,1,recommend,201,0.0,55.22,44.78
SORTS,1,reserve,98,0.0,65.31,34.69
SORTS,1,search,150,0.0,55.33,44.67
SORTS,2,recommend,199,0.0,54.27,45.73
SORTS,2,reserve,102,0.0,55.88,44.12
SORTS,2,search,151,0.0,60.26,39.74
SORTS,3,recommend,202,0.0,55.94,44.06
SORTS,3,reserve,100,0.0,62.0,38.0
SORTS,3,search,148,0.0,57.43,42.57
SORTS,4,recommend,199,0.0,60.8,39.2
SORTS,4,reserve,98,0.0,57.14,42.86
SORTS,4,search,153,0.0,58.17,41.83
SORTS,5,recommend,199,0.0,54.27,45.73
SORTS,5,reserve,104,0.0,65.38,34.62
SORTS,5,search,146,0.0,56.16,43.84
SORTS,6,recommend,201,0.0,55.72,44.28
SORTS,6,reserve,96,0.0,61.46,38.54
SORTS,6,search,153,0.0,58.82,41.18
SORTS,7,recommend,199,0.0,58.29,41.71
SORTS,7,reserve,102,0.0,58.82,41.18
SORTS,7,search,150,0.0,59.33,40.67
SORTS,8,recommend,203,0.0,60.1,39.9
SORTS,8,reserve,98,0.0,60.2,39.8
SORTS,8,search,149,0.0,51.01,48.99
SORTS,9,recommend,198,0.0,60.1,39.9
SORTS,9,reserve,102,0.0,52.94,47.06
SORTS,9,search,150,0.0,61.33,38.67
SORTS,10,recommend,201,0.0,55.22,44.78
SORTS,10,reserve,100,0.0,61.0,39.0
SORTS,10,search,149,0.0,60.4,39.6
SORTS,11,recommend,199,0.0,56.78,43.22
SORTS,11,reserve,98,0.0,64.29,35.71
SORTS,11,search,153,0.0,53.59,46.41
SORTS,12,recommend,200,0.0,54.0,46.0
SORTS,12,reserve,104,0.0,54.81,45.19
SORTS,12,search,147,0.0,61.22,38.78
SORTS,13,recommend,202,0.0,49.5,50.5
SORTS,13,reserve,96,0.0,67.71,32.29
SORTS,13,search,152,0.0,61.18,38.82
SORTS,14,recommend,196,0.0,61.22,38.78
SORTS,14,reserve,102,0.0,52.94,47.06
SORTS,14,search,150,0.0,55.33,44.67
SORTS,15,recommend,202,0.0,55.45,44.55
SORTS,15,reserve,98,0.0,57.14,42.86
SORTS,15,search,149,0.0,64.43,35.57
SORTS,16,recommend,199,0.0,57.79,42.21
SORTS,16,reserve,102,0.0,56.86,43.14
SORTS,16,search,151,0.0,56.95,43.05
SORTS,17,recommend,204,0.0,58.33,41.67
SORTS,17,reserve,98,0.0,52.04,47.96
SORTS,17,search,149,0.0,59.06,40.94
SORTS,18,recommend,196,0.0,49.49,50.51
SORTS,18,reserve,102,0.0,63.73,36.27
SORTS,18,search,152,0.0,61.84,38.16
SORTS,19,recommend,202,0.0,53.47,46.53
SORTS,19,reserve,100,0.0,64.0,36.0
SORTS,19,search,147,0.0,55.1,44.9
SORTS,20,recommend,200,0.0,53.0,47.0
SORTS,20,reserve,98,0.0,62.24,37.76
SORTS,20,search,153,0.0,60.78,39.22
SORTS,21,recommend,198,0.0,49.49,50.51
SORTS,21,reserve,104,0.0,60.58,39.42
SORTS,21,search,147,0.0,65.31,34.69
SORTS,22,recommend,202,0.0,58.91,41.09
SORTS,22,reserve,96,0.0,56.25,43.75
SORTS,22,search,151,0.0,54.3,45.7
SORTS,23,recommend,197,0.0,53.3,46.7
SORTS,23,reserve,102,0.0,62.75,37.25
SORTS,23,search,151,0.0,60.26,39.74
SORTS,24,recommend,204,0.0,55.88,44.12
SORTS,24,reserve,98,0.0,61.22,38.78
SORTS,24,search,149,0.0,58.39,41.61
SORTS,25,recommend,196,0.0,52.04,47.96
SORTS,25,reserve,102,0.0,66.67,33.33
SORTS,25,search,152,0.0,59.21,40.79
SORTS,26,recommend,202,0.0,54.46,45.54
SORTS,26,reserve,100,0.0,64.0,36.0
SORTS,26,search,148,0.0,54.05,45.95
SORTS,27,recommend,200,0.0,54.0,46.0
SORTS,27,reserve,98,0.0,58.16,41.84
SORTS,27,search,151,0.0,54.97,45.03
SORTS,28,recommend,199,0.0,55.28,44.72
SORTS,28,reserve,104,0.0,56.73,43.27
SORTS,28,search,148,0.0,59.46,40.54
SORTS,29,recommend,202,0.0,54.46,45.54
SORTS,29,reserve,96,0.0,59.38,40.62
SORTS,29,search,153,0.0,60.13,39.87
SORTS,30,recommend,197,0.0,54.82,45.18
SORTS,30,reserve,102,0.0,55.88,44.12
SORTS,30,search,150,0.0,59.33,40.67
SORTS,31,recommend,202,0.0,50.5,49.5
SORTS,31,reserve,98,0.0,54.08,45.92
SORTS,31,search,149,0.0,63.09,36.91
SORTS,32,recommend,200,0.0,55.5,44.5
SORTS,32,reserve,102,0.0,57.84,42.16
SORTS,32,search,150,0.0,58.0,42.0
SORTS,33,recommend,203,0.0,56.65,43.35
SORTS,33,reserve,98,0.0,54.08,45.92
SORTS,33,search,148,0.0,58.78,41.22
SORTS,34,recommend,196,0.0,53.06,46.94
SORTS,34,reserve,102,0.0,65.69,34.31
SORTS,34,search,152,0.0,56.58,43.42
SORTS,35,recommend,202,0.0,57.92,42.08
SORTS,35,reserve,100,0.0,57.0,43.0
SORTS,35,search,148,0.0,58.11,41.89
SORTS,36,recommend,200,0.0,52.0,48.0
SORTS,36,reserve,98,0.0,59.18,40.82
SORTS,36,search,153,0.0,61.44,38.56
SORTS,37,recommend,198,0.0,55.05,44.95
SORTS,37,reserve,104,0.0,59.62,40.38
SORTS,37,search,148,0.0,60.14,39.86
SORTS,38,recommend,203,0.0,56.16,43.84
SORTS,38,reserve,96,0.0,62.5,37.5
SORTS,38,search,150,0.0,60.0,40.0
SORTS,39,recommend,196,0.0,55.61,44.39
SORTS,39,reserve,102,0.0,52.94,47.06
SORTS,39,search,152,0.0,61.84,38.16
SORTS,40,recommend,205,0.0,60.0,40.0
SORTS,40,reserve,98,0.0,55.1,44.9
SORTS,40,search,148,0.0,55.41,44.59
SORTS,41,recommend,196,0.0,52.04,47.96
SORTS,41,reserve,102,0.0,64.71,35.29
SORTS,41,search,152,0.0,55.92,44.08
SORTS,42,recommend,203,0.0,57.14,42.86
SORTS,42,reserve,100,0.0,59.0,41.0
SORTS,42,search,147,0.0,57.14,42.86
SORTS,43,recommend,198,0.0,59.6,40.4
SORTS,43,reserve,98,0.0,57.14,42.86
SORTS,43,search,152,0.0,55.92,44.08
