policy,t_rel_s,req_idx,service_ms,corrected_ms,ok
SORTS,0.004,0,28.55,28.61,1
SORTS,0.046,13,28.53,28.59,1
SORTS,0.114,26,28.93,29.02,1
SORTS,0.152,39,19.35,19.41,1
SORTS,0.193,52,20.49,20.58,1
SORTS,0.239,65,18.61,18.67,1
SORTS,0.287,78,18.9,18.96,1
SORTS,0.341,91,20.11,20.17,1
SORTS,0.39,104,19.56,19.62,1
SORTS,0.448,117,29.81,29.87,1
SORTS,0.496,130,28.3,28.41,1
SORTS,0.542,143,21.45,21.53,1
SORTS,0.585,156,20.33,20.39,1
SORTS,0.636,169,28.27,28.33,1
SORTS,0.687,182,28.77,28.83,1
SORTS,0.731,195,22.95,23.04,1
SORTS,0.781,208,28.49,28.55,1
SORTS,0.833,221,20.12,20.19,1
SORTS,0.878,234,20.09,20.16,1
SORTS,0.925,247,19.59,19.65,1
SORTS,0.973,260,20.55,20.65,1
SORTS,1.022,273,29.01,29.07,1
SORTS,1.066,286,20.82,20.89,1
SORTS,1.124,299,18.86,18.92,1
SORTS,1.18,312,30.2,30.26,1
SORTS,1.228,325,29.62,29.68,1
SORTS,1.268,338,20.3,20.36,1
SORTS,1.313,351,28.35,28.43,1
SORTS,1.364,364,19.29,19.38,1
SORTS,1.41,377,19.46,19.52,1
SORTS,1.457,390,19.43,19.5,1
SORTS,1.517,403,18.65,18.71,1
SORTS,1.564,416,28.2,28.27,1
SORTS,1.617,429,29.31,29.41,1
SORTS,1.658,442,28.15,28.24,1
SORTS,1.706,455,20.42,20.48,1
SORTS,1.751,468,28.2,28.29,1
SORTS,1.8,481,19.75,19.81,1
SORTS,1.851,494,28.21,28.3,1
SORTS,1.907,507,19.05,19.11,1
SORTS,1.956,520,20.71,20.78,1
SORTS,1.999,533,28.4,28.49,1
SORTS,2.042,546,18.91,18.97,1
SORTS,2.096,559,22.61,22.67,1
SORTS,2.142,572,19.24,19.32,1
SORTS,2.192,585,19.15,19.25,1
SORTS,2.252,598,28.87,28.94,1
SORTS,2.299,611,28.31,28.38,1
SORTS,2.341,624,20.4,20.46,1
SORTS,2.387,637,22.03,22.13,1
SORTS,2.434,650,28.36,28.45,1
SORTS,2.486,663,28.36,28.44,1
SORTS,2.53,676,29.63,29.69,1
SORTS,2.59,689,19.69,19.78,1
SORTS,2.64,702,19.12,19.18,1
SORTS,2.687,715,28.81,28.87,1
SORTS,2.726,728,20.55,20.64,1
SORTS,2.779,741,28.84,28.9,1
SORTS,2.823,754,20.12,20.18,1
SORTS,2.873,767,19.97,20.03,1
SORTS,2.921,780,28.41,28.48,1
