t_rel_s,cohort,class,slack_S1,slack_S2,slack_S3,observed_rate_kbit,d_acc_ms,subset_cluster
-63.65,c1,search,31.1,20.71,10.98,,0.0,sub_s23
-62.65,c1,search,31.1,20.71,10.98,,0.0,sub_s23
-61.65,c1,search,31.1,20.71,10.98,,0.0,sub_s23
-60.65,c1,search,31.1,20.71,10.98,,0.0,sub_s23
-59.65,c1,search,31.1,20.71,10.98,,0.0,sub_s23
-58.64,c1,search,31.1,20.71,10.98,,0.0,sub_s23
-57.64,c1,search,31.1,18.06,11.13,,0.0,sub_s23
-56.64,c1,search,31.1,18.03,11.22,,0.0,sub_s23
-55.65,c1,search,31.1,17.03,11.26,,0.0,sub_s23
-54.64,c1,search,31.1,17.31,11.31,,0.0,sub_s23
-53.64,c1,search,31.1,17.84,11.29,,0.0,sub_s23
-52.64,c1,search,31.1,17.6,11.24,,0.0,sub_s23
-51.64,c1,search,31.1,17.83,11.22,,0.0,sub_s23
-50.64,c1,search,31.1,18.07,11.22,,0.0,sub_s23
-49.64,c1,search,31.1,18.07,11.38,,0.0,sub_s23
-48.64,c1,search,31.1,18.14,11.32,,0.0,sub_s23
-47.64,c1,search,31.1,17.42,11.36,,0.0,sub_s23
-46.64,c1,search,31.1,17.01,11.21,,0.0,sub_s23
-45.64,c1,search,31.1,16.97,11.34,,0.0,sub_s23
-44.64,c1,search,31.1,17.41,11.36,,0.0,sub_s23
-43.64,c1,search,31.1,17.47,11.26,,0.0,sub_s23
-42.64,c1,search,31.1,17.65,11.31,,0.0,sub_s23
-41.64,c1,search,31.1,18.0,11.24,,0.0,sub_s23
-40.64,c1,search,31.1,18.12,11.15,,0.0,sub_s23
-39.64,c1,search,31.1,17.86,11.24,,0.0,sub_s23
-38.64,c1,search,31.1,17.21,11.39,,0.0,sub_s23
-37.64,c1,search,31.1,17.62,11.36,,0.0,sub_s23
-36.64,c1,search,31.1,17.67,11.32,,0.0,sub_s23
-35.64,c1,search,31.1,17.54,11.26,,0.0,sub_s23
-34.64,c1,search,31.1,18.43,11.35,,0.0,sub_s23
