policy,class,band,site,n,n_small,radio_ms,radio_ms_model,core_ms,backhaul_ms,backhaul_ms_meas,server_ms,server_ms_meas,total_ms,total_measured_ms,residual_ms,slo_ms
SORTS,recommend,degraded,S2,9898,0,2.59,1.1,0.05,15.0,14.85,0.52,0.67,18.16,18.16,-0.005,35.0
SORTS,recommend,degraded,S3,6763,0,2.61,1.1,0.05,25.0,24.847,0.43,0.58,28.09,28.1,-0.012,35.0
SORTS,recommend,normal,S2,22562,0,0.34,0.0,0.05,15.0,14.85,0.54,0.69,15.93,15.93,-0.005,35.0
SORTS,recommend,normal,S3,18095,0,0.35,0.0,0.05,25.0,24.847,0.46,0.61,25.86,25.86,-0.003,35.0
SORTS,reserve,degraded,S2,4655,0,1.78,0.2,0.051,15.0,14.85,0.89,1.04,17.72,17.73,-0.001,35.0
SORTS,reserve,degraded,S3,3670,0,1.77,0.2,0.051,25.0,24.847,0.72,0.87,27.53,27.54,-0.007,35.0
SORTS,reserve,normal,S2,11940,0,0.33,0.0,0.05,15.0,14.85,0.92,1.07,16.3,16.3,0.001,35.0
SORTS,reserve,normal,S3,8392,0,0.35,0.0,0.05,25.0,24.847,0.8,0.96,26.2,26.2,0.0,35.0
SORTS,search,degraded,S1,9567,0,25.93,24.61,0.052,2.0,0.349,2.6,4.25,30.58,30.61,-0.025,45.0
SORTS,search,degraded,S2,2929,0,24.89,24.61,0.052,15.0,14.85,3.17,3.32,43.11,43.14,-0.032,45.0
SORTS,search,normal,S2,17746,0,0.37,0.0,0.051,15.0,14.85,3.52,3.67,18.94,18.95,-0.012,45.0
SORTS,search,normal,S3,12746,0,0.38,0.0,0.051,25.0,24.847,2.93,3.08,28.36,28.38,-0.015,45.0
bl_loc_pri,recommend,degraded,S1,16617,0,2.59,1.1,0.05,2.0,0.34,1.46,3.12,6.1,6.12,-0.017,35.0
bl_loc_pri,recommend,normal,S1,40613,0,0.34,0.0,0.05,2.0,0.34,1.39,3.05,3.79,3.79,-0.003,35.0
bl_loc_pri,reserve,degraded,S1,8306,0,1.77,0.2,0.051,2.0,0.34,1.48,3.14,5.3,5.3,-0.004,35.0
bl_loc_pri,reserve,normal,S1,20312,0,0.34,0.0,0.05,2.0,0.34,1.37,3.03,3.76,3.77,-0.013,35.0
bl_loc_pri,search,degraded,S1,12464,0,25.14,24.61,0.051,2.0,0.34,8.44,10.1,35.63,35.63,0.003,45.0
bl_loc_pri,search,normal,S1,30470,0,0.27,0.0,0.051,2.0,0.34,8.68,10.34,11.0,11.01,-0.005,45.0
bl_lr,recommend,degraded,S1,8383,0,2.6,1.1,0.05,2.0,0.347,-0.81,0.84,3.84,3.87,-0.024,35.0
bl_lr,recommend,degraded,S2,4613,0,2.59,1.1,0.05,15.0,14.861,0.54,0.67,18.18,18.18,-0.007,35.0
bl_lr,recommend,degraded,S3,3614,0,2.6,1.1,0.05,25.0,24.848,0.47,0.62,28.12,28.12,-0.006,35.0
bl_lr,recommend,normal,S1,19883,0,0.35,0.0,0.05,2.0,0.347,-0.8,0.86,1.6,1.61,-0.014,35.0
bl_lr,recommend,normal,S2,11657,0,0.35,0.0,0.05,15.0,14.861,0.54,0.68,15.94,15.95,-0.009,35.0
bl_lr,recommend,normal,S3,9068,0,0.35,0.0,0.05,25.0,24.848,0.47,0.62,25.87,25.88,-0.008,35.0
bl_lr,reserve,degraded,S1,4436,0,1.77,0.2,0.05,2.0,0.347,-0.42,1.23,3.4,3.4,-0.004,35.0
bl_lr,reserve,degraded,S2,2246,0,1.77,0.2,0.051,15.0,14.861,0.92,1.06,17.75,17.75,-0.0,35.0
bl_lr,reserve,degraded,S3,1622,0,1.77,0.2,0.051,25.0,24.848,0.82,0.97,27.63,27.63,0.001,35.0
bl_lr,reserve,normal,S1,10559,0,0.34,0.0,0.05,2.0,0.347,-0.4,1.25,1.99,2.0,-0.01,35.0
bl_lr,reserve,normal,S2,5633,0,0.35,0.0,0.05,15.0,14.861,0.93,1.07,16.33,16.33,-0.006,35.0
bl_lr,reserve,normal,S3,4117,0,0.33,0.0,0.05,25.0,24.848,0.82,0.97,26.2,26.2,0.002,35.0
bl_lr,search,degraded,S1,6229,0,25.14,24.61,0.051,2.0,0.347,3.58,5.24,30.78,30.78,-0.003,45.0
bl_lr,search,degraded,S2,3569,0,24.9,24.61,0.051,15.0,14.861,3.2,3.33,43.15,43.23,-0.076,45.0
bl_lr,search,degraded,S3,2659,0,24.9,24.61,0.051,25.0,24.848,2.93,3.08,52.88,52.93,-0.051,45.0
bl_lr,search,normal,S1,15298,0,0.28,0.0,0.051,2.0,0.347,3.48,5.14,5.82,5.83,-0.012,45.0
bl_lr,search,normal,S2,8631,0,0.37,0.0,0.051,15.0,14.861,3.18,3.32,18.6,18.61,-0.006,45.0
bl_lr,search,normal,S3,6529,0,0.38,0.0,0.051,25.0,24.848,2.93,3.08,28.36,28.37,-0.014,45.0
