policy,class,band,site,n,n_small,radio_ms,radio_ms_model,core_ms,backhaul_ms,backhaul_ms_meas,server_ms,server_ms_meas,total_ms,total_measured_ms,residual_ms,slo_ms
SORTS,recommend,degraded,S2,9898,0,2.66,1.1,0.062,15.0,14.85,0.65,0.8,18.38,18.36,0.019,35.0
SORTS,recommend,degraded,S3,6763,0,2.7,1.1,0.062,25.0,24.847,0.55,0.7,28.3,28.26,0.046,35.0
SORTS,recommend,normal,S2,22562,0,0.41,0.0,0.056,15.0,14.85,1.36,1.51,16.83,16.78,0.049,35.0
SORTS,recommend,normal,S3,18095,0,0.45,0.0,0.056,25.0,24.847,0.68,0.83,26.18,26.11,0.076,35.0
SORTS,reserve,degraded,S2,4655,0,1.87,0.2,0.061,15.0,14.85,1.04,1.19,17.97,17.93,0.046,35.0
SORTS,reserve,degraded,S3,3670,0,1.84,0.2,0.061,25.0,24.847,0.87,1.02,27.77,27.72,0.053,35.0
SORTS,reserve,normal,S2,11940,0,0.41,0.0,0.058,15.0,14.85,1.13,1.28,16.61,16.54,0.063,35.0
SORTS,reserve,normal,S3,8392,0,0.46,0.0,0.059,25.0,24.847,0.89,1.04,26.41,26.35,0.059,35.0
SORTS,search,degraded,S1,9567,0,26.03,24.61,0.061,2.0,0.349,6.05,7.7,34.14,34.07,0.07,45.0
SORTS,search,degraded,S2,2929,0,25.08,24.61,0.063,15.0,14.85,4.07,4.22,44.22,44.09,0.127,45.0
SORTS,search,normal,S2,17746,0,0.47,0.0,0.058,15.0,14.85,5.22,5.37,20.75,20.64,0.104,45.0
SORTS,search,normal,S3,12746,0,0.48,0.0,0.058,25.0,24.847,3.64,3.79,29.18,29.07,0.103,45.0
bl_loc_pri,recommend,degraded,S1,16617,0,2.68,1.1,0.06,2.0,0.34,8.78,10.44,13.52,13.45,0.076,35.0
bl_loc_pri,recommend,normal,S1,40613,0,0.44,0.0,0.06,2.0,0.34,9.2,10.86,11.7,11.62,0.079,35.0
bl_loc_pri,reserve,degraded,S1,8306,0,1.86,0.2,0.063,2.0,0.34,11.08,12.74,15.0,14.95,0.051,35.0
bl_loc_pri,reserve,normal,S1,20312,0,0.44,0.0,0.061,2.0,0.34,11.4,13.06,13.9,13.79,0.107,35.0
bl_loc_pri,search,degraded,S1,12464,0,25.23,24.61,0.062,2.0,0.34,25.13,26.79,52.42,52.34,0.082,45.0
bl_loc_pri,search,normal,S1,30470,0,0.35,0.0,0.062,2.0,0.34,25.0,26.66,27.42,27.32,0.1,45.0
bl_lr,recommend,degraded,S1,8383,0,2.7,1.1,0.06,2.0,0.347,1.16,2.81,5.92,5.82,0.095,35.0
bl_lr,recommend,degraded,S2,4613,0,2.67,1.1,0.06,15.0,14.861,1.0,1.14,18.73,18.69,0.043,35.0
bl_lr,recommend,degraded,S3,3614,0,2.7,1.1,0.06,25.0,24.848,0.62,0.77,28.38,28.31,0.066,35.0
bl_lr,recommend,normal,S1,19883,0,0.44,0.0,0.059,2.0,0.347,1.3,2.95,3.8,3.71,0.08,35.0
bl_lr,recommend,normal,S2,11657,0,0.45,0.0,0.059,15.0,14.861,1.09,1.23,16.6,16.51,0.092,35.0
bl_lr,recommend,normal,S3,9068,0,0.44,0.0,0.059,25.0,24.848,0.64,0.8,26.14,26.06,0.078,35.0
bl_lr,reserve,degraded,S1,4436,0,1.86,0.2,0.06,2.0,0.347,0.36,2.01,4.28,4.18,0.101,35.0
bl_lr,reserve,degraded,S2,2246,0,1.86,0.2,0.062,15.0,14.861,1.06,1.2,17.99,17.93,0.056,35.0
bl_lr,reserve,degraded,S3,1622,0,1.85,0.2,0.061,25.0,24.848,0.93,1.08,27.83,27.8,0.036,35.0
bl_lr,reserve,normal,S1,10559,0,0.43,0.0,0.058,2.0,0.347,0.52,2.17,3.0,2.94,0.063,35.0
bl_lr,reserve,normal,S2,5633,0,0.44,0.0,0.059,15.0,14.861,1.09,1.23,16.59,16.52,0.068,35.0
bl_lr,reserve,normal,S3,4117,0,0.42,0.0,0.059,25.0,24.848,0.92,1.07,26.4,26.36,0.036,35.0
bl_lr,search,degraded,S1,6229,0,25.23,24.61,0.061,2.0,0.347,7.33,8.98,34.62,34.56,0.062,45.0
bl_lr,search,degraded,S2,3569,0,25.09,24.61,0.062,15.0,14.861,4.4,4.54,44.55,44.43,0.127,45.0
bl_lr,search,degraded,S3,2659,0,25.09,24.61,0.062,25.0,24.848,3.66,3.82,53.81,53.64,0.171,45.0
bl_lr,search,normal,S1,15298,0,0.36,0.0,0.059,2.0,0.347,7.21,8.87,9.64,9.55,0.084,45.0
bl_lr,search,normal,S2,8631,0,0.46,0.0,0.059,15.0,14.861,4.46,4.6,19.98,19.89,0.088,45.0
bl_lr,search,normal,S3,6529,0,0.47,0.0,0.059,25.0,24.848,3.62,3.77,29.15,29.06,0.093,45.0
