t_sec,band_kbit_c1,band_kbit_c2,lat_search_ms,lat_reserve_ms,lat_recommend_ms,slo_search,slo_reserve,slo_recommend,share_s1_pct,share_s2_pct,share_s3_pct,n_search,phase
0,,,21.88,16.41,16.5,45.0,35.0,35.0,0.0,50.34,49.66,149,pre
1,,,19.79,16.42,16.45,45.0,35.0,35.0,0.0,55.33,44.67,150,pre
2,,,20.07,16.48,16.53,45.0,35.0,35.0,0.0,60.26,39.74,151,pre
3,,,19.72,16.43,16.65,45.0,35.0,35.0,0.0,57.43,42.57,148,pre
4,,,20.0,16.49,16.43,45.0,35.0,35.0,0.0,58.17,41.83,153,pre
5,,,20.79,16.41,16.64,45.0,35.0,35.0,0.0,56.16,43.84,146,pre
6,,,19.94,16.45,16.55,45.0,35.0,35.0,0.0,58.82,41.18,153,pre
7,,,19.88,16.47,16.34,45.0,35.0,35.0,0.0,59.33,40.67,150,pre
8,,,21.19,16.46,16.32,45.0,35.0,35.0,0.0,51.01,48.99,149,pre
9,,,19.85,16.56,16.3,45.0,35.0,35.0,0.0,61.33,38.67,150,pre
10,,,19.59,16.47,16.79,45.0,35.0,35.0,0.0,60.4,39.6,149,pre
11,,,20.4,16.43,16.32,45.0,35.0,35.0,0.0,53.59,46.41,153,pre
12,,,19.65,16.57,17.12,45.0,35.0,35.0,0.0,61.22,38.78,147,pre
13,,,20.32,16.42,25.81,45.0,35.0,35.0,0.0,61.18,38.82,152,pre
14,,,19.82,16.54,16.25,45.0,35.0,35.0,0.0,55.33,44.67,150,pre
15,,,19.69,16.45,16.72,45.0,35.0,35.0,0.0,64.43,35.57,149,pre
16,,,20.16,16.5,16.52,45.0,35.0,35.0,0.0,56.95,43.05,151,pre
17,,,19.71,16.65,16.41,45.0,35.0,35.0,0.0,59.06,40.94,149,pre
18,,,19.69,16.43,25.82,45.0,35.0,35.0,0.0,61.84,38.16,152,pre
19,,,20.49,16.47,16.74,45.0,35.0,35.0,0.0,55.1,44.9,147,pre
20,,,19.93,16.45,16.85,45.0,35.0,35.0,0.0,60.78,39.22,153,pre
21,,,19.69,16.46,25.79,45.0,35.0,35.0,0.0,65.31,34.69,147,pre
22,,,20.44,16.61,16.53,45.0,35.0,35.0,0.0,54.3,45.7,151,pre
23,,,20.62,16.62,17.07,45.0,35.0,35.0,0.0,60.26,39.74,151,pre
24,,,19.63,16.44,16.75,45.0,35.0,35.0,0.0,58.39,41.61,149,pre
25,,,19.72,16.42,16.76,45.0,35.0,35.0,0.0,59.21,40.79,152,pre
26,,,20.87,16.44,16.57,45.0,35.0,35.0,0.0,54.05,45.95,148,pre
27,,,19.91,16.47,16.49,45.0,35.0,35.0,0.0,54.97,45.03,151,pre
28,,,20.05,16.56,16.65,45.0,35.0,35.0,0.0,59.46,40.54,148,pre
29,,,19.89,16.5,16.54,45.0,35.0,35.0,0.0,60.13,39.87,153,pre
30,,,19.78,16.51,16.69,45.0,35.0,35.0,0.0,59.33,40.67,150,pre
31,,,19.96,16.55,17.45,45.0,35.0,35.0,0.0,63.09,36.91,149,pre
32,,,19.77,16.51,16.66,45.0,35.0,35.0,0.0,58.0,42.0,150,pre
33,,,19.9,16.55,16.59,45.0,35.0,35.0,0.0,58.78,41.22,148,pre
34,,,20.0,16.42,16.89,45.0,35.0,35.0,0.0,56.58,43.42,152,pre
35,,,19.77,16.51,16.34,45.0,35.0,35.0,0.0,58.11,41.89,148,pre
36,,,19.81,16.45,17.57,45.0,35.0,35.0,0.0,61.44,38.56,153,pre
37,,,19.89,16.45,16.5,45.0,35.0,35.0,0.0,60.14,39.86,148,pre
38,,,19.9,16.46,16.45,45.0,35.0,35.0,0.0,60.0,40.0,150,pre
39,,,19.85,16.55,16.78,45.0,35.0,35.0,0.0,61.84,38.16,152,pre
40,,,20.51,16.55,16.34,45.0,35.0,35.0,0.0,55.41,44.59,148,pre
41,,,20.03,16.42,16.96,45.0,35.0,35.0,0.0,55.92,44.08,152,pre
42,,,19.98,16.47,16.33,45.0,35.0,35.0,0.0,57.14,42.86,147,pre
43,,,20.44,16.49,16.21,45.0,35.0,35.0,0.0,55.92,44.08,152,pre
44,,,19.77,16.47,25.78,45.0,35.0,35.0,0.0,61.49,38.51,148,pre
45,,,19.62,16.49,16.68,45.0,35.0,35.0,0.0,62.5,37.5,152,pre
46,,,19.73,16.47,17.21,45.0,35.0,35.0,0.0,60.26,39.74,151,pre
47,,,20.09,16.56,16.37,45.0,35.0,35.0,0.0,56.38,43.62,149,pre
48,,,21.35,16.45,16.7,45.0,35.0,35.0,0.0,52.67,47.33,150,pre
49,,,19.67,16.55,16.88,45.0,35.0,35.0,0.0,59.73,40.27,149,pre
50,,,20.65,16.45,16.39,45.0,35.0,35.0,0.0,52.98,47.02,151,pre
51,,,19.56,16.57,16.44,45.0,35.0,35.0,0.0,57.72,42.28,149,pre
52,,,19.68,16.45,16.5,45.0,35.0,35.0,0.0,58.55,41.45,152,pre
53,,,20.89,16.48,16.37,45.0,35.0,35.0,0.0,52.74,47.26,146,pre
54,,,19.82,16.63,16.34,45.0,35.0,35.0,0.0,56.21,43.79,153,pre
55,,,19.98,16.55,16.64,45.0,35.0,35.0,0.0,59.6,40.4,151,pre
56,,,19.98,16.49,17.39,45.0,35.0,35.0,0.0,59.46,40.54,148,pre
57,,,19.75,16.5,16.6,45.0,35.0,35.0,0.0,59.6,40.4,151,pre
58,,,20.03,16.46,16.87,45.0,35.0,35.0,0.0,58.39,41.61,149,pre
59,,,19.73,16.52,16.95,45.0,35.0,35.0,0.0,62.91,37.09,151,pre
60,,,19.75,16.48,16.96,45.0,35.0,35.0,0.0,58.11,41.89,148,pre
61,,,19.86,16.68,16.65,45.0,35.0,35.0,0.0,59.21,40.79,152,pre
62,,,19.94,16.46,16.87,45.0,35.0,35.0,0.0,59.33,40.67,150,pre
63,,,19.73,16.46,16.57,45.0,35.0,35.0,0.0,56.0,44.0,150,pre
64,,,19.55,16.54,16.57,45.0,35.0,35.0,0.0,66.23,33.77,151,pre
65,,,19.99,16.4,16.25,45.0,35.0,35.0,0.0,56.76,43.24,148,pre
66,,,19.88,16.44,16.82,45.0,35.0,35.0,0.0,60.0,40.0,150,pre
67,,,20.01,16.48,16.68,45.0,35.0,35.0,0.0,55.7,44.3,149,pre
68,,,20.41,16.53,16.44,45.0,35.0,35.0,0.0,55.56,44.44,153,pre
69,,,19.43,16.46,17.85,45.0,35.0,35.0,0.0,65.99,34.01,147,pre
70,,,19.78,16.54,16.6,45.0,35.0,35.0,0.0,59.21,40.79,152,pre
71,,,20.04,16.45,16.37,45.0,35.0,35.0,0.0,54.3,45.7,151,pre
72,,,19.85,16.51,16.63,45.0,35.0,35.0,0.0,62.84,37.16,148,pre
73,,,19.71,16.43,16.55,45.0,35.0,35.0,0.0,58.55,41.45,152,pre
74,,,19.88,16.47,16.69,45.0,35.0,35.0,0.0,60.54,39.46,147,pre
75,,,19.71,16.46,16.55,45.0,35.0,35.0,0.0,59.48,40.52,153,pre
76,,,20.6,16.43,16.54,45.0,35.0,35.0,0.0,56.08,43.92,148,pre
77,,,19.84,16.46,16.57,45.0,35.0,35.0,0.0,61.84,38.16,152,pre
78,,,20.24,16.43,16.56,45.0,35.0,35.0,0.0,54.67,45.33,150,pre
79,,,20.35,16.44,16.36,45.0,35.0,35.0,0.0,56.08,43.92,148,pre
80,,,19.87,16.5,16.94,45.0,35.0,35.0,0.0,58.94,41.06,151,pre
81,,,19.93,16.46,16.51,45.0,35.0,35.0,0.0,59.06,40.94,149,pre
82,,,19.75,16.59,16.33,45.0,35.0,35.0,0.0,64.24,35.76,151,pre
83,,,20.05,16.46,16.35,45.0,35.0,35.0,0.0,56.08,43.92,148,pre
84,,,20.35,16.46,16.33,45.0,35.0,35.0,0.0,53.95,46.05,152,pre
85,,,19.85,16.47,16.43,45.0,35.0,35.0,0.0,56.08,43.92,148,pre
86,,,19.85,16.54,17.94,45.0,35.0,35.0,0.0,64.47,35.53,152,pre
87,,,20.23,16.45,16.88,45.0,35.0,35.0,0.0,57.33,42.67,150,pre
88,,,19.99,16.46,16.71,45.0,35.0,35.0,0.0,59.06,40.94,149,pre
89,,,19.75,16.47,19.44,45.0,35.0,35.0,0.0,64.24,35.76,151,pre
90,,,19.92,16.49,16.61,45.0,35.0,35.0,0.0,57.43,42.57,148,pre
91,,,19.7,16.59,16.55,45.0,35.0,35.0,0.0,62.09,37.91,153,pre
92,,,19.91,16.47,16.79,45.0,35.0,35.0,0.0,59.18,40.82,147,pre
93,,,19.84,16.86,16.43,45.0,35.0,35.0,0.0,57.89,42.11,152,pre
94,,,20.1,16.43,16.71,45.0,35.0,35.0,0.0,59.6,40.4,151,pre
95,,,20.34,16.43,16.43,45.0,35.0,35.0,0.0,54.36,45.64,149,pre
96,,,19.99,16.51,16.56,45.0,35.0,35.0,0.0,58.28,41.72,151,pre
97,,,19.89,16.49,16.48,45.0,35.0,35.0,0.0,60.54,39.46,147,pre
98,,,19.83,16.46,16.45,45.0,35.0,35.0,0.0,59.21,40.79,152,pre
99,,,19.97,16.58,16.24,45.0,35.0,35.0,0.0,54.36,45.64,149,pre
100,,,19.9,26.1,16.25,45.0,35.0,35.0,0.0,56.58,43.42,152,pre
101,,,20.03,16.46,16.4,45.0,35.0,35.0,0.0,60.27,39.73,146,pre
102,,,19.8,16.46,16.25,45.0,35.0,35.0,0.0,54.55,45.45,154,pre
103,,,19.92,16.52,16.19,45.0,35.0,35.0,0.0,54.36,45.64,149,pre
104,,,20.02,16.45,16.46,45.0,35.0,35.0,0.0,54.36,45.64,149,pre
105,,,20.0,16.48,16.42,45.0,35.0,35.0,0.0,60.0,40.0,150,pre
106,,,20.11,16.48,16.52,45.0,35.0,35.0,0.0,57.72,42.28,149,pre
107,,,19.71,16.69,16.96,45.0,35.0,35.0,0.0,60.78,39.22,153,pre
108,,,20.1,16.49,16.37,45.0,35.0,35.0,0.0,55.1,44.9,147,pre
109,,,19.73,16.92,16.84,45.0,35.0,35.0,0.0,63.16,36.84,152,pre
110,,,20.17,16.48,16.99,45.0,35.0,35.0,0.0,57.62,42.38,151,pre
111,,,19.67,16.45,16.33,45.0,35.0,35.0,0.0,55.41,44.59,148,pre
112,,,20.23,16.52,16.45,45.0,35.0,35.0,0.0,57.62,42.38,151,pre
113,,,19.63,18.66,16.31,45.0,35.0,35.0,0.0,63.76,36.24,149,pre
114,,,19.69,16.48,16.68,45.0,35.0,35.0,0.0,60.26,39.74,151,pre
115,,,20.4,16.46,17.28,45.0,35.0,35.0,0.0,58.11,41.89,148,pre
116,,,19.7,16.47,16.93,45.0,35.0,35.0,0.0,58.17,41.83,153,pre
117,,,19.84,16.52,17.21,45.0,35.0,35.0,0.0,63.7,36.3,146,pre
118,,,19.82,16.54,16.39,45.0,35.0,35.0,0.0,56.86,43.14,153,pre
119,,,19.71,16.46,16.44,45.0,35.0,35.0,0.0,59.33,40.67,150,transition
120,,,28.38,17.8,18.28,45.0,35.0,35.0,26.85,47.65,25.5,149,transition
121,1600,,29.07,17.88,18.26,45.0,35.0,35.0,50.0,28.67,21.33,150,transition
122,1600,,29.31,17.86,18.34,45.0,35.0,35.0,49.66,30.2,20.13,149,transition
123,1600,,30.35,17.88,18.28,45.0,35.0,35.0,50.0,28.29,21.71,152,c1only
124,1600,,30.34,17.78,18.26,45.0,35.0,35.0,50.0,28.38,21.62,148,c1only
125,1600,,30.25,17.76,18.28,45.0,35.0,35.0,50.0,32.24,17.76,152,c1only
126,1600,,29.1,17.78,18.33,45.0,35.0,35.0,50.0,28.0,22.0,150,c1only
127,1600,,30.27,17.88,18.27,45.0,35.0,35.0,50.34,28.19,21.48,149,c1only
128,1600,,29.66,17.75,18.28,45.0,35.0,35.0,49.67,25.17,25.17,151,c1only
129,1600,,30.3,17.75,18.3,45.0,35.0,35.0,50.34,27.21,22.45,147,c1only
130,1600,,30.27,17.85,18.27,45.0,35.0,35.0,50.0,30.92,19.08,152,c1only
131,1600,,30.31,17.79,18.27,45.0,35.0,35.0,50.0,25.0,25.0,148,c1only
132,1600,,28.95,17.84,18.3,45.0,35.0,35.0,49.67,32.68,17.65,153,c1only
133,1600,,30.32,17.96,18.24,45.0,35.0,35.0,50.0,27.03,22.97,148,c1only
134,1600,,30.33,17.82,18.24,45.0,35.0,35.0,50.33,25.17,24.5,151,c1only
135,1600,,29.59,17.75,18.29,45.0,35.0,35.0,49.67,27.81,22.52,151,c1only
136,1600,,30.3,17.8,18.37,45.0,35.0,35.0,50.34,28.86,20.81,149,c1only
137,1600,,30.25,17.86,18.26,45.0,35.0,35.0,50.0,28.67,21.33,150,c1only
138,1600,,30.34,17.85,18.24,45.0,35.0,35.0,50.0,28.38,21.62,148,c1only
139,1600,,29.12,26.2,18.23,45.0,35.0,35.0,49.67,30.72,19.61,153,c1only
140,1600,,30.25,26.12,18.25,45.0,35.0,35.0,50.0,29.05,20.95,148,c1only
141,1600,,30.32,17.75,18.3,45.0,35.0,35.0,50.0,29.61,20.39,152,c1only
142,1600,,29.36,26.24,18.28,45.0,35.0,35.0,50.0,28.0,22.0,150,c1only
143,1600,,29.56,17.78,18.32,45.0,35.0,35.0,50.0,28.67,21.33,150,c1only
144,1600,,30.34,17.88,18.45,45.0,35.0,35.0,50.34,30.87,18.79,149,c1only
145,1600,,29.07,17.96,18.29,45.0,35.0,35.0,49.66,33.56,16.78,149,c1only
146,1600,,30.22,26.16,18.28,45.0,35.0,35.0,50.33,28.48,21.19,151,c1only
147,1600,,29.49,17.82,18.27,45.0,35.0,35.0,49.66,28.19,22.15,149,c1only
148,1600,,30.28,26.12,18.27,45.0,35.0,35.0,50.0,30.26,19.74,152,c1only
149,1600,,30.28,17.89,18.27,45.0,35.0,35.0,50.0,27.7,22.3,148,c1only
150,1600,,30.3,17.88,18.28,45.0,35.0,35.0,50.33,24.5,25.17,151,c1only
151,1600,,29.01,17.93,18.28,45.0,35.0,35.0,49.67,30.46,19.87,151,c1only
152,1600,,30.26,17.94,18.26,45.0,35.0,35.0,50.34,29.53,20.13,149,c1only
153,1600,,29.29,17.9,18.24,45.0,35.0,35.0,50.0,28.67,21.33,150,c1only
154,1600,,30.3,17.93,18.27,45.0,35.0,35.0,50.0,26.35,23.65,148,c1only
155,1600,,29.11,17.73,18.29,45.0,35.0,35.0,49.67,27.45,22.88,153,c1only
156,1600,,30.36,17.83,18.27,45.0,35.0,35.0,50.0,28.38,21.62,148,c1only
157,1600,,30.3,17.81,18.26,45.0,35.0,35.0,50.0,25.66,24.34,152,c1only
158,1600,,29.59,17.83,18.3,45.0,35.0,35.0,50.0,32.0,18.0,150,c1only
159,1600,,29.23,17.9,18.22,45.0,35.0,35.0,50.0,30.0,20.0,150,c1only
160,1600,,29.2,17.84,18.24,45.0,35.0,35.0,50.0,24.0,26.0,150,c1only
161,1600,,30.25,17.87,18.26,45.0,35.0,35.0,50.0,29.05,20.95,148,c1only
162,1600,,30.26,17.86,18.25,45.0,35.0,35.0,50.0,28.29,21.71,152,c1only
163,1600,,30.3,17.83,18.29,45.0,35.0,35.0,50.34,30.61,19.05,147,c1only
164,1600,,29.38,17.85,18.25,45.0,35.0,35.0,49.67,29.41,20.92,153,c1only
165,1600,,30.29,17.83,18.25,45.0,35.0,35.0,50.0,27.03,22.97,148,c1only
166,1600,,30.3,26.1,18.29,45.0,35.0,35.0,50.33,31.13,18.54,151,c1only
167,1600,,29.41,17.92,18.26,45.0,35.0,35.0,49.67,23.84,26.49,151,c1only
168,1600,,30.31,17.85,18.26,45.0,35.0,35.0,50.34,28.19,21.48,149,c1only
169,1600,,29.2,17.72,18.29,45.0,35.0,35.0,49.67,27.81,22.52,151,c1only
170,1600,,30.26,17.83,18.27,45.0,35.0,35.0,50.0,28.38,21.62,148,c1only
171,1600,,30.3,17.94,18.26,45.0,35.0,35.0,50.0,28.29,21.71,152,c1only
172,1600,,30.27,17.83,18.28,45.0,35.0,35.0,50.0,32.43,17.57,148,c1only
173,1600,,30.3,17.93,18.25,45.0,35.0,35.0,50.0,26.32,23.68,152,c1only
174,1600,,30.28,17.84,18.33,45.0,35.0,35.0,50.0,30.0,20.0,150,c1only
175,1600,,29.41,18.0,18.28,45.0,35.0,35.0,50.0,32.0,18.0,150,c1only
176,1600,,30.37,17.77,18.3,45.0,35.0,35.0,50.34,28.19,21.48,149,c1only
177,1600,,29.3,17.92,18.32,45.0,35.0,35.0,49.66,29.53,20.81,149,c1only
178,1600,,30.27,17.84,18.28,45.0,35.0,35.0,50.33,28.48,21.19,151,c1only
179,1600,,29.33,17.88,18.36,45.0,35.0,35.0,49.66,30.2,20.13,149,transition
180,1600,,30.87,17.91,18.38,45.0,35.0,35.0,59.6,31.79,8.61,151,transition
181,1600,1600,32.35,18.02,18.36,45.0,35.0,35.0,64.19,35.81,0.0,148,transition
182,1600,1600,32.2,27.49,18.32,45.0,35.0,35.0,63.58,36.42,0.0,151,transition
183,1600,1600,32.44,17.97,18.34,45.0,35.0,35.0,62.67,37.33,0.0,150,both
184,1600,1600,32.4,17.96,18.3,45.0,35.0,35.0,65.33,34.67,0.0,150,both
185,1600,1600,32.22,17.9,18.35,45.0,35.0,35.0,62.25,37.75,0.0,151,both
186,1600,1600,33.13,17.99,18.37,45.0,35.0,35.0,66.22,33.78,0.0,148,both
187,1600,1600,32.3,21.27,18.3,45.0,35.0,35.0,60.93,39.07,0.0,151,both
188,1600,1600,32.22,18.17,18.32,45.0,35.0,35.0,60.81,39.19,0.0,148,both
189,1600,1600,32.28,18.13,18.32,45.0,35.0,35.0,63.16,36.84,0.0,152,both
190,1600,1600,33.14,18.17,18.31,45.0,35.0,35.0,62.25,37.75,0.0,151,both
191,1600,1600,32.67,18.04,18.35,45.0,35.0,35.0,65.77,34.23,0.0,149,both
192,1600,1600,32.08,17.9,18.37,45.0,35.0,35.0,60.26,39.74,0.0,151,both
193,1600,1600,32.04,18.01,18.33,45.0,35.0,35.0,64.19,35.81,0.0,148,both
194,1600,1600,32.14,17.97,18.33,45.0,35.0,35.0,62.91,37.09,0.0,151,both
195,1600,1600,32.73,17.95,18.34,45.0,35.0,35.0,62.84,37.16,0.0,148,both
196,1600,1600,32.97,17.99,18.32,45.0,35.0,35.0,67.76,32.24,0.0,152,both
197,1600,1600,32.37,18.1,18.33,45.0,35.0,35.0,65.1,34.9,0.0,149,both
198,1600,1600,32.54,17.95,18.33,45.0,35.0,35.0,66.89,33.11,0.0,151,both
199,1600,1600,32.32,27.48,18.32,45.0,35.0,35.0,65.33,34.67,0.0,150,both
200,1600,1600,32.19,27.49,18.3,45.0,35.0,35.0,65.56,34.44,0.0,151,both
201,1600,1600,32.69,18.03,18.34,45.0,35.0,35.0,62.42,37.58,0.0,149,both
202,1600,1600,32.48,17.89,18.41,45.0,35.0,35.0,63.51,36.49,0.0,148,both
