t_sec,fc_s1_ms,fc_s1_ms_dnet,fc_s2_ms,fc_s2_ms_dnet,fc_s3_ms,fc_s3_ms_dnet,lat_search_ms,lat_reserve_ms,lat_recommend_ms,slo_search,slo_reserve,slo_recommend,share_s1_pct,share_s2_pct,share_s3_pct,n_search,phase
0,,,6.86,6.71,3.94,3.79,26.95,17.11,17.82,45.0,35.0,35.0,0.0,56.72,43.28,268,transition
1,,,7.68,7.52,3.99,3.83,27.02,17.06,17.56,45.0,35.0,35.0,0.0,59.55,40.45,267,pre
2,,,6.98,6.82,4.02,3.87,26.7,17.21,17.4,45.0,35.0,35.0,0.0,60.61,39.39,264,pre
3,,,6.98,6.82,3.97,3.82,26.59,17.23,17.19,45.0,35.0,35.0,0.0,58.15,41.85,270,pre
4,,,6.09,5.94,4.0,3.85,26.37,17.31,17.67,45.0,35.0,35.0,0.0,63.4,36.6,265,pre
5,,,7.34,7.18,3.94,3.79,26.5,17.33,17.59,45.0,35.0,35.0,0.0,59.18,40.82,267,pre
6,,,8.45,8.3,3.66,3.51,26.88,17.7,17.21,45.0,35.0,35.0,0.0,58.71,41.29,264,pre
7,,,7.65,7.5,3.9,3.75,27.17,16.96,17.52,45.0,35.0,35.0,0.0,55.81,44.19,267,pre
8,,,6.52,6.37,3.78,3.63,26.69,17.26,18.05,45.0,35.0,35.0,0.0,63.1,36.9,271,pre
9,,,6.0,5.84,4.02,3.86,26.66,17.06,17.46,45.0,35.0,35.0,0.0,57.74,42.26,265,pre
10,,,7.06,6.91,4.12,3.96,26.62,17.01,17.86,45.0,35.0,35.0,0.0,59.93,40.07,267,pre
11,,,6.59,6.43,3.92,3.77,26.86,17.39,17.52,45.0,35.0,35.0,0.0,58.71,41.29,264,pre
12,,,6.49,6.33,3.89,3.73,26.77,17.3,17.2,45.0,35.0,35.0,0.0,57.99,42.01,269,pre
13,,,6.99,6.84,3.95,3.8,26.64,17.15,17.68,45.0,35.0,35.0,0.0,58.8,41.2,267,pre
14,,,7.25,7.09,3.82,3.66,26.92,17.36,17.75,45.0,35.0,35.0,0.0,59.4,40.6,266,pre
15,,,7.79,7.64,3.89,3.74,26.93,17.1,17.42,45.0,35.0,35.0,0.0,57.2,42.8,264,pre
16,,,7.36,7.21,3.88,3.72,27.15,17.21,18.25,45.0,35.0,35.0,0.0,59.33,40.67,268,pre
17,,,7.23,7.07,3.89,3.73,27.23,17.2,17.46,45.0,35.0,35.0,0.0,55.97,44.03,268,pre
18,,,7.38,7.23,3.82,3.66,26.62,19.1,17.85,45.0,35.0,35.0,0.0,62.41,37.59,266,pre
19,,,7.7,7.55,3.92,3.76,26.82,17.42,17.4,45.0,35.0,35.0,0.0,61.34,38.66,269,pre
20,,,7.76,7.6,3.84,3.69,27.08,16.89,17.24,45.0,35.0,35.0,0.0,56.11,43.89,262,pre
21,,,7.8,7.65,3.99,3.83,27.0,17.65,17.71,45.0,35.0,35.0,0.0,61.48,38.52,270,pre
22,,,6.76,6.61,4.1,3.95,26.85,17.39,17.99,45.0,35.0,35.0,0.0,61.42,38.58,267,pre
23,,,6.14,5.98,3.77,3.62,26.57,17.68,17.66,45.0,35.0,35.0,0.0,60.15,39.85,266,pre
24,,,7.29,7.14,4.26,4.1,26.79,17.58,17.67,45.0,35.0,35.0,0.0,60.53,39.47,266,pre
25,,,7.55,7.4,4.02,3.87,27.19,17.1,17.51,45.0,35.0,35.0,0.0,56.6,43.4,265,pre
26,,,7.67,7.52,3.86,3.71,27.13,17.18,18.62,45.0,35.0,35.0,0.0,59.48,40.52,269,pre
27,,,7.39,7.24,3.81,3.66,26.19,17.21,17.53,45.0,35.0,35.0,0.0,63.53,36.47,266,pre
28,,,8.51,8.36,3.94,3.79,27.23,17.16,17.52,45.0,35.0,35.0,0.0,55.97,44.03,268,pre
29,,,7.45,7.3,4.02,3.87,27.72,17.28,17.51,45.0,35.0,35.0,0.0,54.72,45.28,265,pre
30,,,6.34,6.19,3.93,3.78,26.72,17.01,17.3,45.0,35.0,35.0,0.0,56.34,43.66,268,pre
31,,,6.79,6.64,4.12,3.96,26.48,17.68,17.56,45.0,35.0,35.0,0.0,62.03,37.97,266,pre
32,,,6.79,6.63,3.68,3.53,26.62,17.18,17.83,45.0,35.0,35.0,0.0,59.93,40.07,267,pre
33,,,6.8,6.65,3.83,3.68,27.08,17.38,17.48,45.0,35.0,35.0,0.0,59.47,40.53,264,pre
34,,,7.54,7.39,4.07,3.92,26.43,17.01,17.8,45.0,35.0,35.0,0.0,60.53,39.47,266,pre
35,,,6.43,6.28,4.11,3.96,26.71,17.06,17.65,45.0,35.0,35.0,0.0,57.2,42.8,271,pre
