t_sec,fc_s1_ms,fc_s1_ms_dnet,fc_s2_ms,fc_s2_ms_dnet,fc_s3_ms,fc_s3_ms_dnet,fc_budget_s3_ms,budget_s3_ms,lat_search_ms,lat_reserve_ms,lat_recommend_ms,slo_search,slo_reserve,slo_recommend,share_s1_pct,share_s2_pct,share_s3_pct,n_search,phase
0,,,,,4.29,4.13,8.44,4.31,30.49,26.68,26.55,45.0,35.0,35.0,0.0,0.0,100.0,267,pre
1,,,,,4.14,3.98,8.44,4.46,34.71,26.66,26.52,45.0,35.0,35.0,0.0,0.0,100.0,265,pre
2,,,,,4.26,4.1,8.44,4.34,30.5,26.62,26.53,45.0,35.0,35.0,0.0,0.0,100.0,265,pre
3,,,,,4.37,4.21,8.44,4.23,34.75,26.65,26.52,45.0,35.0,35.0,0.0,0.0,100.0,269,pre
4,,,,,4.31,4.16,8.44,4.28,31.7,26.66,26.52,45.0,35.0,35.0,0.0,0.0,100.0,267,pre
5,,,,,4.23,4.08,8.44,4.36,30.27,26.66,26.53,45.0,35.0,35.0,0.0,0.0,100.0,266,pre
6,,,,,4.18,4.03,8.44,4.41,34.75,26.64,26.53,45.0,35.0,35.0,0.0,0.0,100.0,265,pre
7,,,,,4.28,4.13,8.44,4.31,31.73,26.64,26.53,45.0,35.0,35.0,0.0,0.0,100.0,267,pre
8,,,,,4.25,4.1,8.44,4.34,34.9,26.64,26.54,45.0,35.0,35.0,0.0,0.0,100.0,269,pre
9,,,,,4.23,4.07,8.44,4.37,30.23,26.66,26.5,45.0,35.0,35.0,0.0,0.0,100.0,267,pre
10,,,,,4.42,4.26,8.44,4.18,34.83,26.64,26.53,45.0,35.0,35.0,0.0,0.0,100.0,265,pre
11,,,,,4.48,4.33,8.44,4.11,31.79,26.65,26.54,45.0,35.0,35.0,0.0,0.0,100.0,265,pre
12,,,,,4.75,4.6,8.44,3.84,34.88,26.67,26.55,45.0,35.0,35.0,0.0,0.0,100.0,269,pre
13,,,,,4.19,4.04,8.44,4.4,32.61,26.62,26.53,45.0,35.0,35.0,0.0,0.0,100.0,267,pre
14,,,,,4.46,4.31,8.44,4.13,31.7,26.64,26.5,45.0,35.0,35.0,0.0,0.0,100.0,266,pre
15,,,,,4.18,4.03,8.44,4.41,34.83,26.64,26.52,45.0,35.0,35.0,0.0,0.0,100.0,265,pre
16,,,,,4.19,4.04,8.44,4.4,32.45,26.65,26.51,45.0,35.0,35.0,0.0,0.0,100.0,267,pre
17,,,,,4.28,4.13,8.44,4.31,34.81,26.64,26.54,45.0,35.0,35.0,0.0,0.0,100.0,269,pre
18,,,,,4.63,4.48,8.44,3.96,34.88,26.65,26.54,45.0,35.0,35.0,0.0,0.0,100.0,267,pre
19,,,,,4.16,4.0,8.44,4.44,34.8,26.65,26.5,45.0,35.0,35.0,0.0,0.0,100.0,265,pre
20,,,,,4.28,4.13,8.44,4.31,33.12,26.64,26.52,45.0,35.0,35.0,0.0,0.0,100.0,266,pre
21,,,,,4.26,4.11,8.44,4.33,34.9,26.65,26.54,45.0,35.0,35.0,0.0,0.0,100.0,268,pre
22,,,,,4.33,4.17,8.44,4.27,32.42,26.64,26.54,45.0,35.0,35.0,0.0,0.0,100.0,267,pre
23,,,,,4.15,4.0,8.44,4.44,30.61,26.66,26.52,45.0,35.0,35.0,0.0,0.0,100.0,266,pre
24,,,,,4.25,4.09,8.44,4.35,34.82,26.67,26.53,45.0,35.0,35.0,0.0,0.0,100.0,265,pre
25,,,,,4.2,4.05,8.44,4.39,31.53,26.63,26.52,45.0,35.0,35.0,0.0,0.0,100.0,266,pre
26,,,,,4.24,4.08,8.44,4.36,33.11,26.66,26.52,45.0,35.0,35.0,0.0,0.0,100.0,270,pre
27,,,,,4.26,4.1,8.44,4.34,30.87,26.67,26.53,45.0,35.0,35.0,0.0,0.0,100.0,266,pre
28,,,,,4.51,4.36,8.44,4.08,34.82,26.65,26.52,45.0,35.0,35.0,0.0,0.0,100.0,267,pre
29,,,,,4.3,4.14,8.44,4.3,34.82,26.64,26.54,45.0,35.0,35.0,0.0,0.0,100.0,264,pre
30,,,,,4.25,4.09,8.44,4.35,34.76,26.63,26.52,45.0,35.0,35.0,0.0,0.0,100.0,269,pre
31,,,,,4.22,4.07,8.44,4.37,31.98,26.65,26.5,45.0,35.0,35.0,0.0,0.0,100.0,267,pre
32,,,,,4.14,3.98,8.44,4.46,31.85,26.65,26.53,45.0,35.0,35.0,0.0,0.0,100.0,266,pre
33,,,,,4.19,4.04,8.44,4.4,34.75,26.64,26.53,45.0,35.0,35.0,0.0,0.0,100.0,265,pre
34,,,,,4.41,4.26,8.44,4.18,32.81,26.67,26.52,45.0,35.0,35.0,0.0,0.0,100.0,267,pre
35,,,,,4.34,4.18,8.44,4.26,34.77,26.64,26.52,45.0,35.0,35.0,0.0,0.0,100.0,269,pre
36,,,,,4.31,4.16,8.44,4.28,30.75,26.66,26.51,45.0,35.0,35.0,0.0,0.0,100.0,267,pre
37,,,,,3.99,3.84,8.44,4.6,32.14,26.68,26.52,45.0,35.0,35.0,0.0,0.0,100.0,266,pre
38,,,,,4.39,4.24,8.44,4.2,34.89,26.64,26.55,45.0,35.0,35.0,0.0,0.0,100.0,265,pre
39,,,,,4.35,4.19,8.44,4.25,34.87,26.64,26.52,45.0,35.0,35.0,0.0,0.0,100.0,268,pre
40,,,,,4.23,4.08,8.44,4.36,32.17,26.64,26.5,45.0,35.0,35.0,0.0,0.0,100.0,267,pre
41,,,,,4.14,3.99,8.44,4.45,31.15,26.62,26.5,45.0,35.0,35.0,0.0,0.0,100.0,266,pre
42,,,,,4.18,4.03,8.44,4.41,34.88,26.65,26.53,45.0,35.0,35.0,0.0,0.0,100.0,265,pre
43,,,,,4.23,4.07,8.44,4.37,31.95,26.64,26.53,45.0,35.0,35.0,0.0,0.0,100.0,267,pre
44,,,,,4.27,4.12,8.44,4.32,34.84,26.64,26.52,45.0,35.0,35.0,0.0,0.0,100.0,269,pre
45,,,,,4.28,4.13,8.44,4.31,31.52,26.64,26.53,45.0,35.0,35.0,0.0,0.0,100.0,266,pre
46,,,,,4.19,4.04,8.44,4.4,31.87,26.66,26.53,45.0,35.0,35.0,0.0,0.0,100.0,266,pre
47,,,,,4.28,4.13,8.44,4.31,30.47,26.64,26.5,45.0,35.0,35.0,0.0,0.0,100.0,265,pre
48,,,,,4.36,4.2,8.44,4.24,34.87,26.66,26.54,45.0,35.0,35.0,0.0,0.0,100.0,269,pre
49,,,,,4.08,3.93,8.44,4.51,34.88,26.66,26.51,45.0,35.0,35.0,0.0,0.0,100.0,268,pre
50,,,,,4.17,4.02,8.44,4.42,30.38,26.65,26.53,45.0,35.0,35.0,0.0,0.0,100.0,265,pre
51,,,,,4.15,3.99,8.44,4.45,34.87,26.65,26.54,45.0,35.0,35.0,0.0,0.0,100.0,265,pre
52,,,,,4.24,4.08,8.44,4.36,31.7,26.66,26.53,45.0,35.0,35.0,0.0,0.0,100.0,267,pre
53,,,,,4.47,4.32,8.44,4.12,34.78,26.65,26.54,45.0,35.0,35.0,0.0,0.0,100.0,269,pre
54,,,,,4.23,4.08,8.44,4.36,30.64,26.65,26.53,45.0,35.0,35.0,0.0,0.0,100.0,267,pre
55,,,,,4.23,4.08,8.44,4.36,34.87,26.66,26.54,45.0,35.0,35.0,0.0,0.0,100.0,265,pre
56,,,,,4.14,3.99,8.44,4.45,31.31,26.66,26.53,45.0,35.0,35.0,0.0,0.0,100.0,265,pre
57,,,,,4.25,4.09,8.44,4.35,34.85,26.64,26.54,45.0,35.0,35.0,0.0,0.0,100.0,269,pre
58,,,,,4.38,4.23,8.44,4.21,34.95,26.64,26.52,45.0,35.0,35.0,0.0,0.0,100.0,267,pre
59,,,,,4.38,4.23,8.44,4.21,30.37,26.66,26.53,45.0,35.0,35.0,0.0,0.0,100.0,266,pre
60,,,,,4.07,3.92,8.44,4.52,34.81,26.67,26.49,45.0,35.0,35.0,0.0,0.0,100.0,265,pre
