run,t_rel_s,S1_inflow_rps
E1_sorts_far,-40,0
E1_sorts_far,-39,0
E1_sorts_far,-38,0
E1_sorts_far,-37,0
E1_sorts_far,-36,0
E1_sorts_far,-35,0
E1_sorts_far,-34,0
E1_sorts_far,-33,0
E1_sorts_far,-32,0
E1_sorts_far,-31,0
E1_sorts_far,-30,0
E1_sorts_far,-29,0
E1_sorts_far,-28,0
E1_sorts_far,-27,0
E1_sorts_far,-26,0
E1_sorts_far,-25,0
E1_sorts_far,-24,0
E1_sorts_far,-23,0
E1_sorts_far,-22,0
E1_sorts_far,-21,0
E1_sorts_far,-20,0
E1_sorts_far,-19,0
E1_sorts_far,-18,0
E1_sorts_far,-17,0
E1_sorts_far,-16,0
E1_sorts_far,-15,0
E1_sorts_far,-14,0
E1_sorts_far,-13,0
E1_sorts_far,-12,0
E1_sorts_far,-11,0
E1_sorts_far,-10,0
E1_sorts_far,-9,0
E1_sorts_far,-8,0
E1_sorts_far,-7,0
E1_sorts_far,-6,0
E1_sorts_far,-5,0
E1_sorts_far,-4,0
E1_sorts_far,-3,0
E1_sorts_far,-2,0
E1_sorts_far,-1,0
E1_sorts_far,0,0
E1_sorts_far,1,0
E1_sorts_far,2,0
E1_sorts_far,3,0
E1_sorts_far,4,0
E1_sorts_far,5,0
E1_sorts_far,6,0
E1_sorts_far,7,0
E1_sorts_far,8,0
E1_sorts_far,9,0
E1_sorts_far,10,0
E1_sorts_far,11,0
E1_sorts_far,12,0
E1_sorts_far,13,0
E1_sorts_far,14,0
E1_sorts_far,15,0
E1_sorts_far,16,0
E1_sorts_far,17,0
E1_sorts_far,18,0
E1_sorts_far,19,0
E1_sorts_far,20,90
E1_sorts_far,21,134
E1_sorts_far,22,133
E1_sorts_far,23,134
E1_sorts_far,24,132
E1_sorts_far,25,135
E1_sorts_far,26,133
E1_sorts_far,27,133
E1_sorts_far,28,132
E1_sorts_far,29,134
E1_sorts_far,30,134
E1_sorts_far,31,133
E1_sorts_far,32,134
E1_sorts_far,33,132
E1_sorts_far,34,135
E1_sorts_far,35,133
E1_sorts_far,36,133
E1_sorts_far,37,132
E1_sorts_far,38,134
E1_sorts_far,39,134
E1_sorts_far,40,133
E1_sorts_far,41,134
E1_sorts_far,42,132
E1_sorts_far,43,135
E1_sorts_far,44,133
E1_sorts_far,45,133
E1_sorts_far,46,132
E1_sorts_far,47,134
E1_sorts_far,48,134
E1_sorts_far,49,133
E1_sorts_far,50,134
E1_sorts_far,51,132
E1_sorts_far,52,135
E1_sorts_far,53,133
E1_sorts_far,54,133
E1_sorts_far,55,132
E1_sorts_far,56,134
E1_sorts_far,57,134
E1_sorts_far,58,133
E1_sorts_far,59,134
E1_sorts_far,60,132
E1_sorts_far,61,135
E1_sorts_far,62,133
E1_sorts_far,63,133
E1_sorts_far,64,132
E1_sorts_far,65,134
E1_sorts_far,66,134
E1_sorts_far,67,133
E1_sorts_far,68,133
E1_sorts_far,69,133
E1_sorts_far,70,135
E1_sorts_far,71,133
E1_sorts_far,72,133
E1_sorts_far,73,132
E1_sorts_far,74,134
E1_sorts_far,75,134
E1_sorts_far,76,133
E1_sorts_far,77,134
E1_sorts_far,78,132
E1_sorts_far,79,135
E1_sorts_far,80,133
E1_sorts_far,81,133
E1_sorts_far,82,132
E1_sorts_far,83,134
E1_sorts_far,84,134
E1_sorts_far,85,133
E1_sorts_far,86,134
E1_sorts_far,87,132
E1_sorts_far,88,134
E1_sorts_far,89,134
E1_sorts_far,90,133
E1_sorts_far,91,132
E1_sorts_far,92,134
E1_sorts_far,93,134
E1_sorts_far,94,133
E1_sorts_far,95,134
E1_sorts_far,96,132
E1_sorts_far,97,135
E1_sorts_far,98,133
E1_sorts_far,99,133
E1_sorts_far,100,132
E1_sorts_far,101,134
E1_sorts_far,102,134
E1_sorts_far,103,133
E1_sorts_far,104,134
E1_sorts_far,105,132
E1_sorts_far,106,135
E1_sorts_far,107,133
