t_rel_s,n,S1_share_pct,edge_inflow_rps,edge_headroom_pct,absorbable_cohorts
-60,78,0.0,0.0,100.0,3.01
-59,816,0.0,0.0,100.0,3.01
-58,800,0.0,0.0,100.0,3.01
-57,800,0.0,0.0,100.0,3.01
-56,800,0.0,0.0,100.0,3.01
-55,800,0.0,0.0,100.0,3.01
-54,800,0.0,0.0,100.0,3.01
-53,800,0.0,0.0,100.0,3.01
-52,800,0.0,0.0,100.0,3.01
-51,800,0.0,0.0,100.0,3.01
-50,800,0.0,0.0,100.0,3.01
-49,800,0.0,0.0,100.0,3.01
-48,800,0.0,0.0,100.0,3.01
-47,800,0.0,0.0,100.0,3.01
-46,800,0.0,0.0,100.0,3.01
-45,800,0.0,0.0,100.0,3.01
-44,800,0.0,0.0,100.0,3.01
-43,800,0.0,0.0,100.0,3.01
-42,800,0.0,0.0,100.0,3.01
-41,800,0.0,0.0,100.0,3.01
-40,800,0.0,0.0,100.0,3.01
-39,800,0.0,0.0,100.0,3.01
-38,800,0.0,0.0,100.0,3.01
-37,800,0.0,0.0,100.0,3.01
-36,800,0.0,0.0,100.0,3.01
-35,800,0.0,0.0,100.0,3.01
-34,800,0.0,0.0,100.0,3.01
-33,800,0.0,0.0,100.0,3.01
-32,800,0.0,0.0,100.0,3.01
-31,800,0.0,0.0,100.0,3.01
-30,800,0.0,0.0,100.0,3.01
-29,800,0.0,0.0,100.0,3.01
-28,800,0.0,0.0,100.0,3.01
-27,800,0.0,0.0,100.0,3.01
-26,800,0.0,0.0,100.0,3.01
-25,800,0.0,0.0,100.0,3.01
-24,800,0.0,0.0,100.0,3.01
-23,800,0.0,0.0,100.0,3.01
-22,800,0.0,0.0,100.0,3.01
-21,800,0.0,0.0,100.0,3.01
-20,800,0.0,0.0,100.0,3.01
-19,800,0.0,0.0,100.0,3.01
-18,800,0.0,0.0,100.0,3.01
-17,800,0.0,0.0,100.0,3.01
-16,800,0.0,0.0,100.0,3.01
-15,800,0.0,0.0,100.0,3.01
-14,800,0.0,0.0,100.0,3.01
-13,800,0.0,0.0,100.0,3.01
-12,800,0.0,0.0,100.0,3.01
-11,800,0.0,0.0,100.0,3.01
-10,800,0.0,0.0,100.0,3.01
-9,800,0.0,0.0,100.0,3.01
-8,800,0.0,0.0,100.0,3.01
-7,800,0.0,0.0,100.0,3.01
-6,800,0.0,0.0,100.0,3.01
-5,800,0.0,0.0,100.0,3.01
-4,800,0.0,0.0,100.0,3.01
-3,800,0.0,0.0,100.0,3.01
-2,800,0.0,0.0,100.0,3.01
-1,800,0.0,0.0,100.0,3.01
0,1600,0.0,0.0,100.0,3.01
1,800,0.0,0.0,100.0,3.01
2,800,0.0,0.0,100.0,3.01
3,800,0.0,0.0,100.0,3.01
4,800,0.0,0.0,100.0,3.01
5,800,0.0,0.0,100.0,3.01
6,800,0.0,0.0,100.0,3.01
7,800,0.0,0.0,100.0,3.01
8,800,0.0,0.0,100.0,3.01
9,800,0.0,0.0,100.0,3.01
10,800,0.0,0.0,100.0,3.01
11,800,0.0,0.0,100.0,3.01
12,800,0.0,0.0,100.0,3.01
13,800,0.0,0.0,100.0,3.01
14,800,0.0,0.0,100.0,3.01
15,800,0.0,0.0,100.0,3.01
16,800,0.0,0.0,100.0,3.01
17,800,0.0,0.0,100.0,3.01
18,800,0.0,0.0,100.0,3.01
19,800,0.0,0.0,100.0,3.01
20,800,0.0,0.0,100.0,3.01
21,800,0.0,0.0,100.0,3.01
22,800,0.0,0.0,100.0,3.01
23,800,0.0,0.0,100.0,3.01
24,800,0.0,0.0,100.0,3.01
25,800,0.0,0.0,100.0,3.01
26,800,0.0,0.0,100.0,3.01
27,800,0.0,0.0,100.0,3.01
28,800,0.0,0.0,100.0,3.01
29,800,0.0,0.0,100.0,3.01
30,800,0.0,0.0,100.0,3.01
31,800,0.0,0.0,100.0,3.01
32,800,0.0,0.0,100.0,3.01
33,800,0.0,0.0,100.0,3.01
34,800,0.0,0.0,100.0,3.01
35,800,0.0,0.0,100.0,3.01
36,800,0.0,0.0,100.0,3.01
37,800,0.0,0.0,100.0,3.01
38,800,0.0,0.0,100.0,3.01
39,800,0.0,0.0,100.0,3.01
40,800,0.0,0.0,100.0,3.01
41,800,0.0,0.0,100.0,3.01
42,800,0.0,0.0,100.0,3.01
43,800,0.0,0.0,100.0,3.01
44,800,0.0,0.0,100.0,3.01
45,800,0.0,0.0,100.0,3.01
46,800,0.0,0.0,100.0,3.01
47,800,0.0,0.0,100.0,3.01
48,800,0.0,0.0,100.0,3.01
49,800,0.0,0.0,100.0,3.01
50,800,0.0,0.0,100.0,3.01
51,800,0.0,0.0,100.0,3.01
52,799,0.0,0.0,100.0,3.01
53,801,0.0,0.0,100.0,3.01
54,800,0.0,0.0,100.0,3.01
55,800,0.0,0.0,100.0,3.01
56,800,0.0,0.0,100.0,3.01
57,800,0.0,0.0,100.0,3.01
58,800,0.0,0.0,100.0,3.01
59,800,0.0,0.0,100.0,3.01
60,800,0.0,0.0,100.0,3.01
61,800,0.0,0.0,100.0,3.01
62,800,0.0,0.0,100.0,3.01
63,800,0.0,0.0,100.0,3.01
