batch,run,policy,disturb,join_rate,max_byte_deviation,achieved_min_pct,achieved_max_pct,max_mark_apply_lat_s,clock_off_p50_ms
d1-20260804,A_none_bl_loc,bl_loc,none,1.0,0.0,79.43,79.63,,6.114
d1-20260804,A_none_bl_lr,bl_lr,none,1.0,0.0,100.0,100.0,,8.496
d1-20260804,A_none_bl_rr,bl_rr,none,1.0,0.0,100.0,100.0,,1.625
d1-20260804,A_none_site_s3,site_s3,none,1.0,0.0,100.0,100.0,,-10.573
d1-20260804,A_radio_bl_loc,bl_loc,radio,1.0,0.0,79.27,80.01,1.04,-1.124
d1-20260804,A_radio_bl_lr,bl_lr,radio,1.0,0.0,99.99,100.01,1.045,0.804
d1-20260804,A_radio_bl_rr,bl_rr,radio,1.0,0.0,100.0,100.0,1.049,0.742
d1-20260804,A_radio_site_s3,site_s3,radio,1.0,0.0,100.0,100.0,1.057,1.381
d1-20260804,A_server_bl_loc,bl_loc,server,1.0,0.0,79.58,79.74,0.585,-13.642
d1-20260804,A_server_bl_lr,bl_lr,server,1.0,0.0,100.0,100.0,0.587,-17.181
d1-20260804,A_server_bl_rr,bl_rr,server,1.0,0.0,100.0,100.0,0.586,-12.961
d1-20260804,A_server_site_s3,site_s3,server,1.0,0.0,100.0,100.0,0.591,-4.599
d1-20260804,B_ramp_bl_loc,bl_loc,ramp,1.0,0.0,79.08,79.53,1.046,11.98
d1-20260804,B_ramp_bl_lr,bl_lr,ramp,1.0,0.0,99.99,100.0,1.037,5.525
d1-20260804,B_ramp_bl_rr,bl_rr,ramp,1.0,0.0,100.0,100.0,1.056,1.094
d1-20260804,B_ramp_site_s3,site_s3,ramp,1.0,0.0,100.0,100.0,1.068,-7.672
demo-20260805,D1_sorts_none,sorts_reactive,none,1.0,0.0,100.0,100.0,,-9.885
demo-20260805,D2_sorts_radio,sorts_reactive,radio,1.0,0.0,100.0,100.0,0.859,-11.684
demo-20260805,D3_s3_radio,site_s3,radio,1.0,0.0,100.0,100.0,1.028,-5.766
demo-20260805,D4_rr_radio,bl_rr,radio,1.0,0.0,100.0,100.01,1.079,1.108
demo-20260805,D5_lr_radio,bl_lr,radio,1.0,0.0,100.0,100.0,1.042,10.475
demo-20260805,D6_sorts_ramp,sorts_reactive,ramp,1.0,0.0,100.0,100.0,0.873,15.518
