run_id,target_rps,mix,site,class,n,join_rate,achieved_rps_total,fc_p50,fc_p95,fc_p99,svc_p95,cor_p95,viol_rate
t1c_s2mix_r1000,1000,mixed,S2,recommend,80010,1.0,1000.1,5.67,15.068,22.185,30.491,30.843,0.021172
t1c_s2mix_r1000,1000,mixed,S2,reserve,40004,1.0,1000.1,7.833,18.45,26.658,33.863,33.966,0.040396
t1c_s2mix_r1000,1000,mixed,S2,search,60014,1.0,1000.1,19.415,35.587,49.921,50.988,51.085,0.119572
t1c_s2mix_r200,200,mixed,S2,recommend,16004,1.0,200.0,0.73,0.99,2.647,16.44,16.78,0.000125
t1c_s2mix_r200,200,mixed,S2,reserve,7998,1.0,200.0,1.191,1.552,3.746,17.002,17.34,0.00075
t1c_s2mix_r200,200,mixed,S2,search,12000,1.0,200.0,4.477,6.057,8.221,21.524,21.858,0.0
t1c_s2mix_r400,400,mixed,S2,recommend,32002,1.0,400.0,0.551,1.526,2.917,16.926,17.089,0.000125
t1c_s2mix_r400,400,mixed,S2,reserve,16002,1.0,400.0,0.88,1.135,2.974,16.59,16.759,0.000187
t1c_s2mix_r400,400,mixed,S2,search,24004,1.0,400.0,3.46,5.064,7.733,20.478,20.634,0.000333
t1c_s2mix_r600,600,mixed,S2,recommend,48008,1.0,600.0,1.427,2.781,4.767,18.192,18.311,0.000333
t1c_s2mix_r600,600,mixed,S2,reserve,23998,1.0,600.0,1.207,2.304,4.624,17.711,17.829,0.000458
t1c_s2mix_r600,600,mixed,S2,search,36006,1.0,600.0,5.224,7.798,11.469,23.212,23.325,0.001139
t1c_s2mix_r800,800,mixed,S2,recommend,64006,1.0,800.0,1.77,4.659,7.84,20.081,20.175,0.001187
t1c_s2mix_r800,800,mixed,S2,reserve,32004,1.0,800.0,1.861,5.138,9.107,20.535,20.62,0.001781
t1c_s2mix_r800,800,mixed,S2,search,48006,1.0,800.0,7.09,13.096,19.476,28.491,28.576,0.003437
