t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,386,195,96,0,0.570162
1,389,196,99,0,0.568713
2,390,196,98,0,0.570175
3,363,181,91,0,0.571654
4,327,159,79,0,0.578761
5,353,182,91,0,0.563898
6,388,195,97,0,0.570588
7,372,181,89,0,0.579439
8,380,191,97,0,0.568862
9,354,179,90,0,0.568218
10,374,186,93,0,0.572741
11,327,165,82,0,0.569686
12,353,179,91,0,0.566613
13,369,179,88,0,0.580189
14,322,161,80,0,0.571936
15,387,191,95,0,0.575037
16,365,187,94,0,0.565015
17,365,177,89,0,0.578447
18,401,205,101,0,0.567185
19,340,168,85,0,0.573356
20,391,193,97,0,0.574156
21,379,194,98,0,0.564829
22,340,171,85,0,0.570470
23,357,180,91,0,0.568471
24,375,182,90,0,0.579598
25,360,184,91,0,0.566929
26,352,175,88,0,0.572358
27,354,177,88,0,0.571890
28,343,170,85,0,0.573579
29,361,182,90,0,0.570300
30,367,184,93,0,0.569876
31,367,184,93,0,0.569876
32,356,179,89,0,0.570513
33,360,180,90,0,0.571429
34,364,181,90,0,0.573228
35,319,163,82,0,0.565603
36,390,191,96,0,0.576071
37,387,193,95,0,0.573333
38,357,181,91,0,0.567568
39,365,180,91,0,0.573899
40,323,164,82,0,0.567663
41,407,199,99,0,0.577305
42,361,180,89,0,0.573016
43,379,192,98,0,0.566517
44,340,171,85,0,0.570470
45,360,180,89,0,0.572337
46,352,177,90,0,0.568659
47,364,172,85,0,0.586151
48,360,188,95,0,0.559876
49,365,186,93,0,0.566770
50,306,154,77,0,0.569832
51,410,201,100,0,0.576653
52,362,174,86,0,0.581994
53,352,183,92,0,0.561404
54,337,173,87,0,0.564489
55,367,176,88,0,0.581616
56,330,165,82,0,0.571924
57,314,164,83,0,0.559715
58,368,182,89,0,0.575900
59,359,181,92,0,0.568038
60,394,195,97,0,0.574344
61,338,172,87,0,0.566164
62,382,186,91,0,0.579666
63,361,181,92,0,0.569401
64,393,194,97,0,0.574561
65,374,186,92,0,0.573620
66,379,196,98,0,0.563150
67,379,184,92,0,0.578626
68,374,191,96,0,0.565809
69,382,187,93,0,0.577039
70,344,168,85,0,0.576214
71,367,194,97,0,0.557751
72,394,184,92,0,0.588060
73,379,198,98,0,0.561481
74,361,182,92,0,0.568504
75,339,168,83,0,0.574576
76,366,184,93,0,0.569207
77,334,162,80,0,0.579861
78,344,179,91,0,0.560261
79,396,186,92,0,0.587537
80,349,181,89,0,0.563813
81,364,187,94,0,0.564341
82,378,187,93,0,0.574468
83,353,180,92,0,0.564800
84,346,169,83,0,0.578595
85,333,167,85,0,0.569231
86,403,202,100,0,0.571631
87,348,175,88,0,0.569558
88,380,189,94,0,0.573152
89,358,182,93,0,0.565561
90,369,176,85,0,0.585714
91,362,185,94,0,0.564743
92,389,196,97,0,0.570381
93,358,181,91,0,0.568254
94,345,171,86,0,0.573090
95,346,174,88,0,0.569079
96,388,188,94,0,0.579104
97,414,211,104,0,0.567901
98,346,168,83,0,0.579564
99,367,190,97,0,0.561162
100,358,178,89,0,0.572800
101,363,181,90,0,0.572555
102,339,173,87,0,0.565943
103,353,177,89,0,0.570275
104,351,171,85,0,0.578254
105,409,195,96,0,0.584286
106,361,191,96,0,0.557099
107,354,178,90,0,0.569132
108,367,183,90,0,0.573438
109,365,183,92,0,0.570312
110,352,174,88,0,0.573290
111,369,188,95,0,0.565951
112,349,172,84,0,0.576860
113,381,191,96,0,0.570359
114,348,173,87,0,0.572368
115,377,187,93,0,0.573820
116,352,178,89,0,0.568659
117,371,186,93,0,0.570769
118,350,174,86,0,0.573770
119,360,181,91,0,0.569620
120,364,178,90,0,0.575949
121,358,185,92,0,0.563780
122,393,193,97,0,0.575403
123,340,168,83,0,0.575296
124,361,183,91,0,0.568504
125,343,169,85,0,0.574539
126,354,182,90,0,0.565495
127,372,181,92,0,0.576744
128,370,187,93,0,0.569231
129,378,190,95,0,0.570136
130,381,187,94,0,0.575529
131,337,171,85,0,0.568297
132,356,180,90,0,0.568690
133,367,184,93,0,0.569876
134,372,185,91,0,0.574074
135,361,179,91,0,0.572108
136,373,188,93,0,0.570336
137,319,161,81,0,0.568627
138,377,185,93,0,0.575573
139,382,193,97,0,0.568452
140,347,173,86,0,0.572607
141,386,190,94,0,0.576119
142,357,178,88,0,0.573034
143,390,200,103,0,0.562771
144,353,177,87,0,0.572123
145,349,173,87,0,0.573071
146,371,189,95,0,0.566412
147,363,179,88,0,0.576190
148,395,193,96,0,0.577485
149,347,178,91,0,0.563312
150,323,160,80,0,0.573712
151,366,185,91,0,0.570093
152,376,187,94,0,0.572298
153,367,183,92,0,0.571651
154,344,170,84,0,0.575251
155,373,187,94,0,0.570336
156,372,187,94,0,0.569678
157,375,188,93,0,0.571646
158,340,169,86,0,0.571429
159,365,184,91,0,0.570312
160,359,175,87,0,0.578100
161,368,189,96,0,0.563553
162,372,182,89,0,0.578538
163,387,198,100,0,0.564964
164,366,181,90,0,0.574568
165,330,167,84,0,0.567986
166,379,187,93,0,0.575114
167,367,184,92,0,0.570762
168,367,171,85,0,0.589085
169,359,194,99,0,0.550613
170,384,191,95,0,0.573134
171,388,191,95,0,0.575668
172,323,167,85,0,0.561739
173,377,188,92,0,0.573820
174,333,164,83,0,0.574138
175,396,198,97,0,0.573082
176,358,182,92,0,0.566456
177,364,174,87,0,0.582400
178,364,187,93,0,0.565217
179,369,187,95,0,0.566820
180,373,181,90,0,0.579193
181,374,186,91,0,0.574501
182,352,177,91,0,0.567742
183,377,192,97,0,0.566066
184,338,169,83,0,0.572881
185,375,187,93,0,0.572519
186,379,188,94,0,0.573374
187,347,178,90,0,0.564228
188,342,167,84,0,0.576728
189,384,193,96,0,0.570579
190,376,189,95,0,0.569697
191,370,183,91,0,0.574534
192,368,183,91,0,0.573209
193,321,166,84,0,0.562172
194,361,174,84,0,0.583199
195,344,169,87,0,0.573333
196,404,207,103,0,0.565826
197,328,165,83,0,0.569444
198,403,201,99,0,0.573257
199,345,175,89,0,0.566502
200,366,183,92,0,0.570983
201,391,189,92,0,0.581845
202,353,183,94,0,0.560317
203,391,194,96,0,0.574156
204,340,170,86,0,0.570470
205,356,177,88,0,0.573269
206,372,186,92,0,0.572308
207,365,182,92,0,0.571205
208,375,184,92,0,0.576037
209,375,191,95,0,0.567322
210,350,174,86,0,0.573770
211,339,172,87,0,0.566890
212,357,178,90,0,0.571200
213,393,193,96,0,0.576246
214,360,176,87,0,0.577849
215,376,192,97,0,0.565414
216,358,182,91,0,0.567353
217,358,180,90,0,0.570064
218,375,189,94,0,0.569909
219,365,178,87,0,0.579365
220,360,183,95,0,0.564263
221,369,180,88,0,0.579278
222,357,182,92,0,0.565769
223,342,174,87,0,0.567164
224,376,185,92,0,0.575804
225,329,162,81,0,0.575175
226,357,179,90,0,0.570288
227,375,192,95,0,0.566465
228,347,169,85,0,0.577371
229,382,188,94,0,0.575301
230,365,186,93,0,0.566770
231,376,187,93,0,0.573171
232,340,169,85,0,0.572391
233,383,191,96,0,0.571642
234,322,168,84,0,0.560976
235,395,195,97,0,0.574964
236,364,183,91,0,0.570533
237,379,188,94,0,0.573374
238,378,186,93,0,0.575342
239,345,177,90,0,0.563725
240,358,173,85,0,0.581169
241,352,178,88,0,0.569579
242,382,193,99,0,0.566766
243,354,180,90,0,0.567308
244,370,181,90,0,0.577223
245,343,168,85,0,0.575503
246,376,191,92,0,0.570561
247,364,185,94,0,0.566096
248,364,181,91,0,0.572327
249,373,183,92,0,0.575617
250,355,184,92,0,0.562599
251,369,180,89,0,0.578370
252,364,183,92,0,0.569640
253,330,165,82,0,0.571924
254,360,176,88,0,0.576923
255,331,173,87,0,0.560068
256,374,185,93,0,0.573620
257,377,186,93,0,0.574695
258,360,184,92,0,0.566038
259,355,175,87,0,0.575365
260,379,189,95,0,0.571644
261,371,186,93,0,0.570769
262,366,181,89,0,0.575472
263,356,177,89,0,0.572347
264,330,166,82,0,0.570934
265,376,189,97,0,0.567976
266,396,199,100,0,0.569784
267,342,169,82,0,0.576728
268,349,178,90,0,0.565640
269,394,195,98,0,0.573508
270,363,180,89,0,0.574367
271,363,185,94,0,0.565421
272,364,179,88,0,0.576862
273,338,166,82,0,0.576792
274,361,183,93,0,0.566719
275,370,187,92,0,0.570108
276,370,189,97,0,0.564024
277,389,186,92,0,0.583208
278,362,187,94,0,0.562986
279,338,169,85,0,0.570946
280,372,184,91,0,0.574961
281,393,199,100,0,0.567919
282,368,181,91,0,0.575000
283,378,191,95,0,0.569277
284,333,166,83,0,0.572165
285,352,178,89,0,0.568659
