t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,323,291,180,0,0.406801
1,330,296,178,0,0.410448
2,323,293,181,0,0.405270
3,322,294,186,0,0.401496
4,325,291,184,0,0.406250
5,312,306,185,0,0.388543
6,309,303,187,0,0.386733
7,341,280,179,0,0.426250
8,320,298,180,0,0.401003
9,319,292,188,0,0.399249
10,304,301,193,0,0.380952
11,314,301,189,0,0.390547
12,325,288,193,0,0.403226
13,310,290,194,0,0.390428
14,316,298,187,0,0.394507
15,334,285,184,0,0.415940
16,323,289,187,0,0.404255
17,327,290,179,0,0.410804
18,317,294,187,0,0.397243
19,331,286,183,0,0.413750
20,324,286,196,0,0.401985
21,309,301,190,0,0.386250
22,308,303,188,0,0.385482
23,322,295,180,0,0.404015
24,319,299,183,0,0.398252
25,308,302,189,0,0.385482
26,308,302,190,0,0.385000
27,337,288,179,0,0.419154
28,320,294,182,0,0.402010
29,316,306,179,0,0.394507
30,315,298,189,0,0.392768
31,305,309,184,0,0.382206
32,322,298,181,0,0.401998
33,319,298,181,0,0.399749
34,340,283,180,0,0.423412
35,298,306,193,0,0.373902
36,342,283,176,0,0.426966
37,321,293,185,0,0.401752
38,310,304,192,0,0.384615
39,317,294,184,0,0.398742
40,323,292,184,0,0.404255
41,333,287,183,0,0.414695
42,315,295,185,0,0.396226
43,331,283,187,0,0.413233
44,326,292,183,0,0.406991
45,324,299,180,0,0.403487
46,302,308,187,0,0.378921
47,307,306,191,0,0.381841
48,318,294,187,0,0.397997
49,336,283,177,0,0.422111
50,333,293,180,0,0.413151
51,325,294,176,0,0.408805
52,309,306,188,0,0.384807
53,320,299,180,0,0.400501
54,328,297,174,0,0.410513
55,319,299,182,0,0.398750
56,299,310,194,0,0.372354
57,330,288,182,0,0.412500
58,315,301,183,0,0.394243
59,322,294,183,0,0.403004
60,305,303,189,0,0.382685
61,330,297,181,0,0.408416
62,309,298,185,0,0.390152
63,327,297,181,0,0.406211
64,317,296,185,0,0.397243
65,302,303,196,0,0.377029
66,314,300,186,0,0.392500
67,314,293,191,0,0.393484
68,304,310,190,0,0.378109
69,320,296,176,0,0.404040
70,312,309,185,0,0.387097
71,334,287,181,0,0.416459
72,330,292,176,0,0.413534
73,310,302,182,0,0.390428
74,344,283,179,0,0.426799
75,304,313,179,0,0.381910
76,310,301,190,0,0.387016
77,320,299,186,0,0.397516
78,309,304,185,0,0.387218
79,320,288,188,0,0.402010
80,322,296,183,0,0.401998
81,314,306,181,0,0.392010
82,325,288,186,0,0.406758
83,324,293,185,0,0.403990
84,336,289,174,0,0.420526
85,319,298,182,0,0.399249
86,311,306,184,0,0.388265
87,318,303,179,0,0.397500
88,313,302,186,0,0.390762
89,325,287,187,0,0.406758
90,322,304,175,0,0.401998
91,323,294,185,0,0.402743
92,309,308,182,0,0.386733
93,321,293,187,0,0.400749
94,317,298,185,0,0.396250
95,305,299,191,0,0.383648
96,323,297,180,0,0.403750
97,307,309,188,0,0.381841
98,289,311,197,0,0.362610
99,316,293,191,0,0.395000
100,339,286,177,0,0.422693
101,292,324,183,0,0.365457
102,304,310,188,0,0.379052
103,322,295,184,0,0.401998
104,305,299,191,0,0.383648
105,302,304,193,0,0.377972
106,318,295,192,0,0.395031
107,317,296,183,0,0.398241
108,317,297,186,0,0.396250
109,339,272,190,0,0.423221
110,343,284,179,0,0.425558
111,311,305,176,0,0.392677
112,313,305,186,0,0.389303
113,315,300,182,0,0.395232
114,317,304,185,0,0.393300
115,315,300,182,0,0.395232
116,310,302,188,0,0.387500
117,321,290,189,0,0.401250
118,313,298,189,0,0.391250
119,319,296,186,0,0.398252
120,305,301,191,0,0.382685
121,335,284,183,0,0.417706
122,320,294,187,0,0.399501
123,317,294,190,0,0.395755
124,325,289,186,0,0.406250
125,326,295,176,0,0.409034
126,308,306,190,0,0.383085
127,295,308,190,0,0.372005
128,330,297,176,0,0.410959
129,329,293,179,0,0.410737
130,332,294,173,0,0.415519
131,323,293,185,0,0.403246
132,324,296,179,0,0.405507
133,336,286,178,0,0.420000
134,313,299,188,0,0.391250
135,318,300,184,0,0.396509
136,334,278,188,0,0.417500
137,321,295,182,0,0.402256
138,320,301,179,0,0.400000
139,321,292,184,0,0.402760
140,315,295,194,0,0.391791
141,310,301,188,0,0.387985
142,316,302,182,0,0.395000
143,324,289,185,0,0.406015
144,312,307,185,0,0.388060
145,348,284,169,0,0.434457
146,317,296,188,0,0.395755
147,307,302,187,0,0.385678
148,322,301,179,0,0.401496
149,329,285,180,0,0.414358
150,334,290,180,0,0.415423
151,308,304,186,0,0.385965
152,314,296,189,0,0.392991
153,323,300,181,0,0.401741
154,289,305,205,0,0.361702
155,330,289,182,0,0.411985
156,306,304,188,0,0.383459
157,328,300,173,0,0.409488
158,331,293,178,0,0.412718
159,322,298,179,0,0.403004
160,329,285,185,0,0.411765
161,312,303,184,0,0.390488
162,314,295,192,0,0.392010
163,322,295,187,0,0.400498
164,325,293,182,0,0.406250
165,286,308,199,0,0.360656
166,306,306,191,0,0.381071
167,320,294,187,0,0.399501
168,331,292,178,0,0.413233
169,322,298,176,0,0.404523
170,306,311,186,0,0.381071
171,324,291,185,0,0.405000
172,323,292,182,0,0.405270
173,330,289,182,0,0.411985
174,313,304,185,0,0.390274
175,314,299,186,0,0.392991
176,308,304,190,0,0.384040
177,314,298,188,0,0.392500
178,324,295,181,0,0.405000
179,307,310,182,0,0.384230
180,314,304,181,0,0.392991
181,351,286,169,0,0.435484
182,318,295,184,0,0.398996
183,324,296,179,0,0.405507
184,314,302,183,0,0.392991
185,345,286,170,0,0.430712
186,306,294,193,0,0.385876
187,306,309,193,0,0.378713
188,317,293,182,0,0.400253
