t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,266,267,267,0,0.332500
1,267,266,266,0,0.334168
2,267,266,267,0,0.333750
3,268,266,267,0,0.334582
4,266,266,266,0,0.333333
5,264,268,267,0,0.330413
6,269,268,267,0,0.334577
7,267,267,266,0,0.333750
8,266,266,267,0,0.332916
9,266,267,267,0,0.332500
10,267,267,266,0,0.333750
11,267,265,267,0,0.334168
12,268,266,267,0,0.334582
13,266,267,266,0,0.332916
14,266,267,267,0,0.332500
15,267,268,267,0,0.332918
16,267,267,266,0,0.333750
17,265,266,267,0,0.332080
18,267,267,267,0,0.333333
19,267,267,266,0,0.333750
20,267,265,267,0,0.334168
21,268,266,267,0,0.334582
22,266,267,266,0,0.332916
23,265,267,267,0,0.331665
24,268,268,267,0,0.333748
25,267,267,266,0,0.333750
26,266,266,267,0,0.332916
27,266,267,267,0,0.332500
28,267,267,266,0,0.333750
29,266,265,267,0,0.333333
30,269,266,267,0,0.335411
31,266,267,266,0,0.332916
32,266,267,267,0,0.332500
33,267,268,267,0,0.332918
34,267,267,266,0,0.333750
35,266,266,267,0,0.332916
36,266,267,267,0,0.332500
37,267,267,266,0,0.333750
38,266,265,267,0,0.333333
39,269,266,267,0,0.335411
40,266,267,266,0,0.332916
41,266,267,267,0,0.332500
42,267,268,267,0,0.332918
43,267,267,266,0,0.333750
44,264,266,267,0,0.331242
45,269,267,267,0,0.334994
46,266,267,266,0,0.332916
47,267,265,267,0,0.334168
48,268,266,267,0,0.334582
49,266,267,266,0,0.332916
50,266,267,267,0,0.332500
51,267,268,267,0,0.332918
52,267,267,266,0,0.333750
53,266,266,267,0,0.332916
54,266,267,267,0,0.332500
55,267,267,266,0,0.333750
56,267,265,267,0,0.334168
57,268,266,267,0,0.334582
58,266,267,266,0,0.332916
59,266,267,267,0,0.332500
60,267,268,267,0,0.332918
61,267,267,266,0,0.333750
62,266,266,267,0,0.332916
63,265,267,267,0,0.331665
64,268,267,266,0,0.334582
65,265,265,267,0,0.332497
66,270,266,267,0,0.336239
67,266,267,266,0,0.332916
68,266,267,267,0,0.332500
69,267,268,267,0,0.332918
70,267,267,266,0,0.333750
71,266,266,267,0,0.332916
72,266,267,267,0,0.332500
73,267,267,266,0,0.333750
74,266,265,267,0,0.333333
75,269,266,267,0,0.335411
76,266,267,266,0,0.332916
77,266,267,267,0,0.332500
78,267,268,267,0,0.332918
79,267,267,266,0,0.333750
80,266,266,267,0,0.332916
81,266,267,267,0,0.332500
82,267,267,266,0,0.333750
83,266,265,267,0,0.333333
84,269,266,267,0,0.335411
85,266,267,266,0,0.332916
86,266,267,267,0,0.332500
87,267,268,267,0,0.332918
88,267,267,266,0,0.333750
89,265,266,267,0,0.332080
90,267,267,267,0,0.333333
91,267,266,266,0,0.334168
92,267,266,267,0,0.333750
93,268,266,267,0,0.334582
94,266,266,266,0,0.333333
95,265,268,267,0,0.331250
96,268,268,266,0,0.334165
97,267,267,267,0,0.333333
98,266,266,267,0,0.332916
99,266,267,267,0,0.332500
100,267,265,266,0,0.334586
101,267,267,267,0,0.333333
102,268,266,267,0,0.334582
103,266,267,266,0,0.332916
104,265,267,267,0,0.331665
105,268,268,267,0,0.333748
106,267,267,266,0,0.333750
107,266,266,267,0,0.332916
108,265,267,267,0,0.331665
109,268,267,266,0,0.334582
110,266,265,267,0,0.333333
111,269,267,267,0,0.334994
112,266,266,266,0,0.333333
113,266,267,267,0,0.332500
114,267,268,267,0,0.332918
115,267,267,266,0,0.333750
116,264,266,267,0,0.331242
117,268,267,267,0,0.334165
118,267,266,266,0,0.334168
119,267,266,267,0,0.333750
120,268,266,267,0,0.334582
121,266,266,266,0,0.333333
122,265,268,267,0,0.331250
123,268,268,267,0,0.333748
124,267,267,266,0,0.333750
125,264,266,267,0,0.331242
126,268,267,267,0,0.334165
127,267,267,266,0,0.333750
128,267,265,267,0,0.334168
129,268,266,267,0,0.334582
130,266,267,266,0,0.332916
131,266,267,267,0,0.332500
132,267,268,267,0,0.332918
133,267,267,266,0,0.333750
134,265,266,267,0,0.332080
135,267,267,267,0,0.333333
136,267,267,266,0,0.333750
137,267,265,267,0,0.334168
138,268,266,267,0,0.334582
139,266,267,266,0,0.332916
140,266,267,267,0,0.332500
141,267,268,267,0,0.332918
142,267,267,266,0,0.333750
143,266,266,267,0,0.332916
144,266,267,267,0,0.332500
145,267,265,266,0,0.334586
146,266,267,267,0,0.332500
147,269,266,267,0,0.335411
148,266,267,266,0,0.332916
149,266,267,267,0,0.332500
150,267,268,267,0,0.332918
151,267,267,266,0,0.333750
152,266,266,267,0,0.332916
153,267,267,267,0,0.333333
154,266,267,266,0,0.332916
155,266,265,267,0,0.333333
156,269,267,267,0,0.334994
157,266,265,266,0,0.333752
158,264,268,266,0,0.330827
159,269,268,268,0,0.334161
160,267,267,266,0,0.333750
161,266,266,267,0,0.332916
162,266,267,267,0,0.332500
163,267,267,266,0,0.333750
164,267,265,267,0,0.334168
165,268,266,267,0,0.334582
166,266,267,266,0,0.332916
167,266,267,266,0,0.332916
168,267,268,268,0,0.332503
169,267,267,266,0,0.333750
170,264,266,267,0,0.331242
171,266,267,267,0,0.332500
172,269,267,266,0,0.335411
173,265,265,267,0,0.332497
174,270,266,267,0,0.336239
175,266,267,266,0,0.332916
176,265,267,267,0,0.331665
177,268,268,267,0,0.333748
178,267,267,266,0,0.333750
179,266,266,267,0,0.332916
180,266,267,267,0,0.332500
181,267,267,266,0,0.333750
182,266,265,267,0,0.333333
183,269,266,267,0,0.335411
184,266,267,266,0,0.332916
185,266,267,267,0,0.332500
186,267,268,267,0,0.332918
187,267,267,266,0,0.333750
188,263,266,267,0,0.330402
189,269,267,267,0,0.334994
190,267,267,266,0,0.333750
191,267,265,267,0,0.334168
192,268,267,266,0,0.334582
193,266,265,267,0,0.333333
194,265,268,267,0,0.331250
195,268,268,266,0,0.334165
196,267,267,267,0,0.333333
197,265,266,267,0,0.332080
198,267,267,267,0,0.333333
199,267,265,266,0,0.334586
200,267,267,267,0,0.333333
201,268,266,267,0,0.334582
