t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,367,183,91,0,0.572543
1,329,162,80,0,0.576182
2,386,191,96,0,0.573551
3,358,185,92,0,0.563780
4,369,183,92,0,0.572981
5,365,181,90,0,0.573899
6,349,176,89,0,0.568404
7,370,183,91,0,0.574534
8,368,181,91,0,0.575000
9,348,182,91,0,0.560386
10,393,192,95,0,0.577941
11,368,177,89,0,0.580442
12,386,196,98,0,0.567647
13,357,184,92,0,0.563981
14,369,185,92,0,0.571207
15,365,183,92,0,0.570312
16,387,191,95,0,0.575037
17,375,184,90,0,0.577812
18,344,175,90,0,0.564860
19,352,175,87,0,0.573290
20,367,187,93,0,0.567233
21,343,167,83,0,0.578415
22,353,180,92,0,0.564800
23,373,188,93,0,0.570336
24,358,177,90,0,0.572800
25,387,196,97,0,0.569118
26,371,186,92,0,0.571649
27,402,194,99,0,0.578417
28,349,178,89,0,0.566558
29,358,182,91,0,0.567353
30,386,191,94,0,0.575261
31,371,179,89,0,0.580595
32,364,190,96,0,0.560000
33,349,175,87,0,0.571195
34,371,183,91,0,0.575194
35,385,190,95,0,0.574627
36,354,182,92,0,0.563694
37,354,176,88,0,0.572816
38,369,183,91,0,0.573872
39,352,173,88,0,0.574225
40,358,182,90,0,0.568254
41,364,185,93,0,0.566978
42,371,184,92,0,0.573416
43,341,173,86,0,0.568333
44,345,173,87,0,0.570248
45,352,175,87,0,0.573290
46,395,186,94,0,0.585185
47,367,192,94,0,0.562021
48,327,166,85,0,0.565744
49,363,177,88,0,0.578025
50,381,193,96,0,0.568657
51,372,186,93,0,0.571429
52,359,180,90,0,0.570747
53,353,177,88,0,0.571197
54,392,194,97,0,0.573939
55,367,183,92,0,0.571651
56,349,175,89,0,0.569331
57,397,193,94,0,0.580409
58,340,180,91,0,0.556465
59,321,156,77,0,0.579422
60,383,195,99,0,0.565731
61,368,177,88,0,0.581359
62,353,180,90,0,0.566613
63,336,171,86,0,0.566610
64,388,194,97,0,0.571429
65,327,162,81,0,0.573684
66,365,184,92,0,0.569423
67,343,169,84,0,0.575503
68,372,187,94,0,0.569678
69,355,178,88,0,0.571659
70,385,191,96,0,0.572917
71,350,175,86,0,0.572831
72,376,188,96,0,0.569697
73,373,190,95,0,0.566869
74,359,175,87,0,0.578100
75,367,186,92,0,0.568992
76,358,176,88,0,0.575563
77,313,161,81,0,0.563964
78,403,199,100,0,0.574074
79,333,163,82,0,0.576125
80,390,193,96,0,0.574374
81,358,187,94,0,0.560250
82,361,179,88,0,0.574841
83,318,161,82,0,0.566845
84,375,187,94,0,0.571646
85,366,179,87,0,0.579114
86,357,182,93,0,0.564873
87,402,198,98,0,0.575931
88,324,159,79,0,0.576512
89,371,189,95,0,0.566412
90,337,172,86,0,0.566387
91,390,192,97,0,0.574374
92,361,183,91,0,0.568504
93,377,186,93,0,0.574695
94,359,183,92,0,0.566246
95,376,184,91,0,0.577573
96,344,172,87,0,0.570481
97,357,180,89,0,0.570288
98,350,177,90,0,0.567261
99,379,187,93,0,0.575114
100,355,179,89,0,0.569823
101,389,194,97,0,0.572059
102,334,170,86,0,0.566102
103,395,190,94,0,0.581738
104,382,197,100,0,0.562592
105,355,173,85,0,0.579119
106,343,175,89,0,0.565074
107,392,190,94,0,0.579882
108,328,167,83,0,0.567474
109,341,174,86,0,0.567388
110,376,187,95,0,0.571429
111,373,184,92,0,0.574730
112,395,196,98,0,0.573295
113,359,176,86,0,0.578100
114,376,195,98,0,0.562033
115,350,175,87,0,0.571895
116,389,196,99,0,0.568713
117,360,175,88,0,0.577849
118,370,184,93,0,0.571870
119,374,187,92,0,0.572741
120,388,194,98,0,0.570588
121,371,186,93,0,0.570769
122,332,169,85,0,0.566553
123,377,186,91,0,0.576453
124,364,181,92,0,0.571429
125,349,174,86,0,0.573071
126,383,190,96,0,0.572496
127,398,203,100,0,0.567760
128,355,179,92,0,0.567093
129,338,171,84,0,0.569983
130,378,188,94,0,0.572727
131,380,186,94,0,0.575758
132,344,175,86,0,0.568595
133,374,188,93,0,0.570992
134,352,173,88,0,0.574225
135,360,183,92,0,0.566929
136,360,179,88,0,0.574163
137,353,177,90,0,0.569355
138,359,174,87,0,0.579032
139,376,191,96,0,0.567119
140,369,188,92,0,0.568567
141,374,188,94,0,0.570122
142,335,163,82,0,0.577586
143,351,177,89,0,0.568882
144,372,187,93,0,0.570552
145,369,185,94,0,0.569444
146,378,183,91,0,0.579755
147,357,183,91,0,0.565769
148,334,162,82,0,0.577855
149,368,187,94,0,0.567026
150,364,186,93,0,0.566096
151,392,193,96,0,0.575624
152,337,174,86,0,0.564489
153,372,181,91,0,0.577640
154,348,175,87,0,0.570492
155,376,183,91,0,0.578462
156,370,186,92,0,0.570988
157,349,182,94,0,0.558400
158,371,182,89,0,0.577882
159,332,166,85,0,0.569468
160,380,192,95,0,0.569715
161,354,174,87,0,0.575610
162,378,187,92,0,0.575342
163,355,180,91,0,0.567093
164,371,185,94,0,0.570769
165,379,187,91,0,0.576865
166,346,174,88,0,0.569079
167,369,186,93,0,0.569444
168,338,166,84,0,0.574830
169,371,187,92,0,0.570769
170,362,181,90,0,0.571880
171,347,177,90,0,0.565147
172,379,187,95,0,0.573374
173,364,182,89,0,0.573228
174,352,177,88,0,0.570502
175,367,182,90,0,0.574335
176,365,185,95,0,0.565891
177,358,176,87,0,0.576490
178,358,179,90,0,0.570973
179,392,194,95,0,0.575624
180,351,179,91,0,0.565217
181,356,179,88,0,0.571429
182,341,171,87,0,0.569282
183,347,176,89,0,0.566993
184,422,205,101,0,0.579670
185,336,171,85,0,0.567568
186,369,185,93,0,0.570325
187,347,174,89,0,0.568852
188,364,183,89,0,0.572327
189,338,168,85,0,0.571912
190,379,189,94,0,0.572508
191,361,177,88,0,0.576677
192,369,186,95,0,0.567692
193,390,192,95,0,0.576071
194,362,187,93,0,0.563863
195,375,184,91,0,0.576923
196,364,181,91,0,0.572327
197,333,172,87,0,0.562500
198,350,171,85,0,0.577558
199,343,173,88,0,0.567881
200,354,180,89,0,0.568218
201,337,160,80,0,0.584055
202,356,180,88,0,0.570513
203,358,182,93,0,0.565561
204,371,186,92,0,0.571649
205,362,178,88,0,0.576433
206,391,199,102,0,0.565029
207,351,175,87,0,0.572594
208,337,171,87,0,0.566387
209,391,191,94,0,0.578402
210,352,179,89,0,0.567742
211,360,180,90,0,0.571429
212,371,184,93,0,0.572531
213,367,185,93,0,0.568992
214,383,187,92,0,0.578550
215,363,184,93,0,0.567187
216,363,181,88,0,0.574367
217,373,184,94,0,0.572965
218,326,163,81,0,0.571930
219,354,182,93,0,0.562798
220,362,184,91,0,0.568289
221,358,178,90,0,0.571885
222,371,184,91,0,0.574303
223,393,192,93,0,0.579646
224,351,178,90,0,0.567044
225,331,168,86,0,0.565812
226,365,183,90,0,0.572100
227,379,187,94,0,0.574242
228,345,172,87,0,0.571192
229,408,202,100,0,0.574648
230,361,181,91,0,0.570300
231,331,169,83,0,0.567753
232,389,195,98,0,0.570381
233,375,183,92,0,0.576923
234,338,172,87,0,0.566164
235,358,180,89,0,0.570973
236,387,192,96,0,0.573333
237,365,184,92,0,0.569423
238,319,154,77,0,0.580000
239,360,184,94,0,0.564263
240,391,194,95,0,0.575000
241,367,186,94,0,0.567233
242,362,180,89,0,0.573693
243,381,189,94,0,0.573795
244,355,179,91,0,0.568000
245,396,197,97,0,0.573913
246,344,173,87,0,0.569536
247,360,181,92,0,0.568720
248,352,178,88,0,0.569579
249,391,193,96,0,0.575000
250,373,188,95,0,0.568598
251,368,184,92,0,0.571429
