t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,347,283,187,0,0.424725
1,308,303,187,0,0.385965
2,330,286,183,0,0.413016
3,321,297,181,0,0.401752
4,319,302,181,0,0.397756
5,338,289,168,0,0.425157
6,326,300,174,0,0.407500
7,344,282,180,0,0.426799
8,320,290,184,0,0.403023
9,331,291,178,0,0.413750
10,311,305,187,0,0.387298
11,327,295,177,0,0.409262
12,340,280,185,0,0.422360
13,307,306,184,0,0.385194
14,306,306,185,0,0.383940
15,309,309,182,0,0.386250
16,333,292,182,0,0.412639
17,333,285,178,0,0.418342
18,323,303,172,0,0.404762
19,298,310,193,0,0.372035
20,332,289,180,0,0.414482
21,315,297,188,0,0.393750
22,326,293,180,0,0.408010
23,310,306,184,0,0.387500
24,350,279,173,0,0.436409
25,292,314,194,0,0.365000
26,334,290,176,0,0.417500
27,316,299,181,0,0.396985
28,324,297,179,0,0.405000
29,310,306,186,0,0.386534
30,327,289,188,0,0.406716
31,318,294,184,0,0.399497
32,335,284,182,0,0.418227
33,321,299,180,0,0.401250
34,310,307,182,0,0.387985
35,316,302,182,0,0.395000
36,318,295,184,0,0.398996
37,317,307,180,0,0.394279
38,321,301,174,0,0.403266
39,295,309,190,0,0.371537
40,316,304,190,0,0.390123
41,314,300,182,0,0.394472
42,309,310,182,0,0.385768
43,315,308,182,0,0.391304
44,305,302,187,0,0.384131
45,325,291,192,0,0.402228
46,331,289,174,0,0.416877
47,319,289,193,0,0.398252
48,328,298,178,0,0.407960
49,334,275,178,0,0.424396
50,307,304,196,0,0.380421
51,319,290,190,0,0.399249
52,322,295,185,0,0.401496
53,303,311,187,0,0.378277
54,322,292,183,0,0.404015
55,314,307,184,0,0.390062
56,329,285,182,0,0.413317
57,334,289,182,0,0.414907
58,308,298,186,0,0.388889
59,296,302,204,0,0.369077
60,318,305,182,0,0.395031
61,333,278,189,0,0.416250
62,301,314,181,0,0.378141
63,320,303,179,0,0.399002
64,323,296,182,0,0.403246
65,324,299,178,0,0.404494
66,329,291,180,0,0.411250
67,315,298,182,0,0.396226
68,307,312,180,0,0.384230
69,326,289,187,0,0.406484
70,320,293,191,0,0.398010
71,319,299,180,0,0.399749
72,317,302,182,0,0.395755
73,300,306,191,0,0.376412
74,318,295,186,0,0.397997
75,310,308,182,0,0.387500
76,329,293,182,0,0.409204
77,313,293,192,0,0.392231
78,309,303,189,0,0.385768
79,294,303,192,0,0.372624
80,328,300,186,0,0.402948
81,334,287,180,0,0.416979
82,314,300,178,0,0.396465
83,318,300,188,0,0.394541
84,315,303,184,0,0.392768
85,325,292,178,0,0.408805
86,326,292,183,0,0.406991
87,316,301,182,0,0.395494
88,325,300,180,0,0.403727
89,304,294,193,0,0.384324
90,343,286,178,0,0.425031
91,307,301,190,0,0.384712
92,321,293,181,0,0.403774
93,310,306,189,0,0.385093
94,328,290,182,0,0.410000
95,326,299,179,0,0.405473
96,317,307,170,0,0.399244
97,305,303,194,0,0.380299
98,315,297,188,0,0.393750
99,314,292,184,0,0.397468
100,334,300,175,0,0.412855
101,317,298,189,0,0.394279
102,314,305,181,0,0.392500
103,303,303,188,0,0.381612
104,325,299,180,0,0.404229
105,318,294,192,0,0.395522
106,314,295,184,0,0.395965
107,330,296,177,0,0.410959
108,304,309,183,0,0.381910
109,325,294,177,0,0.408291
110,318,310,180,0,0.393564
111,323,303,178,0,0.401741
112,318,296,183,0,0.398996
113,310,298,187,0,0.389937
114,330,297,179,0,0.409429
115,305,303,192,0,0.381250
116,317,303,179,0,0.396746
117,328,295,175,0,0.411028
118,329,296,179,0,0.409204
119,301,302,189,0,0.380051
120,326,293,188,0,0.403965
121,309,300,184,0,0.389660
122,315,303,177,0,0.396226
123,314,304,185,0,0.391034
124,325,293,180,0,0.407268
125,323,301,182,0,0.400744
126,321,300,181,0,0.400249
127,321,303,172,0,0.403266
128,333,281,188,0,0.415212
129,307,292,191,0,0.388608
130,306,310,194,0,0.377778
131,307,299,187,0,0.387137
132,308,309,184,0,0.384519
133,318,302,187,0,0.394052
134,331,288,186,0,0.411180
135,327,294,172,0,0.412358
136,299,302,190,0,0.378003
137,323,295,189,0,0.400248
138,312,302,186,0,0.390000
139,321,298,177,0,0.403266
140,315,305,184,0,0.391791
141,320,297,184,0,0.399501
142,311,305,185,0,0.388265
143,314,303,187,0,0.390547
144,314,299,180,0,0.395965
145,320,298,181,0,0.400501
146,318,301,183,0,0.396509
147,313,304,183,0,0.391250
148,309,300,190,0,0.386733
149,317,296,185,0,0.397243
150,307,304,191,0,0.382793
151,324,297,177,0,0.406015
152,310,311,185,0,0.384615
153,317,291,188,0,0.398241
154,340,285,176,0,0.424469
155,338,293,173,0,0.420398
156,300,307,188,0,0.377358
157,303,307,192,0,0.377805
158,301,307,190,0,0.377193
159,298,301,196,0,0.374843
160,323,302,184,0,0.399258
161,318,289,188,0,0.400000
162,312,306,181,0,0.390488
163,324,292,185,0,0.404494
164,324,292,185,0,0.404494
165,340,288,179,0,0.421314
166,322,288,184,0,0.405542
167,335,294,175,0,0.416667
168,314,296,186,0,0.394472
169,327,290,179,0,0.410804
170,325,292,186,0,0.404732
171,302,309,188,0,0.377972
172,332,292,176,0,0.415000
173,328,298,180,0,0.406948
174,319,297,182,0,0.399749
175,308,307,188,0,0.383562
176,326,285,185,0,0.409548
177,327,295,180,0,0.407731
178,303,304,188,0,0.381132
179,308,306,184,0,0.385965
180,325,297,183,0,0.403727
181,321,297,181,0,0.401752
182,330,288,183,0,0.411985
183,306,301,193,0,0.382500
184,320,300,183,0,0.398506
185,345,287,166,0,0.432331
186,338,285,176,0,0.423029
187,306,299,195,0,0.382500
188,322,294,187,0,0.400996
189,298,297,194,0,0.377693
190,311,300,196,0,0.385378
191,319,296,186,0,0.398252
192,320,298,185,0,0.398506
193,317,294,185,0,0.398241
194,303,302,189,0,0.381612
195,314,301,194,0,0.388133
196,334,291,176,0,0.416979
197,312,304,180,0,0.391960
198,312,301,180,0,0.393443
199,311,295,194,0,0.388750
200,309,305,193,0,0.382900
201,312,307,185,0,0.388060
202,306,300,190,0,0.384422
203,325,289,185,0,0.406758
204,326,290,183,0,0.408010
205,310,293,189,0,0.391414
206,329,294,187,0,0.406173
207,317,295,190,0,0.395262
208,312,299,187,0,0.390977
209,305,292,193,0,0.386076
210,330,295,186,0,0.406905
211,316,291,195,0,0.394015
212,326,297,178,0,0.406991
213,318,301,175,0,0.400504
214,320,299,190,0,0.395550
215,322,287,184,0,0.406053
216,314,308,179,0,0.392010
217,325,293,182,0,0.406250
218,326,297,178,0,0.406991
219,323,278,190,0,0.408344
220,319,302,185,0,0.395782
221,308,305,191,0,0.383085
222,322,289,187,0,0.403509
223,325,294,182,0,0.405743
224,304,310,186,0,0.380000
225,306,307,184,0,0.383940
226,311,300,192,0,0.387298
227,333,289,184,0,0.413151
228,331,283,180,0,0.416877
229,320,291,181,0,0.404040
230,324,295,188,0,0.401487
231,329,293,175,0,0.412798
232,320,289,194,0,0.398506
233,308,303,187,0,0.385965
234,328,300,176,0,0.407960
235,316,294,186,0,0.396985
236,319,297,187,0,0.397260
237,300,304,195,0,0.375469
238,307,309,187,0,0.382316
239,321,295,177,0,0.404792
240,346,284,178,0,0.428218
241,323,299,182,0,0.401741
242,312,304,181,0,0.391468
243,335,280,184,0,0.419274
244,304,300,193,0,0.381430
245,332,293,183,0,0.410891
246,322,291,183,0,0.404523
247,317,293,185,0,0.398742
248,326,305,174,0,0.404969
249,297,308,189,0,0.374055
250,323,302,184,0,0.399258
251,311,307,175,0,0.392182
252,311,302,195,0,0.384901
253,311,298,184,0,0.392182
254,321,301,177,0,0.401752
255,340,287,179,0,0.421836
256,314,306,175,0,0.394969
257,300,316,190,0,0.372208
258,311,293,186,0,0.393671
259,302,310,189,0,0.377029
260,305,306,190,0,0.380774
261,310,310,187,0,0.384139
262,315,295,182,0,0.397727
263,317,300,184,0,0.395755
264,315,305,183,0,0.392279
265,324,293,188,0,0.402484
266,335,285,181,0,0.418227
267,320,289,182,0,0.404551
268,346,284,175,0,0.429814
269,318,291,181,0,0.402532
270,312,309,190,0,0.384710
271,340,282,175,0,0.426600
272,315,306,183,0,0.391791
273,314,306,174,0,0.395466
274,327,295,178,0,0.408750
275,309,303,195,0,0.382900
276,305,300,189,0,0.384131
277,330,284,186,0,0.412500
278,314,300,188,0,0.391521
279,318,288,186,0,0.401515
280,313,307,185,0,0.388820
281,313,301,184,0,0.392231
282,322,308,180,0,0.397531
283,340,284,173,0,0.426600
