t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,266,268,268,0,0.331671
1,264,268,266,0,0.330827
2,270,266,266,0,0.336658
3,265,267,268,0,0.331250
4,266,266,267,0,0.332916
5,268,267,266,0,0.334582
6,266,266,267,0,0.332916
7,268,268,267,0,0.333748
8,267,264,265,0,0.335427
9,265,268,268,0,0.330836
10,267,268,266,0,0.333333
11,268,266,266,0,0.335000
12,266,267,268,0,0.332085
13,266,266,267,0,0.332916
14,267,267,266,0,0.333750
15,266,266,267,0,0.332916
16,268,268,267,0,0.333748
17,267,264,265,0,0.335427
18,265,268,268,0,0.330836
19,265,268,266,0,0.331665
20,270,266,266,0,0.336658
21,265,267,268,0,0.331250
22,267,266,267,0,0.333750
23,267,267,266,0,0.333750
24,266,266,267,0,0.332916
25,268,268,267,0,0.333748
26,267,264,265,0,0.335427
27,266,268,268,0,0.331671
28,266,268,266,0,0.332500
29,268,266,266,0,0.335000
30,265,267,268,0,0.331250
31,267,266,267,0,0.333750
32,267,267,266,0,0.333750
33,266,266,267,0,0.332916
34,268,268,267,0,0.333748
35,267,264,265,0,0.335427
36,265,268,268,0,0.330836
37,267,268,266,0,0.333333
38,268,266,266,0,0.335000
39,265,267,268,0,0.331250
40,267,266,267,0,0.333750
41,267,267,266,0,0.333750
42,266,266,267,0,0.332916
43,268,268,267,0,0.333748
44,267,264,265,0,0.335427
45,265,268,268,0,0.330836
46,267,268,266,0,0.333333
47,268,266,266,0,0.335000
48,265,267,268,0,0.331250
49,267,266,267,0,0.333750
50,265,267,266,0,0.332080
51,268,266,267,0,0.334582
52,268,268,267,0,0.333748
53,267,264,265,0,0.335427
54,265,268,268,0,0.330836
55,266,268,266,0,0.332500
56,269,266,266,0,0.335830
57,265,267,268,0,0.331250
58,267,266,267,0,0.333750
59,265,267,266,0,0.332080
60,268,266,267,0,0.334582
61,268,268,267,0,0.333748
62,267,264,265,0,0.335427
63,265,268,268,0,0.330836
64,266,268,266,0,0.332500
65,269,266,266,0,0.335830
66,265,267,268,0,0.331250
67,266,266,267,0,0.332916
68,267,267,266,0,0.333750
69,267,266,267,0,0.333750
70,268,268,267,0,0.333748
71,267,264,265,0,0.335427
72,265,268,268,0,0.330836
73,267,268,266,0,0.333333
74,268,266,266,0,0.335000
75,265,267,268,0,0.331250
76,267,266,267,0,0.333750
77,266,267,266,0,0.332916
78,267,265,267,0,0.334168
79,268,269,267,0,0.333333
80,267,264,265,0,0.335427
81,265,268,268,0,0.330836
82,267,268,266,0,0.333333
83,268,266,266,0,0.335000
84,265,267,268,0,0.331250
85,266,266,267,0,0.332916
86,268,267,266,0,0.334582
87,266,266,267,0,0.332916
88,268,268,267,0,0.333748
89,267,264,265,0,0.335427
90,265,268,268,0,0.330836
91,264,268,266,0,0.330827
92,271,266,266,0,0.337484
93,265,267,268,0,0.331250
94,267,266,267,0,0.333750
95,265,267,266,0,0.332080
96,268,266,267,0,0.334582
97,268,268,267,0,0.333748
98,267,264,265,0,0.335427
99,265,268,268,0,0.330836
100,267,268,266,0,0.333333
101,268,266,266,0,0.335000
102,265,267,268,0,0.331250
103,267,266,267,0,0.333750
104,267,267,266,0,0.333750
105,266,266,267,0,0.332916
106,268,268,267,0,0.333748
107,267,264,265,0,0.335427
108,265,268,268,0,0.330836
109,267,268,266,0,0.333333
110,268,266,266,0,0.335000
111,265,267,268,0,0.331250
112,266,266,267,0,0.332916
113,268,267,266,0,0.334582
114,266,266,267,0,0.332916
115,268,268,267,0,0.333748
116,267,264,265,0,0.335427
117,265,268,268,0,0.330836
118,268,268,266,0,0.334165
119,267,266,266,0,0.334168
120,264,266,268,0,0.330827
