t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,400,197,98,0,0.575540
1,383,189,94,0,0.575075
2,389,196,98,0,0.569546
3,329,169,85,0,0.564322
4,377,186,92,0,0.575573
5,330,167,85,0,0.567010
6,343,169,82,0,0.577441
7,387,191,96,0,0.574184
8,347,177,89,0,0.566069
9,370,180,90,0,0.578125
10,401,204,103,0,0.566384
11,365,184,92,0,0.569423
12,380,187,93,0,0.575758
13,343,171,85,0,0.572621
14,342,177,90,0,0.561576
15,392,190,93,0,0.580741
16,369,187,95,0,0.566820
17,344,173,86,0,0.570481
18,373,184,92,0,0.574730
19,342,174,88,0,0.566225
20,362,177,87,0,0.578275
21,365,184,92,0,0.569423
22,406,204,102,0,0.570225
23,329,163,82,0,0.573171
24,388,199,100,0,0.564774
25,383,187,93,0,0.577677
26,339,171,85,0,0.569748
27,387,193,97,0,0.571640
28,344,176,89,0,0.564860
29,404,198,97,0,0.577969
30,373,186,94,0,0.571210
31,335,170,86,0,0.566836
32,363,181,91,0,0.571654
33,343,170,85,0,0.573579
34,402,198,98,0,0.575931
35,339,172,86,0,0.567839
36,364,182,90,0,0.572327
37,370,186,93,0,0.570108
38,354,172,86,0,0.578431
39,368,192,96,0,0.560976
40,384,190,95,0,0.573991
41,391,195,98,0,0.571637
42,365,177,87,0,0.580286
43,338,174,88,0,0.563333
44,379,184,92,0,0.578626
45,348,179,90,0,0.564019
46,375,187,94,0,0.571646
47,340,169,83,0,0.574324
48,380,187,94,0,0.574887
49,357,186,94,0,0.560440
50,396,189,93,0,0.584071
51,316,167,84,0,0.557319
52,334,163,82,0,0.576857
53,378,191,96,0,0.568421
54,361,181,90,0,0.571203
55,384,189,94,0,0.575712
56,338,173,87,0,0.565217
57,373,181,90,0,0.579193
58,360,183,92,0,0.566929
59,347,173,86,0,0.572607
60,366,185,94,0,0.567442
61,356,179,89,0,0.570513
62,374,184,92,0,0.575385
63,349,177,87,0,0.569331
64,379,190,95,0,0.570783
65,381,185,94,0,0.577273
66,383,194,96,0,0.569094
67,348,176,89,0,0.567700
68,363,176,87,0,0.579872
69,392,198,100,0,0.568116
70,337,171,85,0,0.568297
71,382,191,95,0,0.571856
72,340,169,85,0,0.572391
73,374,190,96,0,0.566667
74,371,182,89,0,0.577882
75,361,178,89,0,0.574841
76,369,186,94,0,0.568567
77,353,179,88,0,0.569355
78,355,175,89,0,0.573506
79,360,182,91,0,0.568720
80,386,192,94,0,0.574405
81,373,187,96,0,0.568598
82,338,172,86,0,0.567114
83,364,178,88,0,0.577778
84,342,172,87,0,0.569052
85,369,180,89,0,0.578370
86,363,185,93,0,0.566303
87,381,190,94,0,0.572932
88,368,188,95,0,0.565284
89,370,184,93,0,0.571870
90,355,169,81,0,0.586777
91,369,194,100,0,0.556561
92,385,188,94,0,0.577211
93,341,175,89,0,0.563636
94,349,173,85,0,0.574959
95,365,184,91,0,0.570312
96,384,189,96,0,0.573991
97,354,177,87,0,0.572816
98,334,169,86,0,0.567063
99,389,195,97,0,0.571219
100,354,172,85,0,0.579378
