t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,333,281,183,0,0.417817
1,332,284,180,0,0.417085
2,339,289,175,0,0.422167
3,315,293,192,0,0.393750
4,320,295,187,0,0.399002
5,313,300,186,0,0.391740
6,324,283,193,0,0.405000
7,326,287,181,0,0.410579
8,328,297,180,0,0.407453
9,324,290,184,0,0.406015
10,335,293,170,0,0.419799
11,340,292,171,0,0.423412
12,310,301,193,0,0.385572
13,316,290,189,0,0.397484
14,317,301,183,0,0.395755
15,339,280,182,0,0.423221
16,311,301,190,0,0.387781
17,300,300,192,0,0.378788
18,306,310,191,0,0.379182
19,324,294,180,0,0.406015
20,332,289,182,0,0.413450
21,320,289,185,0,0.403023
22,296,313,195,0,0.368159
23,322,300,174,0,0.404523
24,338,290,176,0,0.420398
25,312,303,185,0,0.390000
26,322,296,184,0,0.401496
27,305,302,192,0,0.381727
28,321,297,181,0,0.401752
29,317,301,183,0,0.395755
30,336,281,182,0,0.420526
31,328,288,180,0,0.412060
32,317,308,178,0,0.394770
33,309,313,177,0,0.386733
34,311,295,194,0,0.388750
35,307,303,195,0,0.381366
36,306,299,192,0,0.383940
37,318,297,180,0,0.400000
38,318,304,185,0,0.394052
39,319,297,184,0,0.398750
40,322,297,181,0,0.402500
41,334,289,178,0,0.416979
42,306,298,189,0,0.385876
43,328,294,185,0,0.406444
44,334,282,180,0,0.419598
45,298,304,198,0,0.372500
46,329,291,180,0,0.411250
47,316,300,186,0,0.394015
48,319,303,178,0,0.398750
49,318,304,179,0,0.397004
50,304,310,185,0,0.380476
51,303,313,184,0,0.378750
52,312,301,188,0,0.389513
53,316,287,194,0,0.396487
54,321,301,178,0,0.401250
55,310,294,191,0,0.389937
56,341,287,181,0,0.421508
57,308,305,183,0,0.386935
58,326,290,183,0,0.408010
59,304,312,187,0,0.378580
60,326,303,170,0,0.408010
61,308,303,192,0,0.383562
62,322,295,180,0,0.404015
63,322,293,188,0,0.400996
64,325,299,174,0,0.407268
65,291,314,193,0,0.364662
66,315,304,184,0,0.392279
67,327,293,178,0,0.409774
68,308,309,185,0,0.384040
69,330,285,182,0,0.414053
70,329,299,176,0,0.409204
71,315,297,182,0,0.396725
72,316,300,189,0,0.392547
73,333,285,181,0,0.416771
74,323,296,176,0,0.406289
75,326,291,189,0,0.404467
76,315,309,176,0,0.393750
77,313,297,186,0,0.393216
78,324,299,179,0,0.403990
79,342,288,174,0,0.425373
80,328,285,183,0,0.412060
81,322,297,184,0,0.400996
82,323,291,183,0,0.405270
83,301,306,190,0,0.377666
84,332,287,187,0,0.411911
85,333,282,183,0,0.417293
86,288,310,199,0,0.361355
87,343,288,173,0,0.426617
88,302,307,186,0,0.379874
89,312,305,186,0,0.388543
90,316,298,183,0,0.396487
91,315,302,184,0,0.393258
92,313,301,189,0,0.389788
93,290,319,192,0,0.362047
94,312,307,183,0,0.389027
95,313,299,186,0,0.392231
96,310,304,185,0,0.387985
97,341,282,175,0,0.427318
98,321,301,179,0,0.400749
99,349,285,169,0,0.434620
100,321,295,181,0,0.402760
101,301,310,190,0,0.375780
102,296,318,184,0,0.370927
103,323,297,182,0,0.402743
104,312,301,187,0,0.390000
105,312,303,187,0,0.389027
106,324,296,180,0,0.405000
107,307,296,194,0,0.385194
108,304,303,191,0,0.380952
109,318,295,185,0,0.398496
110,320,300,184,0,0.398010
111,334,286,181,0,0.416979
112,320,300,181,0,0.399501
113,326,295,181,0,0.406484
114,328,288,177,0,0.413619
115,302,305,196,0,0.376090
116,297,316,184,0,0.372647
117,314,314,172,0,0.392500
118,311,303,188,0,0.387781
