t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,266,266,268,0,0.332500
1,267,268,266,0,0.333333
2,267,267,267,0,0.333333
3,268,267,267,0,0.334165
4,266,266,265,0,0.333752
5,266,267,268,0,0.332085
6,267,266,266,0,0.334168
7,266,267,266,0,0.332916
8,267,268,268,0,0.332503
9,266,264,267,0,0.333752
10,266,268,266,0,0.332500
11,268,266,267,0,0.334582
12,268,268,267,0,0.333748
13,266,266,265,0,0.333752
14,266,267,268,0,0.332085
15,267,265,266,0,0.334586
16,267,268,266,0,0.333333
17,266,268,268,0,0.331671
18,268,264,267,0,0.335419
19,264,268,266,0,0.330827
20,268,267,267,0,0.334165
21,268,267,267,0,0.334165
22,266,266,265,0,0.333752
23,266,267,268,0,0.332085
24,267,265,265,0,0.335006
25,267,268,267,0,0.332918
26,266,268,268,0,0.331671
27,267,264,267,0,0.334586
28,265,268,266,0,0.331665
29,268,267,267,0,0.334165
30,268,267,267,0,0.334165
31,266,266,265,0,0.333752
32,266,266,268,0,0.332500
33,267,267,266,0,0.333750
34,266,267,266,0,0.332916
35,267,268,268,0,0.332503
36,267,264,267,0,0.334586
37,266,268,266,0,0.332500
38,267,267,267,0,0.333333
39,268,267,267,0,0.334165
40,266,266,265,0,0.333752
41,266,267,268,0,0.332085
42,267,266,266,0,0.334168
43,266,267,266,0,0.332916
44,267,267,268,0,0.332918
45,267,265,267,0,0.334168
46,265,268,266,0,0.331665
47,268,266,267,0,0.334582
48,268,268,267,0,0.333748
49,266,266,265,0,0.333752
50,266,266,268,0,0.332500
51,267,267,265,0,0.334168
52,267,267,267,0,0.333333
53,266,268,268,0,0.331671
54,268,264,267,0,0.335419
55,264,268,266,0,0.330827
56,268,267,267,0,0.334165
57,268,267,267,0,0.334165
58,266,265,265,0,0.334171
59,266,268,268,0,0.331671
60,267,265,266,0,0.334586
61,266,268,266,0,0.332500
62,267,268,268,0,0.332503
63,268,264,267,0,0.335419
64,264,268,266,0,0.330827
65,268,267,267,0,0.334165
66,268,267,267,0,0.334165
67,266,266,265,0,0.333752
68,266,267,268,0,0.332085
69,267,266,266,0,0.334168
70,266,267,266,0,0.332916
71,267,267,268,0,0.332918
72,268,265,267,0,0.335000
73,264,268,266,0,0.330827
74,268,267,267,0,0.334165
75,268,267,267,0,0.334165
76,266,265,265,0,0.334171
77,266,268,268,0,0.331671
78,267,266,266,0,0.334168
79,266,267,266,0,0.332916
80,267,268,268,0,0.332503
81,268,264,267,0,0.335419
82,265,268,266,0,0.331665
83,267,267,267,0,0.333333
84,268,267,267,0,0.334165
85,266,266,265,0,0.333752
86,261,267,267,0,0.328302
87,272,266,267,0,0.337888
88,267,267,266,0,0.333750
89,266,268,268,0,0.331671
90,268,264,267,0,0.335419
91,264,268,266,0,0.330827
92,268,267,267,0,0.334165
93,268,267,267,0,0.334165
94,266,266,265,0,0.333752
95,264,267,268,0,0.330413
96,269,266,266,0,0.335830
97,266,267,266,0,0.332916
98,267,267,268,0,0.332918
99,268,265,267,0,0.335000
100,264,268,266,0,0.330827
101,268,267,267,0,0.334165
102,268,267,267,0,0.334165
103,266,266,265,0,0.333752
104,266,267,268,0,0.332085
105,267,266,266,0,0.334168
106,266,267,266,0,0.332916
107,267,267,268,0,0.332918
108,266,265,267,0,0.333333
109,266,268,266,0,0.332500
110,268,267,267,0,0.334165
111,268,267,267,0,0.334165
112,266,266,265,0,0.333752
113,266,267,268,0,0.332085
114,267,266,266,0,0.334168
115,266,267,266,0,0.332916
116,267,268,268,0,0.332503
117,268,264,267,0,0.335419
118,264,268,266,0,0.330827
119,268,267,267,0,0.334165
120,268,267,266,0,0.334582
121,266,266,266,0,0.333333
122,266,267,268,0,0.332085
123,267,265,265,0,0.335006
124,265,268,267,0,0.331250
125,268,268,268,0,0.333333
126,268,264,267,0,0.335419
127,265,268,266,0,0.331665
128,267,266,267,0,0.333750
129,268,268,267,0,0.333748
130,266,266,265,0,0.333752
131,265,267,268,0,0.331250
132,268,265,265,0,0.335840
133,266,268,267,0,0.332085
134,267,268,268,0,0.332503
135,268,264,267,0,0.335419
136,264,268,266,0,0.330827
137,268,267,267,0,0.334165
138,268,267,267,0,0.334165
139,266,266,265,0,0.333752
140,266,267,268,0,0.332085
141,267,266,265,0,0.334586
142,266,267,267,0,0.332500
143,267,268,268,0,0.332503
144,268,264,267,0,0.335419
145,264,268,266,0,0.330827
146,267,267,267,0,0.333333
147,269,267,265,0,0.335830
148,266,264,267,0,0.333752
149,266,269,268,0,0.331258
150,267,265,265,0,0.335006
151,266,268,267,0,0.332085
152,267,267,268,0,0.332918
153,268,265,267,0,0.335000
154,264,268,266,0,0.330827
155,268,267,267,0,0.334165
156,267,267,265,0,0.334168
157,267,266,267,0,0.333750
158,266,267,268,0,0.332085
159,267,266,265,0,0.334586
160,266,267,267,0,0.332500
161,267,268,268,0,0.332503
162,268,264,267,0,0.335419
163,264,268,266,0,0.330827
164,268,267,267,0,0.334165
165,268,267,266,0,0.334582
166,264,266,265,0,0.332075
167,268,267,269,0,0.333333
168,267,266,265,0,0.334586
169,266,267,267,0,0.332500
170,267,267,268,0,0.332918
171,268,265,267,0,0.335000
172,264,268,266,0,0.330827
173,268,267,267,0,0.334165
174,268,267,266,0,0.334582
175,266,266,266,0,0.333333
176,266,267,268,0,0.332085
177,267,266,265,0,0.334586
178,267,267,267,0,0.333333
179,266,268,268,0,0.331671
180,268,264,267,0,0.335419
181,266,268,266,0,0.332500
182,266,267,267,0,0.332500
183,268,267,267,0,0.334165
184,266,266,265,0,0.333752
185,266,267,268,0,0.332085
186,267,265,266,0,0.334586
187,266,268,266,0,0.332500
188,267,268,268,0,0.332503
189,268,264,267,0,0.335419
190,264,268,265,0,0.331242
191,268,267,268,0,0.333748
192,268,267,267,0,0.334165
193,266,265,265,0,0.334171
194,266,268,268,0,0.331671
195,267,266,265,0,0.334586
196,267,267,267,0,0.333333
197,266,268,268,0,0.331671
198,268,264,266,0,0.335840
199,264,268,267,0,0.330413
200,268,267,267,0,0.334165
201,268,267,266,0,0.334582
202,266,266,266,0,0.333333
203,266,267,268,0,0.332085
204,267,266,265,0,0.334586
205,266,267,267,0,0.332500
206,267,268,268,0,0.332503
207,267,264,267,0,0.334586
208,266,268,266,0,0.332500
209,267,267,267,0,0.333333
210,268,267,266,0,0.334582
211,266,266,266,0,0.333333
212,266,267,268,0,0.332085
213,267,266,265,0,0.334586
214,267,267,266,0,0.333750
215,266,268,269,0,0.331258
216,268,264,267,0,0.335419
217,265,268,266,0,0.331665
218,265,267,267,0,0.331665
219,270,267,265,0,0.336658
220,266,266,267,0,0.332916
221,266,267,268,0,0.332085
222,267,266,266,0,0.334168
223,265,267,266,0,0.332080
224,268,268,268,0,0.333333
225,268,264,267,0,0.335419
226,264,268,266,0,0.330827
227,268,267,267,0,0.334165
228,268,267,266,0,0.334582
229,266,266,266,0,0.333333
230,266,267,267,0,0.332500
231,267,266,266,0,0.334168
232,266,267,267,0,0.332500
233,267,267,268,0,0.332918
234,268,265,267,0,0.335000
235,265,268,266,0,0.331665
236,267,267,267,0,0.333333
237,268,267,266,0,0.334582
238,266,266,266,0,0.333333
239,266,267,268,0,0.332085
240,267,266,265,0,0.334586
241,266,267,267,0,0.332500
242,267,268,268,0,0.332503
243,267,264,267,0,0.334586
244,265,268,266,0,0.331665
245,268,267,267,0,0.334165
246,268,267,266,0,0.334582
247,266,264,266,0,0.334171
248,266,269,268,0,0.331258
249,267,266,266,0,0.334168
250,267,267,266,0,0.333750
251,266,268,268,0,0.331671
252,267,264,267,0,0.334586
253,265,268,266,0,0.331665
254,268,267,267,0,0.334165
255,268,267,267,0,0.334165
256,266,266,265,0,0.333752
257,266,267,268,0,0.332085
258,267,265,266,0,0.334586
259,267,268,266,0,0.333333
260,266,268,268,0,0.331671
261,268,264,267,0,0.335419
262,265,268,266,0,0.331665
263,267,266,267,0,0.333750
264,268,268,267,0,0.333748
265,266,266,265,0,0.333752
266,266,267,268,0,0.332085
267,267,266,266,0,0.334168
268,266,267,266,0,0.332916
269,267,267,268,0,0.332918
270,268,265,267,0,0.335000
271,264,268,266,0,0.330827
272,268,267,267,0,0.334165
273,268,267,267,0,0.334165
274,266,266,265,0,0.333752
275,266,267,268,0,0.332085
276,267,265,266,0,0.334586
277,266,268,266,0,0.332500
278,267,266,268,0,0.333333
279,268,266,267,0,0.334582
280,265,268,266,0,0.331665
281,267,267,267,0,0.333333
282,268,267,267,0,0.334165
283,266,266,265,0,0.333752
284,266,267,268,0,0.332085
285,267,265,266,0,0.334586
286,266,268,266,0,0.332500
287,267,268,268,0,0.332503
288,268,264,267,0,0.335419
289,265,268,266,0,0.331665
290,267,266,267,0,0.333750
291,268,268,266,0,0.334165
292,266,266,266,0,0.333333
293,266,267,268,0,0.332085
294,267,266,266,0,0.334168
295,266,267,266,0,0.332916
296,267,267,268,0,0.332918
297,268,265,267,0,0.335000
298,265,268,266,0,0.331665
299,267,267,267,0,0.333333
300,268,267,267,0,0.334165
301,266,265,265,0,0.334171
302,266,268,268,0,0.331671
303,267,266,266,0,0.334168
304,266,267,266,0,0.332916
305,267,268,268,0,0.332503
306,265,264,267,0,0.332915
307,267,268,266,0,0.333333
308,268,266,267,0,0.334582
309,268,268,267,0,0.333748
310,266,266,265,0,0.333752
311,266,267,268,0,0.332085
312,267,266,266,0,0.334168
313,267,267,266,0,0.333750
314,266,268,268,0,0.331671
315,266,264,267,0,0.333752
316,267,268,266,0,0.333333
317,267,267,267,0,0.333333
318,268,267,267,0,0.334165
319,266,266,265,0,0.333752
320,266,267,268,0,0.332085
321,267,265,266,0,0.334586
322,267,268,266,0,0.333333
323,266,268,268,0,0.331671
324,268,264,267,0,0.335419
325,264,268,266,0,0.330827
326,266,267,267,0,0.332500
327,270,267,267,0,0.335821
328,265,265,265,0,0.333333
329,267,268,268,0,0.332503
330,267,266,265,0,0.334586
331,266,267,267,0,0.332500
332,267,268,268,0,0.332503
333,267,264,267,0,0.334586
334,265,268,266,0,0.331665
335,268,267,267,0,0.334165
336,268,267,267,0,0.334165
337,265,266,265,0,0.332915
338,267,267,268,0,0.332918
339,267,266,266,0,0.334168
340,267,267,266,0,0.333750
341,266,266,268,0,0.332500
342,268,266,267,0,0.334582
343,264,268,266,0,0.330827
344,268,267,267,0,0.334165
345,268,267,267,0,0.334165
346,266,266,265,0,0.333752
347,266,267,268,0,0.332085
348,267,266,265,0,0.334586
349,267,267,267,0,0.333333
350,266,267,268,0,0.332085
351,268,265,267,0,0.335000
352,264,268,266,0,0.330827
353,268,266,267,0,0.334582
