t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,372,185,92,0,0.573190
1,372,187,93,0,0.570552
2,339,172,87,0,0.566890
3,350,172,86,0,0.575658
4,359,177,88,0,0.575321
5,357,181,92,0,0.566667
6,363,179,88,0,0.576190
7,334,173,88,0,0.561345
8,402,195,97,0,0.579251
9,344,178,90,0,0.562092
10,372,181,89,0,0.579439
11,371,184,91,0,0.574303
12,368,184,94,0,0.569659
13,365,182,89,0,0.573899
14,333,173,88,0,0.560606
15,379,186,93,0,0.575988
16,352,178,89,0,0.568659
17,389,194,97,0,0.572059
18,366,179,89,0,0.577287
19,337,172,86,0,0.566387
20,341,170,84,0,0.573109
21,368,184,94,0,0.569659
22,362,183,91,0,0.569182
23,357,177,88,0,0.573955
24,374,186,92,0,0.573620
25,358,181,93,0,0.566456
26,409,205,100,0,0.572829
27,355,171,86,0,0.580065
28,367,184,92,0,0.570762
29,291,152,78,0,0.558541
30,407,200,97,0,0.578125
31,366,180,92,0,0.573668
32,365,186,92,0,0.567652
33,355,178,90,0,0.569823
34,367,184,91,0,0.571651
35,322,162,82,0,0.568905
36,371,185,92,0,0.572531
37,375,190,96,0,0.567322
38,328,165,83,0,0.569444
39,391,194,97,0,0.573314
40,372,178,88,0,0.583072
41,370,186,92,0,0.570988
42,387,197,99,0,0.566618
43,356,177,89,0,0.572347
44,371,187,93,0,0.569892
45,387,193,95,0,0.573333
46,380,191,97,0,0.568862
47,349,175,88,0,0.570261
48,367,184,91,0,0.571651
49,343,169,86,0,0.573579
50,378,191,95,0,0.569277
51,358,180,90,0,0.570064
52,372,181,90,0,0.578538
53,341,172,86,0,0.569282
54,356,174,87,0,0.576985
55,387,199,99,0,0.564964
56,377,188,94,0,0.572079
57,385,192,95,0,0.572917
58,334,167,84,0,0.570940
59,338,172,87,0,0.566164
60,378,188,94,0,0.572727
61,335,165,82,0,0.575601
62,360,178,91,0,0.572337
63,359,179,88,0,0.573482
64,378,194,97,0,0.565022
65,379,185,92,0,0.577744
66,350,181,91,0,0.562701
67,395,190,95,0,0.580882
68,333,174,88,0,0.559664
69,374,185,91,0,0.575385
70,380,187,94,0,0.574887
71,326,167,84,0,0.564991
72,378,187,94,0,0.573596
73,367,182,89,0,0.575235
74,336,170,86,0,0.567568
75,368,185,93,0,0.569659
76,370,181,89,0,0.578125
77,315,163,83,0,0.561497
78,360,181,90,0,0.570523
79,400,196,98,0,0.576369
80,361,179,90,0,0.573016
81,359,182,92,0,0.567141
82,355,175,86,0,0.576299
83,384,193,96,0,0.570579
84,372,187,95,0,0.568807
85,332,167,83,0,0.570447
86,355,175,88,0,0.574434
87,383,189,93,0,0.575940
88,339,176,90,0,0.560331
89,390,191,93,0,0.578635
90,354,178,90,0,0.569132
91,365,183,92,0,0.570312
92,369,186,93,0,0.569444
93,369,182,91,0,0.574766
94,359,184,92,0,0.565354
95,357,176,89,0,0.573955
96,368,186,92,0,0.569659
97,359,177,88,0,0.575321
98,381,183,92,0,0.580793
99,379,196,96,0,0.564829
100,360,177,90,0,0.574163
101,376,191,96,0,0.567119
102,383,194,97,0,0.568249
103,361,179,89,0,0.573927
104,394,194,97,0,0.575182
105,395,195,98,0,0.574128
106,331,174,88,0,0.558179
107,356,172,84,0,0.581699
108,337,171,84,0,0.569257
109,367,180,92,0,0.574335
110,338,171,85,0,0.569024
111,349,177,89,0,0.567480
112,386,190,94,0,0.576119
113,327,162,82,0,0.572680
114,395,196,99,0,0.572464
115,365,183,90,0,0.572100
116,340,175,88,0,0.563847
117,378,186,92,0,0.576220
118,362,182,92,0,0.569182
119,362,180,91,0,0.571880
120,335,171,84,0,0.567797
121,357,177,89,0,0.573034
122,367,181,89,0,0.576138
