t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,331,286,183,0,0.413750
1,314,305,180,0,0.392991
2,335,288,179,0,0.417706
3,307,305,185,0,0.385194
4,308,298,194,0,0.385000
5,317,301,180,0,0.397243
6,328,286,187,0,0.409488
7,320,295,187,0,0.399002
8,319,296,186,0,0.398252
9,313,298,192,0,0.389788
10,324,290,183,0,0.406524
11,329,294,176,0,0.411765
12,315,307,184,0,0.390819
13,329,286,182,0,0.412798
14,322,295,179,0,0.404523
15,313,302,186,0,0.390762
16,311,307,186,0,0.386816
17,320,294,185,0,0.400501
18,318,294,185,0,0.398996
19,323,298,179,0,0.403750
20,321,300,179,0,0.401250
21,316,299,190,0,0.392547
22,334,291,173,0,0.418546
23,324,284,186,0,0.408060
24,320,306,179,0,0.397516
25,309,310,184,0,0.384807
26,306,307,185,0,0.383459
27,311,306,182,0,0.389237
28,319,301,182,0,0.397756
29,322,291,183,0,0.404523
30,320,290,191,0,0.399501
31,296,304,193,0,0.373266
32,324,299,185,0,0.400990
33,314,307,174,0,0.394969
34,310,308,188,0,0.384615
35,323,298,178,0,0.404255
36,324,292,180,0,0.407035
37,316,307,181,0,0.393035
38,311,298,187,0,0.390704
39,328,301,174,0,0.408468
40,298,302,198,0,0.373434
41,314,307,181,0,0.391521
42,320,295,182,0,0.401506
43,316,301,186,0,0.393524
44,309,307,182,0,0.387218
45,299,311,192,0,0.372818
46,311,308,182,0,0.388265
47,323,298,177,0,0.404762
48,312,302,189,0,0.388543
49,319,296,183,0,0.399749
50,316,301,185,0,0.394015
51,308,303,186,0,0.386449
52,315,299,187,0,0.393258
53,317,300,182,0,0.396746
54,328,294,181,0,0.408468
55,334,280,184,0,0.418546
56,329,288,183,0,0.411250
57,304,316,182,0,0.379052
58,316,308,177,0,0.394507
59,311,304,177,0,0.392677
60,321,302,184,0,0.397770
61,323,289,190,0,0.402743
62,316,302,177,0,0.397484
63,328,291,183,0,0.408978
64,307,308,179,0,0.386650
65,321,294,187,0,0.400249
66,325,293,190,0,0.402228
67,306,301,185,0,0.386364
68,331,287,184,0,0.412718
69,338,286,177,0,0.421973
70,298,305,199,0,0.371571
71,327,290,181,0,0.409774
72,310,303,186,0,0.387985
73,326,291,179,0,0.409548
74,339,289,178,0,0.420596
75,320,300,179,0,0.400501
76,329,291,182,0,0.410224
77,331,288,182,0,0.413233
78,328,288,182,0,0.411028
