t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,272,268,269,0,0.336218
1,260,266,267,0,0.327869
2,272,266,265,0,0.338730
3,261,265,268,0,0.328715
4,273,269,267,0,0.337454
5,267,266,266,0,0.334168
6,263,267,267,0,0.329987
7,267,267,266,0,0.333750
8,266,267,266,0,0.332916
9,271,267,268,0,0.336228
10,261,266,267,0,0.328715
11,272,266,265,0,0.338730
12,262,265,268,0,0.329560
13,270,269,267,0,0.334988
14,269,266,266,0,0.335830
15,262,267,267,0,0.329146
16,265,267,266,0,0.332080
17,268,267,266,0,0.334582
18,271,267,268,0,0.336228
19,264,266,267,0,0.331242
20,269,266,265,0,0.336250
21,263,266,267,0,0.330402
22,270,268,268,0,0.334988
23,266,266,266,0,0.333333
24,265,267,267,0,0.331665
25,265,267,266,0,0.332080
26,267,267,266,0,0.333750
27,271,267,267,0,0.336646
28,263,266,268,0,0.329987
29,270,266,265,0,0.337079
30,257,265,268,0,0.325316
31,276,269,267,0,0.339901
32,268,266,265,0,0.335419
33,263,267,268,0,0.329574
34,265,267,266,0,0.332080
35,268,267,266,0,0.334582
36,266,266,268,0,0.332500
37,265,267,267,0,0.331665
38,272,266,265,0,0.338730
39,263,266,268,0,0.329987
40,270,268,267,0,0.335404
41,266,266,266,0,0.333333
42,265,267,267,0,0.331665
43,269,267,266,0,0.335411
44,263,267,266,0,0.330402
45,271,267,268,0,0.336228
46,263,266,267,0,0.330402
47,269,266,265,0,0.336250
48,262,265,268,0,0.329560
49,272,269,267,0,0.336634
50,268,266,264,0,0.335840
51,260,267,268,0,0.327044
52,269,267,267,0,0.334994
53,265,266,266,0,0.332497
54,272,268,267,0,0.337051
55,262,266,268,0,0.329146
56,271,266,265,0,0.337905
57,259,265,267,0,0.327434
58,274,269,268,0,0.337855
59,266,266,266,0,0.333333
60,265,267,267,0,0.331665
61,269,267,266,0,0.335411
62,264,267,266,0,0.331242
63,270,267,268,0,0.335404
64,263,266,267,0,0.330402
65,270,266,265,0,0.337079
66,263,265,268,0,0.330402
67,270,269,267,0,0.334988
68,268,266,265,0,0.335419
69,263,266,268,0,0.329987
70,265,268,266,0,0.331665
71,267,267,266,0,0.333750
72,271,267,267,0,0.336646
73,262,266,268,0,0.329146
74,267,266,265,0,0.334586
75,264,265,268,0,0.331242
76,273,269,267,0,0.337454
77,265,266,266,0,0.332497
78,267,267,267,0,0.333333
79,267,267,266,0,0.333750
80,264,267,266,0,0.331242
81,271,267,267,0,0.336646
82,264,266,268,0,0.330827
83,268,266,265,0,0.335419
84,264,265,268,0,0.331242
85,270,269,267,0,0.334988
86,268,266,264,0,0.335840
87,263,267,269,0,0.329161
88,266,267,266,0,0.332916
89,267,267,266,0,0.333750
90,269,267,267,0,0.334994
91,262,266,268,0,0.329146
92,269,266,265,0,0.336250
93,266,266,268,0,0.332500
94,269,268,267,0,0.334577
95,268,266,266,0,0.335000
96,263,267,267,0,0.329987
97,267,267,265,0,0.334168
98,265,267,267,0,0.331665
99,272,267,268,0,0.337051
100,264,266,267,0,0.331242
101,268,266,266,0,0.335000
102,264,265,267,0,0.331658
103,270,269,267,0,0.334988
104,263,266,265,0,0.331234
105,268,267,268,0,0.333748
106,267,267,266,0,0.333750
107,266,267,266,0,0.332916
108,270,266,267,0,0.336239
109,260,267,267,0,0.327456
110,273,266,266,0,0.339130
111,264,265,268,0,0.331242
112,269,269,267,0,0.334161
113,265,266,264,0,0.333333
114,265,267,269,0,0.330836
115,267,267,266,0,0.333750
