ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant
1785862448.618,c1,reserve,,0.0,26.34,13.67,3.65,S3,1,2.91,0
1785862448.618,c1,search,,0.0,31.1,20.71,10.98,S3,1,0.58,0
1785862448.618,c1,recommend,,0.0,26.76,14.03,4.0,S3,1,0.52,0
1785862448.618,c2,reserve,,0.0,26.34,13.67,3.65,S3,1,0.61,0
1785862448.618,c2,search,,0.0,31.1,20.71,10.98,S3,1,0.6,0
1785862448.618,c2,recommend,,0.0,26.76,14.03,4.0,S3,1,0.59,0
1785862449.619,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785862449.619,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785862449.619,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785862449.619,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785862449.619,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785862449.619,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785862450.619,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785862450.619,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785862450.619,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785862450.619,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785862450.619,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785862450.619,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785862451.619,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785862451.619,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785862451.619,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785862451.619,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785862451.619,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785862451.619,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785862452.619,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785862452.619,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785862452.619,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785862452.619,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785862452.619,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785862452.619,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785862453.619,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785862453.619,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785862453.619,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785862453.619,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785862453.619,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
