t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,268,267,267,0,0.334165
1,264,266,265,0,0.332075
2,268,267,268,0,0.333748
3,265,266,267,0,0.332080
4,269,267,266,0,0.335411
5,267,267,267,0,0.333333
6,264,267,267,0,0.330827
7,269,267,266,0,0.335411
8,266,266,267,0,0.332916
9,268,267,267,0,0.334165
10,265,266,265,0,0.332915
11,267,267,268,0,0.332918
12,265,266,267,0,0.332080
13,269,267,266,0,0.335411
14,267,267,267,0,0.333333
15,264,267,267,0,0.330827
16,268,267,266,0,0.334582
17,267,266,267,0,0.333750
18,268,267,267,0,0.334165
19,265,266,265,0,0.332915
20,268,267,268,0,0.333748
21,265,266,267,0,0.332080
22,268,267,266,0,0.334582
23,267,267,267,0,0.333333
24,265,267,267,0,0.331665
25,268,267,266,0,0.334582
26,266,266,267,0,0.332916
27,268,267,267,0,0.334165
28,264,266,265,0,0.332075
29,268,267,268,0,0.333748
30,265,266,267,0,0.332080
31,269,267,266,0,0.335411
32,267,267,267,0,0.333333
33,265,267,267,0,0.331665
34,267,267,266,0,0.333750
35,267,266,267,0,0.333750
36,268,267,267,0,0.334165
37,263,266,265,0,0.331234
38,270,267,268,0,0.335404
39,265,266,267,0,0.332080
40,268,267,266,0,0.334582
41,267,267,267,0,0.333333
42,264,267,267,0,0.330827
43,269,267,266,0,0.335411
44,266,266,267,0,0.332916
45,268,267,267,0,0.334165
46,265,266,265,0,0.332915
47,267,267,268,0,0.332918
48,265,266,267,0,0.332080
49,269,267,266,0,0.335411
50,267,266,267,0,0.333750
51,265,268,267,0,0.331250
52,266,267,266,0,0.332916
53,268,266,267,0,0.334582
54,268,267,267,0,0.334165
55,263,266,265,0,0.331234
56,269,267,268,0,0.334577
57,267,266,267,0,0.333750
58,267,267,266,0,0.333750
59,267,267,267,0,0.333333
60,264,267,267,0,0.330827
61,269,267,266,0,0.335411
62,266,266,267,0,0.332916
63,268,267,267,0,0.334165
64,264,266,265,0,0.332075
65,268,267,268,0,0.333748
66,265,266,267,0,0.332080
67,269,267,266,0,0.335411
68,267,267,267,0,0.333333
69,264,267,267,0,0.330827
70,269,267,266,0,0.335411
71,267,266,267,0,0.333750
