t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,376,247,177,0,0.470000
1,374,246,182,0,0.466334
2,389,229,179,0,0.488080
3,411,225,167,0,0.511831
4,395,231,172,0,0.494987
5,383,248,171,0,0.477556
6,378,243,177,0,0.473684
7,392,237,170,0,0.490613
8,405,232,166,0,0.504359
9,409,224,166,0,0.511890
10,384,240,177,0,0.479401
11,389,243,166,0,0.487469
12,395,231,173,0,0.494368
13,405,228,166,0,0.506884
14,406,232,165,0,0.505604
15,395,233,171,0,0.494368
16,396,234,169,0,0.495620
17,396,231,174,0,0.494382
18,401,228,170,0,0.501877
19,385,242,172,0,0.481852
20,399,229,173,0,0.498127
21,396,229,178,0,0.493151
22,392,232,171,0,0.493082
23,406,232,167,0,0.504348
24,406,222,169,0,0.509410
25,387,242,172,0,0.483146
26,383,245,174,0,0.477556
27,397,236,167,0,0.496250
28,391,238,171,0,0.488750
29,402,224,170,0,0.505025
30,387,243,171,0,0.483146
31,370,245,184,0,0.463079
32,403,236,165,0,0.501244
33,397,229,171,0,0.498118
34,395,240,167,0,0.492519
35,396,237,165,0,0.496241
36,383,247,170,0,0.478750
37,397,235,170,0,0.495012
38,408,228,165,0,0.509363
39,400,229,172,0,0.499376
40,404,225,168,0,0.506901
41,377,240,181,0,0.472431
42,394,231,178,0,0.490660
43,394,232,174,0,0.492500
44,402,230,165,0,0.504391
45,409,229,164,0,0.509975
46,403,225,173,0,0.503121
47,398,232,168,0,0.498747
48,401,237,164,0,0.500000
49,393,232,172,0,0.493099
50,409,232,164,0,0.508075
51,373,247,175,0,0.469182
52,376,250,180,0,0.466501
53,385,234,173,0,0.486111
54,381,244,176,0,0.475655
55,400,236,167,0,0.498132
56,408,230,163,0,0.509363
57,374,246,178,0,0.468672
58,392,241,166,0,0.490613
59,389,233,182,0,0.483831
60,388,242,170,0,0.485000
61,384,239,175,0,0.481203
62,376,241,182,0,0.470588
63,395,237,170,0,0.492519
