t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,0,0,800,0,0.000000
1,0,0,798,0,0.000000
2,0,0,802,0,0.000000
3,0,0,798,0,0.000000
4,0,0,800,0,0.000000
5,0,0,802,0,0.000000
6,0,0,800,0,0.000000
7,0,0,800,0,0.000000
8,0,0,800,0,0.000000
9,0,0,800,0,0.000000
10,0,0,798,0,0.000000
11,0,0,802,0,0.000000
12,0,0,798,0,0.000000
13,0,0,800,0,0.000000
14,0,0,802,0,0.000000
15,0,0,800,0,0.000000
16,0,0,800,0,0.000000
17,0,0,800,0,0.000000
18,0,0,800,0,0.000000
19,0,0,798,0,0.000000
20,71,0,729,0,0.088750
21,133,0,667,0,0.166250
22,132,0,668,0,0.165000
23,134,0,665,0,0.167710
24,134,0,668,0,0.167082
25,133,0,666,0,0.166458
26,132,0,668,0,0.165000
27,134,0,667,0,0.167291
28,130,0,663,0,0.163934
29,138,0,668,0,0.171216
30,133,0,667,0,0.166250
31,132,0,668,0,0.165000
32,134,0,665,0,0.167710
33,134,0,668,0,0.167082
34,133,0,665,0,0.166667
35,132,0,669,0,0.164794
36,134,0,667,0,0.167291
37,134,0,665,0,0.167710
38,128,0,664,0,0.161616
39,139,0,669,0,0.172030
40,132,0,668,0,0.165000
41,134,0,665,0,0.167710
42,134,0,668,0,0.167082
43,133,0,666,0,0.166458
44,132,0,668,0,0.165000
45,134,0,667,0,0.167291
46,134,0,665,0,0.167710
47,134,0,666,0,0.167500
48,126,0,664,0,0.159494
49,139,0,671,0,0.171605
50,134,0,665,0,0.167710
51,134,0,668,0,0.167082
52,133,0,666,0,0.166458
53,132,0,668,0,0.165000
54,134,0,667,0,0.167291
55,134,0,665,0,0.167710
56,134,0,666,0,0.167500
57,133,0,667,0,0.166250
58,128,0,666,0,0.161209
59,138,0,667,0,0.171429
60,134,0,668,0,0.167082
61,133,0,666,0,0.166458
62,132,0,668,0,0.165000
63,134,0,667,0,0.167291
64,134,0,665,0,0.167710
65,134,0,666,0,0.167500
66,133,0,667,0,0.166250
67,132,0,668,0,0.165000
68,128,0,664,0,0.161616
69,140,0,669,0,0.173053
70,133,0,666,0,0.166458
71,132,0,668,0,0.165000
72,134,0,667,0,0.167291
73,134,0,665,0,0.167710
74,134,0,666,0,0.167500
75,133,0,667,0,0.166250
76,132,0,668,0,0.165000
77,134,0,665,0,0.167710
78,127,0,665,0,0.160354
79,140,0,669,0,0.173053
80,132,0,668,0,0.165000
81,134,0,667,0,0.167291
82,134,0,665,0,0.167710
83,134,0,667,0,0.167291
84,133,0,665,0,0.166667
85,132,0,669,0,0.164794
86,134,0,665,0,0.167710
87,134,0,668,0,0.167082
88,126,0,663,0,0.159696
89,139,0,671,0,0.171605
90,134,0,667,0,0.167291
91,134,0,665,0,0.167710
92,133,0,666,0,0.166458
93,134,0,667,0,0.167291
94,132,0,668,0,0.165000
95,134,0,665,0,0.167710
96,134,0,668,0,0.167082
97,133,0,666,0,0.166458
98,127,0,666,0,0.160151
99,139,0,669,0,0.172030
100,134,0,665,0,0.167710
101,134,0,666,0,0.167500
102,133,0,667,0,0.166250
103,132,0,668,0,0.165000
104,134,0,665,0,0.167710
105,134,0,668,0,0.167082
106,133,0,666,0,0.166458
107,132,0,668,0,0.165000
108,129,0,664,0,0.162673
109,139,0,668,0,0.172243
110,134,0,666,0,0.167500
111,191,0,591,0,0.244246
112,263,0,524,0,0.334180
113,266,0,529,0,0.334591
114,261,0,530,0,0.329962
115,266,0,531,0,0.333752
116,263,0,529,0,0.332071
117,268,0,533,0,0.334582
118,260,0,521,0,0.332907
119,263,0,515,0,0.338046
120,263,0,536,0,0.329161
121,261,0,527,0,0.331218
122,263,0,520,0,0.335888
123,265,0,524,0,0.335868
124,264,0,532,0,0.331658
125,266,0,532,0,0.333333
126,266,0,525,0,0.336283
127,260,0,519,0,0.333761
128,256,0,531,0,0.325286
129,258,0,504,0,0.338583
130,266,0,524,0,0.336709
131,262,0,531,0,0.330391
132,264,0,523,0,0.335451
133,266,0,538,0,0.330846
134,261,0,534,0,0.328302
135,269,0,519,0,0.341371
136,260,0,535,0,0.327044
137,265,0,519,0,0.338010
138,256,0,522,0,0.329049
139,258,0,512,0,0.335065
140,271,0,530,0,0.338327
141,259,0,523,0,0.331202
142,261,0,536,0,0.327478
143,268,0,531,0,0.335419
144,263,0,521,0,0.335459
145,260,0,519,0,0.333761
146,264,0,526,0,0.334177
147,269,0,537,0,0.333747
148,257,0,532,0,0.325729
149,255,0,493,0,0.340909
150,266,0,535,0,0.332085
151,260,0,524,0,0.331633
152,270,0,539,0,0.333745
153,268,0,524,0,0.338384
154,262,0,530,0,0.330808
155,260,0,525,0,0.331210
156,267,0,536,0,0.332503
157,266,0,526,0,0.335859
158,255,0,524,0,0.327343
159,264,0,503,0,0.344198
160,264,0,541,0,0.327950
161,262,0,527,0,0.332066
162,260,0,524,0,0.331633
163,264,0,526,0,0.334177
164,263,0,528,0,0.332491
165,270,0,533,0,0.336239
