t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,615,0,0,0,1.000000
1,603,0,0,0,1.000000
2,628,0,0,0,1.000000
3,617,0,0,0,1.000000
4,606,0,0,0,1.000000
5,620,0,0,0,1.000000
6,603,0,0,0,1.000000
7,604,0,0,0,1.000000
8,620,0,0,0,1.000000
9,626,0,0,0,1.000000
10,603,0,0,0,1.000000
11,613,0,0,0,1.000000
12,628,0,0,0,1.000000
13,609,0,0,0,1.000000
14,592,0,0,0,1.000000
15,627,0,0,0,1.000000
16,602,0,0,0,1.000000
17,606,0,0,0,1.000000
18,616,0,0,0,1.000000
19,619,0,0,0,1.000000
20,601,0,0,0,1.000000
21,594,0,0,0,1.000000
22,611,0,0,0,1.000000
23,611,0,0,0,1.000000
24,580,0,0,0,1.000000
25,597,0,0,0,1.000000
26,600,0,0,0,1.000000
27,606,0,0,0,1.000000
28,598,0,0,0,1.000000
29,605,0,0,0,1.000000
30,591,0,0,0,1.000000
31,623,0,0,0,1.000000
32,588,0,0,0,1.000000
33,606,0,0,0,1.000000
34,578,0,0,0,1.000000
35,612,0,0,0,1.000000
36,591,0,0,0,1.000000
37,609,0,0,0,1.000000
38,590,0,0,0,1.000000
39,604,0,0,0,1.000000
40,611,0,0,0,1.000000
41,603,0,0,0,1.000000
42,603,0,0,0,1.000000
43,604,0,0,0,1.000000
44,613,0,0,0,1.000000
45,578,0,0,0,1.000000
46,624,0,0,0,1.000000
47,604,0,0,0,1.000000
48,595,0,0,0,1.000000
49,611,0,0,0,1.000000
50,607,0,0,0,1.000000
51,588,0,0,0,1.000000
52,611,0,0,0,1.000000
53,602,0,0,0,1.000000
54,574,0,0,0,1.000000
55,623,0,0,0,1.000000
56,598,0,0,0,1.000000
57,589,0,0,0,1.000000
58,613,0,0,0,1.000000
59,605,0,0,0,1.000000
60,610,0,0,0,1.000000
61,598,0,0,0,1.000000
62,608,0,0,0,1.000000
63,609,0,0,0,1.000000
64,594,0,0,0,1.000000
