t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,403,231,170,0,0.501244
1,385,242,175,0,0.480050
2,385,240,174,0,0.481852
3,402,235,164,0,0.501873
4,400,235,163,0,0.501253
5,398,233,170,0,0.496879
6,383,239,180,0,0.477556
7,387,242,170,0,0.484355
8,385,241,173,0,0.481852
9,387,236,176,0,0.484355
10,393,236,171,0,0.491250
11,397,235,170,0,0.495012
12,375,246,175,0,0.471106
13,389,235,177,0,0.485643
14,388,237,176,0,0.484395
15,382,242,177,0,0.476904
16,399,231,168,0,0.500000
17,389,240,173,0,0.485037
18,395,237,167,0,0.494368
19,389,235,176,0,0.486250
20,379,246,171,0,0.476131
21,409,224,165,0,0.512531
22,388,235,173,0,0.487437
23,402,232,170,0,0.500000
24,391,240,173,0,0.486318
25,389,235,172,0,0.488693
26,377,248,174,0,0.471840
27,381,247,174,0,0.475062
28,386,245,169,0,0.482500
29,394,235,169,0,0.493734
30,406,230,165,0,0.506866
31,400,232,174,0,0.496278
32,374,242,171,0,0.475222
33,396,237,175,0,0.490099
34,398,234,168,0,0.497500
35,393,239,169,0,0.490637
36,406,226,166,0,0.508772
37,402,233,168,0,0.500623
38,387,238,177,0,0.482544
39,383,242,173,0,0.479950
40,395,234,170,0,0.494368
41,390,240,170,0,0.487500
42,374,234,186,0,0.471033
43,386,241,176,0,0.480697
44,385,240,176,0,0.480649
45,384,241,176,0,0.479401
46,406,227,168,0,0.506866
47,386,240,174,0,0.482500
48,391,237,171,0,0.489362
49,387,235,177,0,0.484355
50,392,234,176,0,0.488778
51,402,235,164,0,0.501873
52,374,237,179,0,0.473418
53,414,227,168,0,0.511743
54,384,232,183,0,0.480601
55,397,231,174,0,0.495012
56,385,234,178,0,0.483061
57,383,233,183,0,0.479349
58,391,233,177,0,0.488140
59,397,238,167,0,0.495012
60,399,233,168,0,0.498750
61,419,214,167,0,0.523750
62,377,238,174,0,0.477820
63,399,239,176,0,0.490172
64,379,238,178,0,0.476730
65,412,223,166,0,0.514357
66,397,236,166,0,0.496871
67,389,245,169,0,0.484433
68,396,230,174,0,0.495000
69,377,241,183,0,0.470662
70,395,231,170,0,0.496231
71,398,235,171,0,0.495025
72,377,237,185,0,0.471840
73,391,234,175,0,0.488750
74,390,229,175,0,0.491184
75,382,240,180,0,0.476309
76,405,224,175,0,0.503731
77,401,236,164,0,0.500624
78,406,223,171,0,0.507500
79,380,241,175,0,0.477387
80,389,239,173,0,0.485643
81,399,237,162,0,0.500000
82,371,248,178,0,0.465496
83,387,242,175,0,0.481343
84,392,240,168,0,0.490000
85,398,235,172,0,0.494410
86,373,249,177,0,0.466834
87,376,243,178,0,0.471769
88,387,239,173,0,0.484355
89,394,232,174,0,0.492500
90,400,233,168,0,0.499376
91,393,232,176,0,0.490637
92,386,238,168,0,0.487374
93,408,237,164,0,0.504326
94,407,224,167,0,0.510025
95,386,239,171,0,0.484925
96,405,231,168,0,0.503731
97,385,238,177,0,0.481250
98,392,228,177,0,0.491844
99,386,234,181,0,0.481898
100,403,234,166,0,0.501868
101,397,226,173,0,0.498744
102,396,237,167,0,0.495000
103,397,239,172,0,0.491337
104,396,230,168,0,0.498741
105,387,245,171,0,0.481943
106,396,233,169,0,0.496241
107,376,247,172,0,0.472956
108,384,242,179,0,0.477019
109,392,234,174,0,0.490000
110,376,241,179,0,0.472362
111,393,233,172,0,0.492481
112,367,247,180,0,0.462217
113,396,233,180,0,0.489493
114,377,245,178,0,0.471250
115,397,237,164,0,0.497494
116,390,230,177,0,0.489335
117,385,240,179,0,0.478856
118,390,240,171,0,0.486891
119,395,238,169,0,0.492519
120,397,230,167,0,0.500000
121,388,238,175,0,0.484395
122,365,247,179,0,0.461441
123,398,234,174,0,0.493797
124,390,238,177,0,0.484472
125,389,229,184,0,0.485037
126,381,240,176,0,0.478043
127,379,241,182,0,0.472569
128,382,243,176,0,0.476904
129,397,230,170,0,0.498118
130,388,233,176,0,0.486826
131,379,241,170,0,0.479747
132,390,243,180,0,0.479705
133,380,243,177,0,0.475000
134,394,228,180,0,0.491272
135,393,236,172,0,0.490637
136,366,252,182,0,0.457500
137,379,241,178,0,0.474937
138,385,243,168,0,0.483668
139,391,235,176,0,0.487531
140,398,235,171,0,0.495025
141,386,237,174,0,0.484316
142,382,239,174,0,0.480503
143,402,232,171,0,0.499379
144,398,229,175,0,0.496259
145,393,239,169,0,0.490637
146,384,238,175,0,0.481807
147,393,237,167,0,0.493099
148,390,231,178,0,0.488110
149,388,244,176,0,0.480198
150,375,246,178,0,0.469337
151,381,238,180,0,0.476846
152,399,228,173,0,0.498750
153,376,250,173,0,0.470588
154,394,235,173,0,0.491272
155,379,238,178,0,0.476730
156,410,222,168,0,0.512500
157,384,244,175,0,0.478207
158,395,232,172,0,0.494368
159,394,237,172,0,0.490660
160,393,231,177,0,0.490637
161,376,248,173,0,0.471769
162,374,245,181,0,0.467500
163,379,245,176,0,0.473750
164,391,236,174,0,0.488140
165,401,225,171,0,0.503137
166,401,233,166,0,0.501250
167,392,231,178,0,0.489388
168,383,246,171,0,0.478750
169,384,242,175,0,0.479401
170,379,254,178,0,0.467324
171,419,218,164,0,0.523096
172,394,237,171,0,0.491272
173,396,234,168,0,0.496241
174,404,230,164,0,0.506266
175,376,246,179,0,0.469413
176,387,236,177,0,0.483750
177,387,240,169,0,0.486181
178,410,227,167,0,0.509950
179,395,231,176,0,0.492519
180,399,228,169,0,0.501256
181,393,242,166,0,0.490637
182,390,236,172,0,0.488722
183,397,236,169,0,0.495012
184,407,226,170,0,0.506849
185,382,240,171,0,0.481715
186,399,227,176,0,0.497506
187,402,230,168,0,0.502500
188,402,236,165,0,0.500623
189,401,226,173,0,0.501250
190,411,222,166,0,0.514393
191,403,233,163,0,0.504380
192,367,244,188,0,0.459324
193,390,235,175,0,0.487500
194,393,233,173,0,0.491865
