ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant
1785861775.274,c1,reserve,,0.0,26.34,13.67,3.65,S3,1,2.73,0
1785861775.274,c1,search,,0.0,31.1,20.71,10.98,S3,1,0.64,0
1785861775.274,c1,recommend,,0.0,26.76,14.03,4.0,S3,1,0.54,0
1785861775.274,c2,reserve,,0.0,26.34,13.67,3.65,S3,1,0.57,0
1785861775.274,c2,search,,0.0,31.1,20.71,10.98,S3,1,0.61,0
1785861775.274,c2,recommend,,0.0,26.76,14.03,4.0,S3,1,0.56,0
1785861776.275,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861776.275,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861776.275,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861776.275,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861776.275,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861776.275,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861777.275,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861777.275,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861777.275,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861777.275,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861777.275,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861777.275,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861778.275,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861778.275,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861778.275,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861778.275,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861778.275,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861778.275,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861779.275,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861779.275,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861779.275,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861779.275,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861779.275,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861779.275,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861780.276,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861780.276,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861780.276,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861780.276,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861780.276,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861780.276,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861781.275,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861781.275,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861781.275,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861781.275,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861781.275,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861781.275,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861782.275,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861782.275,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861782.275,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861782.275,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861782.275,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861782.275,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861783.275,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861783.275,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861783.275,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861783.275,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861783.275,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861783.275,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861784.275,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861784.275,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861784.275,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861784.275,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861784.275,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861784.275,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861785.275,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861785.275,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861785.275,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861785.275,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861785.275,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861785.275,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861786.275,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861786.275,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861786.275,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861786.275,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861786.275,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861786.275,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861787.275,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861787.275,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861787.275,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861787.275,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861787.275,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861787.275,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861788.275,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861788.275,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861788.275,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861788.275,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861788.275,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861788.275,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861789.275,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861789.275,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
