t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,399,0,0,0,1.000000
1,401,0,0,0,1.000000
2,397,0,0,0,1.000000
3,403,0,0,0,1.000000
4,400,0,0,0,1.000000
5,396,0,0,0,1.000000
6,402,0,0,0,1.000000
7,402,0,0,0,1.000000
8,400,0,0,0,1.000000
9,398,0,0,0,1.000000
10,400,0,0,0,1.000000
11,402,0,0,0,1.000000
12,398,0,0,0,1.000000
13,400,0,0,0,1.000000
14,401,0,0,0,1.000000
15,399,0,0,0,1.000000
16,402,0,0,0,1.000000
17,400,0,0,0,1.000000
18,400,0,0,0,1.000000
19,400,0,0,0,1.000000
20,398,0,0,0,1.000000
21,401,0,0,0,1.000000
22,401,0,0,0,1.000000
23,400,0,0,0,1.000000
24,398,0,0,0,1.000000
25,402,0,0,0,1.000000
26,400,0,0,0,1.000000
27,398,0,0,0,1.000000
28,400,0,0,0,1.000000
29,402,0,0,0,1.000000
30,398,0,0,0,1.000000
31,400,0,0,0,1.000000
32,401,0,0,0,1.000000
33,399,0,0,0,1.000000
34,402,0,0,0,1.000000
35,399,0,0,0,1.000000
36,401,0,0,0,1.000000
37,400,0,0,0,1.000000
38,399,0,0,0,1.000000
39,400,0,0,0,1.000000
40,401,0,0,0,1.000000
41,400,0,0,0,1.000000
42,398,0,0,0,1.000000
43,402,0,0,0,1.000000
44,400,0,0,0,1.000000
45,398,0,0,0,1.000000
46,400,0,0,0,1.000000
47,402,0,0,0,1.000000
48,398,0,0,0,1.000000
49,400,0,0,0,1.000000
50,401,0,0,0,1.000000
51,399,0,0,0,1.000000
52,402,0,0,0,1.000000
53,400,0,0,0,1.000000
54,397,0,0,0,1.000000
55,403,0,0,0,1.000000
56,400,0,0,0,1.000000
57,400,0,0,0,1.000000
58,400,0,0,0,1.000000
59,399,0,0,0,1.000000
60,399,0,0,0,1.000000
61,402,0,0,0,1.000000
62,400,0,0,0,1.000000
63,398,0,0,0,1.000000
64,400,0,0,0,1.000000
65,402,0,0,0,1.000000
66,398,0,0,0,1.000000
67,399,0,0,0,1.000000
68,403,0,0,0,1.000000
69,398,0,0,0,1.000000
70,402,0,0,0,1.000000
71,400,0,0,0,1.000000
72,400,0,0,0,1.000000
73,400,0,0,0,1.000000
74,398,0,0,0,1.000000
75,400,0,0,0,1.000000
76,402,0,0,0,1.000000
77,399,0,0,0,1.000000
78,399,0,0,0,1.000000
79,400,0,0,0,1.000000
80,402,0,0,0,1.000000
81,398,0,0,0,1.000000
82,400,0,0,0,1.000000
83,402,0,0,0,1.000000
84,398,0,0,0,1.000000
85,400,0,0,0,1.000000
86,401,0,0,0,1.000000
87,399,0,0,0,1.000000
88,402,0,0,0,1.000000
89,399,0,0,0,1.000000
90,401,0,0,0,1.000000
91,400,0,0,0,1.000000
92,400,0,0,0,1.000000
93,399,0,0,0,1.000000
94,401,0,0,0,1.000000
95,400,0,0,0,1.000000
96,398,0,0,0,1.000000
97,402,0,0,0,1.000000
98,400,0,0,0,1.000000
99,398,0,0,0,1.000000
100,399,0,0,0,1.000000
101,403,0,0,0,1.000000
102,398,0,0,0,1.000000
103,400,0,0,0,1.000000
104,398,0,0,0,1.000000
105,402,0,0,0,1.000000
106,402,0,0,0,1.000000
107,400,0,0,0,1.000000
108,399,0,0,0,1.000000
109,401,0,0,0,1.000000
110,400,0,0,0,1.000000
111,398,0,0,0,1.000000
112,402,0,0,0,1.000000
113,398,0,0,0,1.000000
114,400,0,0,0,1.000000
115,402,0,0,0,1.000000
116,400,0,0,0,1.000000
117,398,0,0,0,1.000000
118,400,0,0,0,1.000000
119,402,0,0,0,1.000000
120,398,0,0,0,1.000000
121,400,0,0,0,1.000000
122,401,0,0,0,1.000000
123,399,0,0,0,1.000000
124,402,0,0,0,1.000000
125,398,0,0,0,1.000000
126,398,0,0,0,1.000000
127,404,0,0,0,1.000000
128,399,0,0,0,1.000000
129,401,0,0,0,1.000000
130,400,0,0,0,1.000000
131,400,0,0,0,1.000000
132,398,0,0,0,1.000000
133,402,0,0,0,1.000000
134,400,0,0,0,1.000000
135,398,0,0,0,1.000000
136,400,0,0,0,1.000000
137,402,0,0,0,1.000000
138,398,0,0,0,1.000000
139,400,0,0,0,1.000000
140,399,0,0,0,1.000000
141,401,0,0,0,1.000000
142,402,0,0,0,1.000000
143,400,0,0,0,1.000000
144,399,0,0,0,1.000000
145,401,0,0,0,1.000000
146,400,0,0,0,1.000000
147,398,0,0,0,1.000000
148,402,0,0,0,1.000000
149,400,0,0,0,1.000000
150,398,0,0,0,1.000000
151,402,0,0,0,1.000000
152,400,0,0,0,1.000000
153,398,0,0,0,1.000000
154,400,0,0,0,1.000000
155,402,0,0,0,1.000000
156,398,0,0,0,1.000000
157,400,0,0,0,1.000000
158,401,0,0,0,1.000000
159,399,0,0,0,1.000000
160,402,0,0,0,1.000000
161,400,0,0,0,1.000000
162,400,0,0,0,1.000000
163,400,0,0,0,1.000000
164,398,0,0,0,1.000000
165,399,0,0,0,1.000000
166,403,0,0,0,1.000000
167,400,0,0,0,1.000000
168,398,0,0,0,1.000000
169,402,0,0,0,1.000000
170,400,0,0,0,1.000000
171,398,0,0,0,1.000000
172,400,0,0,0,1.000000
173,402,0,0,0,1.000000
174,398,0,0,0,1.000000
175,400,0,0,0,1.000000
176,402,0,0,0,1.000000
177,398,0,0,0,1.000000
178,402,0,0,0,1.000000
179,400,0,0,0,1.000000
