t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,242,0,0,0,1.000000
1,239,0,0,0,1.000000
2,241,0,0,0,1.000000
3,239,0,0,0,1.000000
4,241,0,0,0,1.000000
5,240,0,0,0,1.000000
6,239,0,0,0,1.000000
7,241,0,0,0,1.000000
8,239,0,0,0,1.000000
9,240,0,0,0,1.000000
10,241,0,0,0,1.000000
11,238,0,0,0,1.000000
12,242,0,0,0,1.000000
13,237,0,0,0,1.000000
14,241,0,0,0,1.000000
15,241,0,0,0,1.000000
16,239,0,0,0,1.000000
17,241,0,0,0,1.000000
18,240,0,0,0,1.000000
19,241,0,0,0,1.000000
20,240,0,0,0,1.000000
21,240,0,0,0,1.000000
22,239,0,0,0,1.000000
23,239,0,0,0,1.000000
24,241,0,0,0,1.000000
25,240,0,0,0,1.000000
26,240,0,0,0,1.000000
27,240,0,0,0,1.000000
28,241,0,0,0,1.000000
29,240,0,0,0,1.000000
30,240,0,0,0,1.000000
31,240,0,0,0,1.000000
32,237,0,0,0,1.000000
33,240,0,0,0,1.000000
34,237,0,0,0,1.000000
35,244,0,0,0,1.000000
36,240,0,0,0,1.000000
37,241,0,0,0,1.000000
38,239,0,0,0,1.000000
39,240,0,0,0,1.000000
40,240,0,0,0,1.000000
41,241,0,0,0,1.000000
42,241,0,0,0,1.000000
43,239,0,0,0,1.000000
44,241,0,0,0,1.000000
45,239,0,0,0,1.000000
46,240,0,0,0,1.000000
47,241,0,0,0,1.000000
48,239,0,0,0,1.000000
49,240,0,0,0,1.000000
50,239,0,0,0,1.000000
51,240,0,0,0,1.000000
52,241,0,0,0,1.000000
53,240,0,0,0,1.000000
54,239,0,0,0,1.000000
55,241,0,0,0,1.000000
56,240,0,0,0,1.000000
57,241,0,0,0,1.000000
58,240,0,0,0,1.000000
59,239,0,0,0,1.000000
60,240,0,0,0,1.000000
61,240,0,0,0,1.000000
62,241,0,0,0,1.000000
63,238,0,0,0,1.000000
64,241,0,0,0,1.000000
65,239,0,0,0,1.000000
66,241,0,0,0,1.000000
67,241,0,0,0,1.000000
68,239,0,0,0,1.000000
69,240,0,0,0,1.000000
70,240,0,0,0,1.000000
71,240,0,0,0,1.000000
72,240,0,0,0,1.000000
73,240,0,0,0,1.000000
74,239,0,0,0,1.000000
75,242,0,0,0,1.000000
76,238,0,0,0,1.000000
77,242,0,0,0,1.000000
78,239,0,0,0,1.000000
79,240,0,0,0,1.000000
80,240,0,0,0,1.000000
81,240,0,0,0,1.000000
82,240,0,0,0,1.000000
83,240,0,0,0,1.000000
84,241,0,0,0,1.000000
85,240,0,0,0,1.000000
86,238,0,0,0,1.000000
87,241,0,0,0,1.000000
88,239,0,0,0,1.000000
89,240,0,0,0,1.000000
90,242,0,0,0,1.000000
91,239,0,0,0,1.000000
92,240,0,0,0,1.000000
93,241,0,0,0,1.000000
94,239,0,0,0,1.000000
95,241,0,0,0,1.000000
96,240,0,0,0,1.000000
97,239,0,0,0,1.000000
98,241,0,0,0,1.000000
99,239,0,0,0,1.000000
100,239,0,0,0,1.000000
101,242,0,0,0,1.000000
102,240,0,0,0,1.000000
103,240,0,0,0,1.000000
104,240,0,0,0,1.000000
105,239,0,0,0,1.000000
106,240,0,0,0,1.000000
107,240,0,0,0,1.000000
108,239,0,0,0,1.000000
109,241,0,0,0,1.000000
110,241,0,0,0,1.000000
111,240,0,0,0,1.000000
112,238,0,0,0,1.000000
113,240,0,0,0,1.000000
114,241,0,0,0,1.000000
115,241,0,0,0,1.000000
116,239,0,0,0,1.000000
117,241,0,0,0,1.000000
118,240,0,0,0,1.000000
119,238,0,0,0,1.000000
120,240,0,0,0,1.000000
121,241,0,0,0,1.000000
122,241,0,0,0,1.000000
123,239,0,0,0,1.000000
124,240,0,0,0,1.000000
125,241,0,0,0,1.000000
126,239,0,0,0,1.000000
127,239,0,0,0,1.000000
128,242,0,0,0,1.000000
129,239,0,0,0,1.000000
130,240,0,0,0,1.000000
131,240,0,0,0,1.000000
132,241,0,0,0,1.000000
133,239,0,0,0,1.000000
134,240,0,0,0,1.000000
135,240,0,0,0,1.000000
136,240,0,0,0,1.000000
137,240,0,0,0,1.000000
138,240,0,0,0,1.000000
139,240,0,0,0,1.000000
140,241,0,0,0,1.000000
141,240,0,0,0,1.000000
142,240,0,0,0,1.000000
143,240,0,0,0,1.000000
144,237,0,0,0,1.000000
145,241,0,0,0,1.000000
146,240,0,0,0,1.000000
147,241,0,0,0,1.000000
148,240,0,0,0,1.000000
149,241,0,0,0,1.000000
150,239,0,0,0,1.000000
151,240,0,0,0,1.000000
152,241,0,0,0,1.000000
153,239,0,0,0,1.000000
154,239,0,0,0,1.000000
155,241,0,0,0,1.000000
156,239,0,0,0,1.000000
157,242,0,0,0,1.000000
158,239,0,0,0,1.000000
159,240,0,0,0,1.000000
160,240,0,0,0,1.000000
161,241,0,0,0,1.000000
162,239,0,0,0,1.000000
163,239,0,0,0,1.000000
164,241,0,0,0,1.000000
165,241,0,0,0,1.000000
166,238,0,0,0,1.000000
167,242,0,0,0,1.000000
168,239,0,0,0,1.000000
169,241,0,0,0,1.000000
170,239,0,0,0,1.000000
171,240,0,0,0,1.000000
172,241,0,0,0,1.000000
173,239,0,0,0,1.000000
174,241,0,0,0,1.000000
175,239,0,0,0,1.000000
176,240,0,0,0,1.000000
177,240,0,0,0,1.000000
178,239,0,0,0,1.000000
179,242,0,0,0,1.000000
