t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,503,0,0,0,1.000000
1,501,0,0,0,1.000000
2,496,0,0,0,1.000000
3,503,0,0,0,1.000000
4,498,0,0,0,1.000000
5,500,0,0,0,1.000000
6,496,0,0,0,1.000000
7,504,0,0,0,1.000000
8,502,0,0,0,1.000000
9,497,0,0,0,1.000000
10,493,0,0,0,1.000000
11,508,0,0,0,1.000000
12,501,0,0,0,1.000000
13,499,0,0,0,1.000000
14,500,0,0,0,1.000000
15,504,0,0,0,1.000000
16,498,0,0,0,1.000000
17,493,0,0,0,1.000000
18,503,0,0,0,1.000000
19,505,0,0,0,1.000000
20,500,0,0,0,1.000000
21,494,0,0,0,1.000000
22,502,0,0,0,1.000000
23,497,0,0,0,1.000000
24,504,0,0,0,1.000000
25,494,0,0,0,1.000000
26,505,0,0,0,1.000000
27,503,0,0,0,1.000000
28,495,0,0,0,1.000000
29,493,0,0,0,1.000000
30,512,0,0,0,1.000000
31,500,0,0,0,1.000000
32,500,0,0,0,1.000000
33,498,0,0,0,1.000000
34,502,0,0,0,1.000000
35,500,0,0,0,1.000000
36,497,0,0,0,1.000000
37,496,0,0,0,1.000000
38,510,0,0,0,1.000000
39,495,0,0,0,1.000000
40,497,0,0,0,1.000000
41,502,0,0,0,1.000000
42,500,0,0,0,1.000000
43,501,0,0,0,1.000000
44,494,0,0,0,1.000000
45,505,0,0,0,1.000000
46,503,0,0,0,1.000000
47,497,0,0,0,1.000000
48,497,0,0,0,1.000000
49,505,0,0,0,1.000000
50,499,0,0,0,1.000000
51,499,0,0,0,1.000000
52,499,0,0,0,1.000000
53,505,0,0,0,1.000000
54,497,0,0,0,1.000000
55,499,0,0,0,1.000000
56,499,0,0,0,1.000000
57,505,0,0,0,1.000000
58,497,0,0,0,1.000000
59,497,0,0,0,1.000000
60,503,0,0,0,1.000000
61,498,0,0,0,1.000000
62,500,0,0,0,1.000000
63,500,0,0,0,1.000000
64,503,0,0,0,1.000000
65,499,0,0,0,1.000000
66,501,0,0,0,1.000000
67,494,0,0,0,1.000000
68,506,0,0,0,1.000000
69,498,0,0,0,1.000000
70,498,0,0,0,1.000000
71,501,0,0,0,1.000000
72,506,0,0,0,1.000000
73,496,0,0,0,1.000000
74,497,0,0,0,1.000000
75,502,0,0,0,1.000000
76,502,0,0,0,1.000000
77,501,0,0,0,1.000000
78,494,0,0,0,1.000000
79,501,0,0,0,1.000000
80,502,0,0,0,1.000000
81,497,0,0,0,1.000000
82,497,0,0,0,1.000000
83,505,0,0,0,1.000000
84,503,0,0,0,1.000000
85,498,0,0,0,1.000000
86,499,0,0,0,1.000000
87,505,0,0,0,1.000000
88,496,0,0,0,1.000000
89,502,0,0,0,1.000000
90,498,0,0,0,1.000000
91,504,0,0,0,1.000000
92,497,0,0,0,1.000000
93,495,0,0,0,1.000000
94,506,0,0,0,1.000000
95,500,0,0,0,1.000000
96,501,0,0,0,1.000000
97,494,0,0,0,1.000000
98,505,0,0,0,1.000000
99,498,0,0,0,1.000000
100,499,0,0,0,1.000000
101,498,0,0,0,1.000000
102,504,0,0,0,1.000000
103,500,0,0,0,1.000000
104,500,0,0,0,1.000000
105,500,0,0,0,1.000000
106,500,0,0,0,1.000000
107,501,0,0,0,1.000000
108,500,0,0,0,1.000000
109,495,0,0,0,1.000000
110,507,0,0,0,1.000000
111,496,0,0,0,1.000000
112,495,0,0,0,1.000000
113,507,0,0,0,1.000000
114,499,0,0,0,1.000000
115,500,0,0,0,1.000000
116,493,0,0,0,1.000000
117,505,0,0,0,1.000000
118,502,0,0,0,1.000000
119,499,0,0,0,1.000000
120,495,0,0,0,1.000000
121,509,0,0,0,1.000000
122,497,0,0,0,1.000000
123,500,0,0,0,1.000000
124,500,0,0,0,1.000000
125,502,0,0,0,1.000000
126,498,0,0,0,1.000000
127,498,0,0,0,1.000000
128,499,0,0,0,1.000000
129,504,0,0,0,1.000000
130,497,0,0,0,1.000000
131,494,0,0,0,1.000000
132,508,0,0,0,1.000000
133,502,0,0,0,1.000000
134,496,0,0,0,1.000000
135,497,0,0,0,1.000000
136,505,0,0,0,1.000000
137,502,0,0,0,1.000000
138,495,0,0,0,1.000000
139,502,0,0,0,1.000000
140,502,0,0,0,1.000000
141,499,0,0,0,1.000000
142,497,0,0,0,1.000000
143,503,0,0,0,1.000000
144,502,0,0,0,1.000000
145,501,0,0,0,1.000000
146,493,0,0,0,1.000000
147,503,0,0,0,1.000000
148,502,0,0,0,1.000000
149,497,0,0,0,1.000000
150,498,0,0,0,1.000000
151,502,0,0,0,1.000000
152,503,0,0,0,1.000000
153,498,0,0,0,1.000000
154,497,0,0,0,1.000000
155,505,0,0,0,1.000000
156,497,0,0,0,1.000000
157,503,0,0,0,1.000000
158,495,0,0,0,1.000000
159,504,0,0,0,1.000000
160,502,0,0,0,1.000000
161,495,0,0,0,1.000000
162,499,0,0,0,1.000000
163,507,0,0,0,1.000000
164,498,0,0,0,1.000000
165,494,0,0,0,1.000000
166,505,0,0,0,1.000000
167,498,0,0,0,1.000000
168,502,0,0,0,1.000000
169,497,0,0,0,1.000000
170,505,0,0,0,1.000000
171,498,0,0,0,1.000000
172,500,0,0,0,1.000000
173,495,0,0,0,1.000000
174,507,0,0,0,1.000000
175,500,0,0,0,1.000000
176,498,0,0,0,1.000000
177,500,0,0,0,1.000000
178,501,0,0,0,1.000000
179,500,0,0,0,1.000000
180,3,0,0,0,1.000000
