t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,283,0,0,0,1.000000
1,285,0,0,0,1.000000
2,296,0,0,0,1.000000
3,298,0,0,0,1.000000
4,287,0,0,0,1.000000
5,294,0,0,0,1.000000
6,288,0,0,0,1.000000
7,299,0,0,0,1.000000
8,289,0,0,0,1.000000
9,307,0,0,0,1.000000
10,287,0,0,0,1.000000
11,272,0,0,0,1.000000
12,305,0,0,0,1.000000
13,291,0,0,0,1.000000
14,306,0,0,0,1.000000
15,279,0,0,0,1.000000
16,302,0,0,0,1.000000
17,294,0,0,0,1.000000
18,281,0,0,0,1.000000
19,294,0,0,0,1.000000
20,295,0,0,0,1.000000
21,294,0,0,0,1.000000
22,295,0,0,0,1.000000
23,288,0,0,0,1.000000
24,299,0,0,0,1.000000
25,292,0,0,0,1.000000
26,286,0,0,0,1.000000
27,303,0,0,0,1.000000
28,296,0,0,0,1.000000
29,285,0,0,0,1.000000
30,305,0,0,0,1.000000
31,275,0,0,0,1.000000
32,306,0,0,0,1.000000
33,284,0,0,0,1.000000
34,291,0,0,0,1.000000
35,293,0,0,0,1.000000
36,288,0,0,0,1.000000
37,304,0,0,0,1.000000
38,296,0,0,0,1.000000
39,301,0,0,0,1.000000
40,291,0,0,0,1.000000
41,277,0,0,0,1.000000
42,297,0,0,0,1.000000
43,293,0,0,0,1.000000
44,293,0,0,0,1.000000
45,302,0,0,0,1.000000
46,282,0,0,0,1.000000
47,301,0,0,0,1.000000
48,284,0,0,0,1.000000
49,307,0,0,0,1.000000
50,286,0,0,0,1.000000
51,286,0,0,0,1.000000
52,288,0,0,0,1.000000
53,289,0,0,0,1.000000
54,294,0,0,0,1.000000
55,304,0,0,0,1.000000
56,290,0,0,0,1.000000
57,301,0,0,0,1.000000
58,293,0,0,0,1.000000
59,284,0,0,0,1.000000
60,303,0,0,0,1.000000
61,272,0,0,0,1.000000
62,302,0,0,0,1.000000
63,296,0,0,0,1.000000
64,277,0,0,0,1.000000
65,301,0,0,0,1.000000
66,296,0,0,0,1.000000
67,303,0,0,0,1.000000
68,294,0,0,0,1.000000
69,289,0,0,0,1.000000
70,301,0,0,0,1.000000
71,285,0,0,0,1.000000
72,300,0,0,0,1.000000
73,295,0,0,0,1.000000
74,281,0,0,0,1.000000
75,300,0,0,0,1.000000
76,285,0,0,0,1.000000
77,304,0,0,0,1.000000
78,293,0,0,0,1.000000
79,294,0,0,0,1.000000
80,285,0,0,0,1.000000
81,296,0,0,0,1.000000
82,295,0,0,0,1.000000
83,289,0,0,0,1.000000
84,295,0,0,0,1.000000
85,293,0,0,0,1.000000
86,286,0,0,0,1.000000
87,304,0,0,0,1.000000
88,296,0,0,0,1.000000
89,286,0,0,0,1.000000
90,295,0,0,0,1.000000
91,282,0,0,0,1.000000
92,296,0,0,0,1.000000
93,289,0,0,0,1.000000
94,304,0,0,0,1.000000
95,290,0,0,0,1.000000
96,289,0,0,0,1.000000
97,309,0,0,0,1.000000
98,295,0,0,0,1.000000
99,295,0,0,0,1.000000
100,285,0,0,0,1.000000
101,285,0,0,0,1.000000
102,294,0,0,0,1.000000
103,292,0,0,0,1.000000
104,291,0,0,0,1.000000
105,275,0,0,0,1.000000
106,302,0,0,0,1.000000
107,297,0,0,0,1.000000
108,300,0,0,0,1.000000
109,283,0,0,0,1.000000
110,301,0,0,0,1.000000
111,282,0,0,0,1.000000
112,292,0,0,0,1.000000
113,299,0,0,0,1.000000
114,285,0,0,0,1.000000
115,304,0,0,0,1.000000
116,301,0,0,0,1.000000
117,293,0,0,0,1.000000
118,292,0,0,0,1.000000
119,295,0,0,0,1.000000
120,286,0,0,0,1.000000
121,283,0,0,0,1.000000
122,294,0,0,0,1.000000
123,296,0,0,0,1.000000
124,287,0,0,0,1.000000
125,304,0,0,0,1.000000
126,295,0,0,0,1.000000
127,293,0,0,0,1.000000
128,300,0,0,0,1.000000
129,292,0,0,0,1.000000
130,287,0,0,0,1.000000
131,290,0,0,0,1.000000
132,276,0,0,0,1.000000
133,311,0,0,0,1.000000
134,296,0,0,0,1.000000
135,281,0,0,0,1.000000
136,303,0,0,0,1.000000
137,301,0,0,0,1.000000
138,292,0,0,0,1.000000
139,288,0,0,0,1.000000
140,303,0,0,0,1.000000
141,281,0,0,0,1.000000
142,292,0,0,0,1.000000
143,293,0,0,0,1.000000
144,288,0,0,0,1.000000
145,300,0,0,0,1.000000
146,297,0,0,0,1.000000
147,288,0,0,0,1.000000
148,296,0,0,0,1.000000
149,291,0,0,0,1.000000
150,294,0,0,0,1.000000
151,285,0,0,0,1.000000
152,284,0,0,0,1.000000
153,293,0,0,0,1.000000
154,292,0,0,0,1.000000
155,292,0,0,0,1.000000
156,302,0,0,0,1.000000
157,290,0,0,0,1.000000
158,299,0,0,0,1.000000
159,300,0,0,0,1.000000
160,288,0,0,0,1.000000
161,286,0,0,0,1.000000
162,295,0,0,0,1.000000
163,289,0,0,0,1.000000
164,291,0,0,0,1.000000
165,298,0,0,0,1.000000
166,294,0,0,0,1.000000
167,286,0,0,0,1.000000
168,292,0,0,0,1.000000
169,299,0,0,0,1.000000
170,297,0,0,0,1.000000
171,279,0,0,0,1.000000
172,296,0,0,0,1.000000
173,298,0,0,0,1.000000
174,297,0,0,0,1.000000
175,293,0,0,0,1.000000
176,288,0,0,0,1.000000
177,294,0,0,0,1.000000
178,291,0,0,0,1.000000
179,304,0,0,0,1.000000
180,286,0,0,0,1.000000
181,280,0,0,0,1.000000
182,293,0,0,0,1.000000
183,292,0,0,0,1.000000
184,282,0,0,0,1.000000
185,63,0,0,0,1.000000
