t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,0,474,331,0,0.000000
1,0,461,337,0,0.000000
2,0,465,334,0,0.000000
3,0,474,329,0,0.000000
4,0,464,333,0,0.000000
5,0,476,326,0,0.000000
6,0,471,331,0,0.000000
7,0,472,325,0,0.000000
8,0,469,332,0,0.000000
9,0,460,341,0,0.000000
10,0,462,336,0,0.000000
11,0,473,328,0,0.000000
12,0,467,332,0,0.000000
13,0,475,326,0,0.000000
14,0,474,328,0,0.000000
15,0,470,327,0,0.000000
16,0,473,327,0,0.000000
17,0,466,334,0,0.000000
18,0,466,335,0,0.000000
19,0,467,332,0,0.000000
20,0,473,327,0,0.000000
21,0,467,333,0,0.000000
22,0,471,331,0,0.000000
23,0,465,333,0,0.000000
24,0,460,343,0,0.000000
25,0,462,335,0,0.000000
26,0,458,341,0,0.000000
27,0,469,330,0,0.000000
28,0,467,334,0,0.000000
29,0,464,340,0,0.000000
30,0,468,330,0,0.000000
31,0,465,335,0,0.000000
32,0,463,334,0,0.000000
33,0,462,343,0,0.000000
34,0,469,328,0,0.000000
35,0,475,327,0,0.000000
36,0,473,326,0,0.000000
37,0,471,330,0,0.000000
38,0,470,329,0,0.000000
39,0,466,335,0,0.000000
40,0,468,330,0,0.000000
41,0,472,328,0,0.000000
42,0,462,341,0,0.000000
43,0,468,328,0,0.000000
44,0,465,336,0,0.000000
45,0,469,333,0,0.000000
46,0,469,330,0,0.000000
47,0,465,335,0,0.000000
48,0,475,325,0,0.000000
49,0,467,333,0,0.000000
50,0,462,336,0,0.000000
51,0,474,328,0,0.000000
52,0,466,333,0,0.000000
53,0,469,332,0,0.000000
54,0,465,334,0,0.000000
55,0,466,335,0,0.000000
56,0,465,335,0,0.000000
57,0,470,330,0,0.000000
58,0,463,337,0,0.000000
59,0,468,332,0,0.000000
60,0,469,331,0,0.000000
61,0,469,331,0,0.000000
62,0,467,333,0,0.000000
63,0,467,334,0,0.000000
64,0,468,330,0,0.000000
65,0,464,337,0,0.000000
66,0,467,334,0,0.000000
67,0,464,335,0,0.000000
68,0,467,333,0,0.000000
69,0,468,333,0,0.000000
70,0,469,329,0,0.000000
71,0,464,337,0,0.000000
72,0,458,341,0,0.000000
73,0,469,329,0,0.000000
74,0,469,335,0,0.000000
75,0,466,333,0,0.000000
76,0,460,339,0,0.000000
77,0,464,338,0,0.000000
78,0,465,336,0,0.000000
79,0,464,334,0,0.000000
80,0,469,331,0,0.000000
81,0,463,337,0,0.000000
82,0,465,336,0,0.000000
83,0,469,330,0,0.000000
84,0,470,331,0,0.000000
85,0,466,333,0,0.000000
86,0,466,336,0,0.000000
87,0,463,335,0,0.000000
88,0,469,329,0,0.000000
89,0,462,339,0,0.000000
90,0,467,334,0,0.000000
91,0,459,338,0,0.000000
92,0,469,333,0,0.000000
93,0,468,332,0,0.000000
94,0,464,336,0,0.000000
95,0,471,329,0,0.000000
96,0,471,330,0,0.000000
97,0,466,334,0,0.000000
98,0,472,328,0,0.000000
99,0,459,340,0,0.000000
100,0,463,338,0,0.000000
101,0,463,335,0,0.000000
102,0,467,334,0,0.000000
103,0,463,336,0,0.000000
104,0,471,331,0,0.000000
105,0,466,334,0,0.000000
106,0,468,330,0,0.000000
107,0,467,334,0,0.000000
108,0,468,335,0,0.000000
109,0,464,333,0,0.000000
110,0,467,333,0,0.000000
111,0,464,337,0,0.000000
112,0,471,329,0,0.000000
113,0,470,331,0,0.000000
114,0,468,332,0,0.000000
115,0,469,329,0,0.000000
116,0,469,333,0,0.000000
117,0,468,332,0,0.000000
118,0,463,336,0,0.000000
119,0,462,339,0,0.000000
120,0,465,328,0,0.000000
121,81,418,304,0,0.100872
122,133,393,275,0,0.166042
123,132,391,276,0,0.165207
124,134,395,272,0,0.167291
125,134,394,273,0,0.167291
126,134,392,274,0,0.167500
127,133,397,269,0,0.166458
128,132,389,278,0,0.165207
129,134,395,272,0,0.167291
130,134,391,277,0,0.167082
131,133,390,272,0,0.167296
132,132,391,280,0,0.164384
133,134,393,273,0,0.167500
134,134,392,276,0,0.167082
135,134,389,274,0,0.168130
136,133,399,269,0,0.166042
137,132,396,272,0,0.165000
138,134,389,278,0,0.167291
139,134,388,280,0,0.167082
140,133,390,274,0,0.166876
141,132,386,280,0,0.165414
142,134,399,269,0,0.167082
143,134,393,273,0,0.167500
144,134,396,270,0,0.167500
145,133,398,271,0,0.165835
146,132,393,271,0,0.165829
147,134,394,273,0,0.167291
148,134,388,280,0,0.167082
149,133,391,275,0,0.166458
150,132,392,275,0,0.165207
151,134,395,271,0,0.167500
152,134,390,278,0,0.167082
153,134,387,278,0,0.167710
154,133,391,275,0,0.166458
155,132,394,276,0,0.164589
156,134,394,272,0,0.167500
