ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786313538.709,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786313538.709,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786313538.709,S1,search,0,prior,0.0,,,,6.899,,6.899
1786313538.709,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786313538.709,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786313538.709,S2,search,0,prior,0.0,,,,4.287,,4.287
1786313538.709,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786313538.709,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786313538.709,S3,search,0,prior,0.0,,,,4.019,,4.019
1786313539.710,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786313539.710,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786313539.710,S1,search,0,prior,0.0,,,,6.899,,6.899
1786313539.710,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786313539.710,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786313539.710,S2,search,0,prior,0.0,,,,4.287,,4.287
1786313539.710,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786313539.710,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786313539.710,S3,search,0,prior,0.0,,,,4.019,,4.019
1786313540.709,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786313540.709,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786313540.709,S1,search,0,prior,0.0,,,,6.899,,6.899
1786313540.709,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786313540.709,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786313540.709,S2,search,0,prior,0.0,,,,4.287,,4.287
1786313540.709,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786313540.709,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786313540.709,S3,search,0,prior,0.0,,,,4.019,,4.019
1786313541.710,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786313541.710,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786313541.710,S1,search,0,prior,0.0,,,,6.899,,6.899
1786313541.710,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786313541.710,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786313541.710,S2,search,0,prior,0.0,,,,4.287,,4.287
1786313541.710,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786313541.710,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786313541.710,S3,search,0,prior,0.0,,,,4.019,,4.019
1786313542.711,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786313542.711,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786313542.711,S1,search,0,prior,0.0,,,,6.899,,6.899
1786313542.711,S2,recommend,57,prior,0.137,1.0861,2.399,78.3,0.975,,0.975
1786313542.711,S2,reserve,32,prior,0.1387,8.399,63.615,79.6,1.332,,1.332
1786313542.711,S2,search,42,prior,0.1345,5.0068,8.985,84.6,4.287,,4.287
1786313542.711,S3,recommend,43,prior,0.1339,0.5727,1.133,83.2,1.0,,1.0
1786313542.711,S3,reserve,16,prior,0.1267,5.1644,32.913,103.2,1.348,,1.348
1786313542.711,S3,search,34,prior,0.1345,3.1259,3.723,85.8,4.019,,4.019
1786313543.715,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786313543.715,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786313543.715,S1,search,0,prior,0.0,,,,6.899,,6.899
1786313543.715,S2,recommend,262,prior_fill,0.6401,0.9995,2.352,72.3,0.975,,0.975
1786313543.715,S2,reserve,143,prior_fill,0.6375,2.6839,2.369,82.2,1.332,,1.332
1786313543.715,S2,search,193,prior_fill,0.632,4.6474,7.161,89.8,4.287,,4.287
1786313543.715,S3,recommend,195,prior_fill,0.6332,0.5622,1.08,84.8,1.0,,1.0
1786313543.715,S3,reserve,83,prior,0.6298,1.6502,1.264,97.2,1.348,,1.348
1786313543.715,S3,search,149,prior_fill,0.632,3.1138,3.66,91.0,4.019,,4.019
1786313544.715,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786313544.715,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786313544.715,S1,search,0,prior,0.0,,,,6.899,,6.899
1786313544.715,S2,recommend,389,obs,0.9606,0.9718,2.178,72.8,0.975,2.178,2.178
1786313544.715,S2,reserve,213,obs,0.9594,1.073,2.307,78.9,1.332,2.307,2.307
1786313544.715,S2,search,295,obs,0.9549,4.6952,7.14,86.4,4.287,7.14,7.14
1786313544.715,S3,recommend,295,obs,0.9488,0.5401,0.853,82.6,1.0,0.853,0.853
1786313544.715,S3,reserve,128,obs,0.9531,0.8153,0.937,92.8,1.348,0.937,0.937
