t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,386,239,178,0,0.480697
1,393,236,172,0,0.490637
2,395,238,165,0,0.494987
3,388,241,172,0,0.484395
4,403,231,165,0,0.504380
5,391,238,171,0,0.488750
6,381,244,175,0,0.476250
7,386,240,179,0,0.479503
8,395,229,173,0,0.495609
9,397,228,175,0,0.496250
10,382,238,177,0,0.479297
11,411,224,165,0,0.513750
12,393,236,173,0,0.490025
13,402,226,175,0,0.500623
14,396,221,184,0,0.494382
15,409,221,163,0,0.515763
16,394,237,172,0,0.490660
17,390,243,169,0,0.486284
18,380,239,180,0,0.475594
19,367,249,182,0,0.459900
20,382,244,174,0,0.477500
21,401,230,173,0,0.498756
22,401,231,167,0,0.501877
23,395,235,169,0,0.494368
24,392,237,168,0,0.491844
25,391,240,174,0,0.485714
26,403,227,168,0,0.505013
27,402,232,166,0,0.502500
28,376,250,172,0,0.471178
29,374,248,181,0,0.465753
30,379,238,179,0,0.476131
31,403,228,171,0,0.502494
32,388,244,166,0,0.486216
33,387,241,175,0,0.481943
34,399,230,169,0,0.500000
35,401,231,166,0,0.502506
36,416,222,163,0,0.519351
37,387,245,169,0,0.483146
38,398,227,174,0,0.498123
39,401,232,171,0,0.498756
40,390,237,170,0,0.489335
41,381,241,178,0,0.476250
42,406,229,166,0,0.506866
43,401,234,167,0,0.500000
44,398,233,168,0,0.498123
45,403,232,162,0,0.505646
46,392,243,167,0,0.488778
47,398,232,171,0,0.496879
48,388,240,174,0,0.483791
49,374,250,170,0,0.471033
50,389,239,177,0,0.483230
51,392,231,174,0,0.491844
52,390,241,167,0,0.488722
53,406,236,162,0,0.504975
54,396,234,170,0,0.495000
55,402,227,169,0,0.503759
56,388,233,175,0,0.487437
57,396,236,174,0,0.491315
58,393,236,171,0,0.491250
59,386,240,171,0,0.484316
60,393,238,174,0,0.488199
61,380,244,172,0,0.477387
62,384,240,176,0,0.480000
63,396,238,167,0,0.494382
64,399,225,175,0,0.499374
65,396,232,174,0,0.493766
66,381,247,166,0,0.479849
67,386,239,178,0,0.480697
68,402,231,171,0,0.500000
69,376,247,174,0,0.471769
70,410,228,161,0,0.513141
71,385,238,179,0,0.480050
72,409,226,167,0,0.509975
73,387,241,172,0,0.483750
74,391,235,173,0,0.489362
75,393,229,176,0,0.492481
76,405,229,165,0,0.506884
77,399,232,172,0,0.496887
78,402,230,166,0,0.503759
79,388,240,174,0,0.483791
80,383,236,179,0,0.479950
81,397,237,167,0,0.495630
82,389,235,175,0,0.486859
83,403,238,161,0,0.502494
84,388,236,177,0,0.484395
85,405,232,159,0,0.508794
86,382,245,174,0,0.476904
87,390,236,178,0,0.485075
88,391,237,170,0,0.489975
89,394,238,170,0,0.491272
90,412,221,163,0,0.517588
91,405,228,166,0,0.506884
92,403,233,168,0,0.501244
93,384,240,171,0,0.483019
94,394,231,178,0,0.490660
95,385,244,172,0,0.480649
96,388,236,174,0,0.486216
97,400,236,168,0,0.497512
98,390,234,169,0,0.491803
99,381,244,179,0,0.473881
100,384,236,180,0,0.480000
101,407,224,168,0,0.509387
102,403,234,164,0,0.503121
103,383,243,172,0,0.479950
104,391,234,179,0,0.486318
105,398,228,170,0,0.500000
106,399,231,173,0,0.496887
107,383,244,173,0,0.478750
108,383,238,178,0,0.479349
109,392,236,175,0,0.488169
110,398,228,170,0,0.500000
111,404,227,175,0,0.501241
112,395,230,170,0,0.496855
113,368,251,179,0,0.461153
114,389,233,181,0,0.484433
115,389,240,169,0,0.487469
116,391,235,175,0,0.488140
117,402,231,168,0,0.501873
118,393,236,170,0,0.491865
119,398,230,172,0,0.497500
120,403,228,165,0,0.506281
121,398,233,169,0,0.497500
122,392,235,174,0,0.489388
123,414,227,161,0,0.516209
124,411,224,163,0,0.515038
125,401,235,163,0,0.501877
126,413,226,160,0,0.516896
127,392,237,170,0,0.490613
128,391,237,173,0,0.488140
129,387,241,175,0,0.481943
130,405,228,165,0,0.507519
131,401,231,168,0,0.501250
132,400,228,173,0,0.499376
133,393,238,170,0,0.490637
134,398,236,162,0,0.500000
135,394,237,170,0,0.491885
136,405,228,168,0,0.505618
137,398,238,162,0,0.498747
138,400,234,171,0,0.496894
139,387,236,171,0,0.487406
140,387,243,174,0,0.481343
141,397,231,170,0,0.497494
142,411,222,171,0,0.511194
143,394,237,164,0,0.495597
144,398,233,169,0,0.497500
145,408,224,171,0,0.508095
146,398,235,167,0,0.497500
147,389,236,171,0,0.488693
148,387,238,176,0,0.483146
149,370,251,182,0,0.460772
150,393,235,169,0,0.493099
151,396,236,168,0,0.495000
152,401,229,175,0,0.498137
153,386,232,177,0,0.485535
154,385,238,177,0,0.481250
155,404,234,168,0,0.501241
156,386,241,170,0,0.484316
157,396,233,171,0,0.495000
158,410,225,165,0,0.512500
159,379,243,177,0,0.474343
160,385,236,177,0,0.482456
161,384,244,173,0,0.479401
162,378,243,179,0,0.472500
163,390,236,172,0,0.488722
164,406,230,168,0,0.504975
165,398,228,171,0,0.499373
166,411,229,166,0,0.509926
167,391,234,170,0,0.491824
168,400,229,170,0,0.500626
169,408,225,168,0,0.509363
170,377,238,184,0,0.471840
171,373,248,183,0,0.463930
172,384,241,172,0,0.481807
173,408,231,162,0,0.509363
174,393,233,174,0,0.491250
175,396,240,165,0,0.494382
176,391,236,169,0,0.491206
177,388,240,172,0,0.485000
178,410,226,168,0,0.509950
179,390,233,175,0,0.488722
180,410,221,164,0,0.515723
181,399,235,165,0,0.499374
182,398,228,177,0,0.495641
183,395,230,174,0,0.494368
184,402,232,168,0,0.501247
185,416,216,166,0,0.521303
186,380,246,172,0,0.476190
187,398,228,181,0,0.493185
188,380,240,173,0,0.479193
189,384,242,172,0,0.481203
190,384,239,181,0,0.477612
191,404,228,172,0,0.502488
192,377,245,175,0,0.473024
193,398,230,171,0,0.498123
194,403,226,173,0,0.502494
195,405,229,165,0,0.506884
196,396,235,171,0,0.493766
197,401,234,162,0,0.503137
198,401,233,169,0,0.499377
199,375,238,181,0,0.472292
200,391,240,171,0,0.487531
201,399,225,178,0,0.497506
202,395,232,175,0,0.492519
203,395,234,169,0,0.494987
204,398,231,171,0,0.497500
205,399,231,171,0,0.498127
206,390,237,170,0,0.489335
207,383,241,177,0,0.478152
208,391,232,172,0,0.491824
209,376,250,179,0,0.467081
210,387,242,169,0,0.484962
211,394,237,170,0,0.491885
212,402,228,173,0,0.500623
213,394,231,174,0,0.493116
214,390,237,173,0,0.487500
215,404,230,164,0,0.506266
216,415,227,157,0,0.519399
217,385,237,179,0,0.480649
218,405,225,172,0,0.504988
219,389,232,171,0,0.491162
220,404,233,172,0,0.499382
221,399,232,166,0,0.500627
222,383,241,173,0,0.480552
223,406,234,163,0,0.505604
224,383,237,182,0,0.477556
225,396,233,173,0,0.493766
226,374,243,174,0,0.472819
227,397,231,177,0,0.493168
228,403,232,168,0,0.501868
229,382,236,178,0,0.479899
230,411,223,168,0,0.512469
231,391,240,168,0,0.489362
232,397,231,175,0,0.494396
233,399,232,164,0,0.501887
234,387,241,175,0,0.481943
235,370,250,179,0,0.463079
236,400,226,177,0,0.498132
237,398,228,174,0,0.497500
238,392,234,174,0,0.490000
239,393,234,168,0,0.494340
240,396,235,182,0,0.487085
241,390,241,169,0,0.487500
242,375,247,177,0,0.469337
243,398,237,166,0,0.496879
244,407,226,166,0,0.509387
245,401,233,165,0,0.501877
246,386,235,180,0,0.481898
247,384,238,178,0,0.480000
248,384,241,171,0,0.482412
249,378,241,185,0,0.470149
250,392,240,169,0,0.489388
251,398,229,169,0,0.500000
252,388,242,172,0,0.483791
253,399,236,169,0,0.496269
254,408,228,164,0,0.510000
255,378,246,172,0,0.474874
256,390,238,177,0,0.484472
257,391,235,172,0,0.489975
258,400,229,168,0,0.501882
259,396,231,176,0,0.493151
260,405,231,164,0,0.506250
261,383,241,174,0,0.479950
262,388,242,173,0,0.483188
263,399,236,165,0,0.498750
264,397,235,168,0,0.496250
265,400,234,163,0,0.501882
266,407,225,168,0,0.508750
267,409,223,169,0,0.510612
268,394,233,172,0,0.493116
269,393,231,176,0,0.491250
270,399,231,170,0,0.498750
271,392,233,178,0,0.488169
272,391,236,169,0,0.491206
273,388,240,175,0,0.483188
274,394,230,172,0,0.494975
275,402,229,171,0,0.501247
276,407,223,168,0,0.510025
277,401,235,165,0,0.500624
278,403,224,176,0,0.501868
279,389,233,175,0,0.488080
280,400,227,175,0,0.498753
281,381,235,179,0,0.479245
282,380,248,178,0,0.471464
283,390,236,172,0,0.488722
284,393,234,173,0,0.491250
285,404,232,164,0,0.505000
286,380,244,179,0,0.473225
287,399,230,166,0,0.501887
288,402,231,170,0,0.500623
289,376,239,180,0,0.472956
290,394,241,171,0,0.488834
291,396,238,166,0,0.495000
292,386,232,178,0,0.484925
293,394,231,177,0,0.491272
294,390,233,180,0,0.485679
295,403,230,163,0,0.506281
296,393,234,173,0,0.491250
297,389,239,173,0,0.485643
298,395,234,171,0,0.493750
299,369,245,183,0,0.462986
300,397,232,174,0,0.494396
301,410,227,165,0,0.511222
302,405,231,161,0,0.508156
303,397,233,173,0,0.494396
304,399,226,175,0,0.498750
305,403,231,165,0,0.504380
306,381,242,178,0,0.475655
307,393,235,172,0,0.491250
308,390,238,168,0,0.489950
309,377,242,179,0,0.472431
310,391,239,174,0,0.486318
311,389,241,171,0,0.485643
312,394,235,170,0,0.493116
313,395,233,174,0,0.492519
314,401,230,169,0,0.501250
315,374,238,186,0,0.468672
316,395,233,171,0,0.494368
317,402,234,165,0,0.501873
