t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,265,266,266,0,0.332497
1,267,267,267,0,0.333333
2,266,266,267,0,0.332916
3,267,267,266,0,0.333750
4,267,266,268,0,0.333333
5,267,267,267,0,0.333333
6,266,267,265,0,0.333333
7,267,266,267,0,0.333750
8,266,267,266,0,0.332916
9,267,267,267,0,0.333333
10,267,267,267,0,0.333333
11,266,266,267,0,0.332916
12,267,267,266,0,0.333750
13,267,267,268,0,0.332918
14,267,266,267,0,0.333750
15,266,267,265,0,0.333333
16,267,267,267,0,0.333333
17,266,266,267,0,0.332916
18,267,267,266,0,0.333750
19,267,267,267,0,0.333333
20,266,266,267,0,0.332916
21,267,267,266,0,0.333750
22,267,267,268,0,0.332918
23,267,266,267,0,0.333750
24,266,267,265,0,0.333333
25,267,267,267,0,0.333333
26,266,266,267,0,0.332916
27,267,267,266,0,0.333750
28,267,267,267,0,0.333333
29,266,266,267,0,0.332916
30,267,267,266,0,0.333750
31,267,266,268,0,0.333333
32,267,267,267,0,0.333333
33,266,267,265,0,0.333333
34,267,267,267,0,0.333333
35,266,266,267,0,0.332916
36,267,267,266,0,0.333750
37,267,267,267,0,0.333333
38,266,266,266,0,0.333333
39,267,267,267,0,0.333333
40,267,266,268,0,0.333333
41,267,267,267,0,0.333333
42,266,267,265,0,0.333333
43,267,266,267,0,0.333750
44,266,267,267,0,0.332500
45,267,267,266,0,0.333750
46,267,267,267,0,0.333333
47,266,266,266,0,0.333333
48,267,267,267,0,0.333333
49,267,266,268,0,0.333333
50,267,267,267,0,0.333333
51,266,267,265,0,0.333333
52,267,267,267,0,0.333333
53,266,266,267,0,0.332916
54,267,267,266,0,0.333750
55,267,267,267,0,0.333333
56,266,266,267,0,0.332916
57,267,267,266,0,0.333750
58,267,267,268,0,0.332918
59,267,266,267,0,0.333750
60,266,267,265,0,0.333333
61,267,267,267,0,0.333333
62,266,266,266,0,0.333333
63,267,267,267,0,0.333333
64,267,267,267,0,0.333333
65,266,266,266,0,0.333333
66,267,267,267,0,0.333333
67,267,266,268,0,0.333333
68,267,267,267,0,0.333333
69,266,267,265,0,0.333333
70,267,266,267,0,0.333750
71,266,267,266,0,0.332916
72,267,267,267,0,0.333333
73,267,267,267,0,0.333333
74,266,266,266,0,0.333333
75,267,267,267,0,0.333333
76,266,266,268,0,0.332500
77,268,267,267,0,0.334165
78,266,267,265,0,0.333333
79,267,266,267,0,0.333750
80,266,267,266,0,0.332916
81,267,267,267,0,0.333333
82,267,267,267,0,0.333333
83,266,266,266,0,0.333333
84,266,267,267,0,0.332500
85,268,267,268,0,0.333748
86,267,266,267,0,0.333750
87,266,267,265,0,0.333333
88,267,266,267,0,0.333750
89,266,267,267,0,0.332500
90,267,267,266,0,0.333750
91,267,267,267,0,0.333333
92,266,266,266,0,0.333333
93,267,267,267,0,0.333333
94,267,267,268,0,0.332918
95,267,266,267,0,0.333750
96,266,267,265,0,0.333333
97,267,267,267,0,0.333333
98,266,266,266,0,0.333333
99,267,267,267,0,0.333333
100,267,267,267,0,0.333333
101,267,266,267,0,0.333750
102,266,267,266,0,0.332916
103,267,267,268,0,0.332918
104,267,266,267,0,0.333750
105,266,267,265,0,0.333333
106,267,266,267,0,0.333750
107,266,267,267,0,0.332500
108,267,267,266,0,0.333750
109,267,267,267,0,0.333333
110,266,266,267,0,0.332916
111,266,267,266,0,0.332916
112,268,266,268,0,0.334165
113,267,267,266,0,0.333750
114,266,267,266,0,0.332916
115,267,266,267,0,0.333750
116,265,267,266,0,0.332080
117,268,267,267,0,0.334165
118,267,267,267,0,0.333333
119,267,266,267,0,0.333750
120,264,265,266,0,0.332075
121,267,267,266,0,0.333750
122,268,266,266,0,0.335000
123,265,268,267,0,0.331250
124,267,267,266,0,0.333750
125,267,266,267,0,0.333750
126,267,267,266,0,0.333750
127,266,268,264,0,0.333333
128,267,266,270,0,0.332503
129,267,266,267,0,0.333750
130,266,266,267,0,0.332916
131,266,267,267,0,0.332500
132,268,267,265,0,0.335000
133,266,267,267,0,0.332500
134,267,266,267,0,0.333750
135,267,267,266,0,0.333750
136,266,268,264,0,0.333333
137,267,266,269,0,0.332918
138,267,266,268,0,0.333333
139,266,266,267,0,0.332916
140,266,268,267,0,0.332085
141,267,266,266,0,0.334168
142,267,267,266,0,0.333750
143,267,266,267,0,0.333750
144,267,267,266,0,0.333750
145,267,268,266,0,0.333333
146,266,266,267,0,0.332916
147,267,266,268,0,0.333333
148,266,266,267,0,0.332916
149,268,268,266,0,0.334165
150,265,266,267,0,0.332080
151,267,267,266,0,0.333750
152,267,266,267,0,0.333750
153,267,267,266,0,0.333750
154,266,268,264,0,0.333333
155,267,266,270,0,0.332503
156,267,265,267,0,0.334168
157,266,267,267,0,0.332500
158,266,268,267,0,0.332085
159,267,265,266,0,0.334586
160,267,268,266,0,0.333333
161,267,266,267,0,0.333750
162,267,267,266,0,0.333750
163,266,268,264,0,0.333333
164,267,266,270,0,0.332503
165,267,266,267,0,0.333750
166,266,266,268,0,0.332500
167,266,268,266,0,0.332500
168,267,266,266,0,0.334168
169,268,267,266,0,0.334582
170,266,266,267,0,0.332916
171,267,267,266,0,0.333750
172,266,268,264,0,0.333333
173,267,266,270,0,0.332503
174,267,266,267,0,0.333750
175,265,266,267,0,0.332080
176,267,268,267,0,0.332918
177,267,266,266,0,0.334168
178,268,266,267,0,0.334582
