ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786303908.555,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786303908.555,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786303908.555,S1,search,0,prior,0.0,,,,6.899,,6.899
1786303908.555,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786303908.555,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786303908.555,S2,search,0,prior,0.0,,,,4.287,,4.287
1786303908.555,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786303908.555,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786303908.555,S3,search,0,prior,0.0,,,,4.019,,4.019
1786303909.556,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786303909.556,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786303909.556,S1,search,0,prior,0.0,,,,6.899,,6.899
1786303909.556,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786303909.556,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786303909.556,S2,search,0,prior,0.0,,,,4.287,,4.287
1786303909.556,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786303909.556,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786303909.556,S3,search,0,prior,0.0,,,,4.019,,4.019
1786303910.555,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786303910.555,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786303910.555,S1,search,0,prior,0.0,,,,6.899,,6.899
1786303910.555,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786303910.555,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786303910.555,S2,search,0,prior,0.0,,,,4.287,,4.287
1786303910.555,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786303910.555,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786303910.555,S3,search,0,prior,0.0,,,,4.019,,4.019
1786303911.556,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786303911.556,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786303911.556,S1,search,0,prior,0.0,,,,6.899,,6.899
1786303911.556,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786303911.556,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786303911.556,S2,search,0,prior,0.0,,,,4.287,,4.287
1786303911.556,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786303911.556,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786303911.556,S3,search,0,prior,0.0,,,,4.019,,4.019
1786303912.557,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786303912.557,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786303912.557,S1,search,0,prior,0.0,,,,6.899,,6.899
1786303912.557,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786303912.557,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786303912.557,S2,search,0,prior,0.0,,,,4.287,,4.287
1786303912.557,S3,recommend,81,prior,0.1295,0.8182,1.669,94.3,1.0,,1.0
1786303912.557,S3,reserve,39,prior,0.1269,42.6761,186.839,104.4,1.348,,1.348
1786303912.557,S3,search,62,prior,0.1273,4.2251,7.154,101.8,4.019,,4.019
1786303913.561,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786303913.561,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786303913.561,S1,search,0,prior,0.0,,,,6.899,,6.899
1786303913.561,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786303913.561,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786303913.561,S2,search,0,prior,0.0,,,,4.287,,4.287
1786303913.561,S3,recommend,450,prior_fill,0.6295,0.8529,1.669,95.1,1.0,,1.0
1786303913.561,S3,reserve,224,prior_fill,0.6294,8.258,2.435,99.9,1.348,,1.348
1786303913.561,S3,search,340,prior_fill,0.6299,3.9406,6.064,97.4,4.019,,4.019
1786303914.561,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786303914.561,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786303914.561,S1,search,0,prior,0.0,,,,6.899,,6.899
1786303914.561,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786303914.561,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786303914.561,S2,search,0,prior,0.0,,,,4.287,,4.287
1786303914.561,S3,recommend,686,obs,0.945,0.8417,1.535,97.6,1.0,1.535,1.535
1786303914.561,S3,reserve,345,obs,0.9518,0.9773,1.359,95.1,1.348,1.359,1.359
1786303914.561,S3,search,517,obs,0.9487,3.7228,5.006,100.1,4.019,5.006,5.006
1786303915.561,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786303915.561,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786303915.561,S1,search,0,prior,0.0,,,,6.899,,6.899
1786303915.561,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786303915.561,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786303915.561,S2,search,0,prior,0.0,,,,4.287,,4.287
1786303915.561,S3,recommend,676,obs,0.9525,0.8083,1.33,92.6,1.0,1.33,1.33
1786303915.561,S3,reserve,342,obs,0.9487,0.9405,1.171,97.6,1.348,1.171,1.171
1786303915.561,S3,search,508,obs,0.9488,3.6079,4.599,95.1,4.019,4.599,4.599
1786303916.561,S1,recommend,0,prior,0.0,,,,1.24,,1.24
