ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786307830.833,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786307830.833,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786307830.833,S1,search,0,prior,0.0,,,,6.899,,6.899
1786307830.833,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786307830.833,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786307830.833,S2,search,0,prior,0.0,,,,4.287,,4.287
1786307830.833,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786307830.833,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786307830.833,S3,search,0,prior,0.0,,,,4.019,,4.019
1786307831.834,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786307831.834,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786307831.834,S1,search,0,prior,0.0,,,,6.899,,6.899
1786307831.834,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786307831.834,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786307831.834,S2,search,0,prior,0.0,,,,4.287,,4.287
1786307831.834,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786307831.834,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786307831.834,S3,search,0,prior,0.0,,,,4.019,,4.019
1786307832.834,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786307832.834,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786307832.834,S1,search,0,prior,0.0,,,,6.899,,6.899
1786307832.834,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786307832.834,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786307832.834,S2,search,0,prior,0.0,,,,4.287,,4.287
1786307832.834,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786307832.834,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786307832.834,S3,search,0,prior,0.0,,,,4.019,,4.019
1786307833.834,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786307833.834,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786307833.834,S1,search,0,prior,0.0,,,,6.899,,6.899
1786307833.834,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786307833.834,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786307833.834,S2,search,0,prior,0.0,,,,4.287,,4.287
1786307833.834,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786307833.834,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786307833.834,S3,search,0,prior,0.0,,,,4.019,,4.019
1786307834.836,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786307834.836,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786307834.836,S1,search,0,prior,0.0,,,,6.899,,6.899
1786307834.836,S2,recommend,99,prior,0.1456,3.1768,8.118,72.1,0.975,,0.975
1786307834.836,S2,reserve,40,prior,0.1367,38.6134,201.918,82.0,1.332,,1.332
1786307834.836,S2,search,72,prior,0.1444,9.8649,17.645,80.6,4.287,,4.287
1786307834.836,S3,recommend,62,prior,0.1442,0.6495,0.901,79.1,1.0,,1.0
1786307834.836,S3,reserve,46,prior,0.1412,27.6161,160.023,87.8,1.348,,1.348
1786307834.836,S3,search,57,prior,0.1302,3.8883,6.142,91.5,4.019,,4.019
1786307835.843,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786307835.843,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786307835.843,S1,search,0,prior,0.0,,,,6.899,,6.899
1786307835.843,S2,recommend,446,prior_fill,0.6457,2.6028,6.338,70.7,0.975,,0.975
1786307835.843,S2,reserve,225,prior_fill,0.6398,9.8824,12.529,75.8,1.332,,1.332
1786307835.843,S2,search,336,prior_fill,0.6444,9.9543,18.474,80.7,4.287,,4.287
1786307835.843,S3,recommend,356,prior_fill,0.6413,0.6517,1.071,85.0,1.0,,1.0
1786307835.843,S3,reserve,178,prior_fill,0.6408,7.8487,2.934,88.7,1.348,,1.348
1786307835.843,S3,search,266,prior_fill,0.6338,3.4906,4.965,84.4,4.019,,4.019
1786307836.843,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786307836.843,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786307836.843,S1,search,0,prior,0.0,,,,6.899,,6.899
1786307836.843,S2,recommend,684,obs,0.9646,2.3283,5.533,68.8,0.975,5.533,5.533
1786307836.843,S2,reserve,344,obs,0.9621,3.3332,7.506,67.3,1.332,7.506,7.506
1786307836.843,S2,search,501,obs,0.9621,9.1604,15.702,74.5,4.287,15.702,15.702
1786307836.843,S3,recommend,517,obs,0.955,0.6412,1.157,80.8,1.0,1.157,1.157
1786307836.843,S3,reserve,261,obs,0.9596,0.9837,1.53,80.2,1.348,1.53,1.53
1786307836.843,S3,search,401,obs,0.9557,3.3596,4.352,84.5,4.019,4.352,4.352
1786307837.843,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786307837.843,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786307837.843,S1,search,0,prior,0.0,,,,6.899,,6.899
1786307837.843,S2,recommend,676,obs,0.9621,2.4362,6.37,68.7,0.975,6.37,6.37
1786307837.843,S2,reserve,335,obs,0.965,3.5225,8.113,69.3,1.332,8.113,8.113
1786307837.843,S2,search,500,obs,0.9631,10.046,18.721,71.6,4.287,18.721,18.721
1786307837.843,S3,recommend,526,obs,0.9571,0.6323,1.27,83.0,1.0,1.27,1.27
1786307837.843,S3,reserve,263,obs,0.9567,1.003,1.652,75.9,1.348,1.652,1.652
1786307837.843,S3,search,399,obs,0.9583,3.4983,4.701,82.1,4.019,4.701,4.701
1786307838.843,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786307838.843,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786307838.843,S1,search,0,prior,0.0,,,,6.899,,6.899
1786307838.843,S2,recommend,674,obs,0.9654,2.4161,6.37,68.2,0.975,6.37,6.37
1786307838.843,S2,reserve,334,obs,0.9621,3.5277,8.026,75.3,1.332,8.026,8.026
1786307838.843,S2,search,498,obs,0.96,10.2445,19.113,73.9,4.287,19.113,19.113
1786307838.843,S3,recommend,523,obs,0.9593,0.6066,1.028,78.2,1.0,1.028,1.028
1786307838.843,S3,reserve,269,obs,0.9496,0.9745,1.652,81.9,1.348,1.652,1.652
