t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,0,783,626,0,0.000000
1,0,779,619,0,0.000000
2,0,791,607,0,0.000000
3,0,781,619,0,0.000000
4,0,774,627,0,0.000000
5,0,776,623,0,0.000000
6,0,777,622,0,0.000000
7,0,770,631,0,0.000000
8,0,783,618,0,0.000000
9,0,777,622,0,0.000000
10,0,778,625,0,0.000000
11,0,772,624,0,0.000000
12,0,785,615,0,0.000000
13,0,789,614,0,0.000000
14,0,766,632,0,0.000000
15,0,774,620,0,0.000000
16,0,789,619,0,0.000000
17,0,767,633,0,0.000000
18,0,769,626,0,0.000000
19,0,792,611,0,0.000000
20,0,770,631,0,0.000000
21,0,777,623,0,0.000000
22,0,781,620,0,0.000000
23,0,777,621,0,0.000000
24,0,774,627,0,0.000000
25,0,780,618,0,0.000000
26,0,783,621,0,0.000000
27,0,779,622,0,0.000000
28,0,761,633,0,0.000000
29,0,777,625,0,0.000000
30,0,774,630,0,0.000000
31,0,785,615,0,0.000000
32,0,781,617,0,0.000000
33,0,763,638,0,0.000000
34,0,760,637,0,0.000000
35,0,782,621,0,0.000000
36,0,777,620,0,0.000000
37,0,770,631,0,0.000000
38,0,780,619,0,0.000000
39,0,774,629,0,0.000000
40,0,757,641,0,0.000000
41,0,783,614,0,0.000000
42,0,777,625,0,0.000000
43,0,770,631,0,0.000000
44,0,758,642,0,0.000000
45,0,780,619,0,0.000000
46,0,785,619,0,0.000000
47,0,774,622,0,0.000000
48,0,772,627,0,0.000000
49,0,776,624,0,0.000000
50,0,777,629,0,0.000000
51,0,781,610,0,0.000000
52,0,769,630,0,0.000000
53,0,778,630,0,0.000000
54,0,763,631,0,0.000000
55,0,778,624,0,0.000000
56,0,775,627,0,0.000000
57,0,771,629,0,0.000000
58,0,778,621,0,0.000000
59,0,756,641,0,0.000000
60,0,777,628,0,0.000000
61,0,784,615,0,0.000000
62,0,777,625,0,0.000000
63,0,765,631,0,0.000000
64,0,759,640,0,0.000000
65,0,779,626,0,0.000000
66,0,775,621,0,0.000000
67,0,785,615,0,0.000000
68,0,772,629,0,0.000000
69,0,772,631,0,0.000000
70,0,776,622,0,0.000000
71,0,771,630,0,0.000000
72,0,778,623,0,0.000000
73,0,771,626,0,0.000000
74,0,775,626,0,0.000000
75,0,771,631,0,0.000000
76,0,777,622,0,0.000000
77,0,776,625,0,0.000000
78,0,759,636,0,0.000000
79,0,776,627,0,0.000000
80,0,778,622,0,0.000000
81,0,761,634,0,0.000000
82,0,785,619,0,0.000000
83,0,791,611,0,0.000000
84,0,753,647,0,0.000000
85,0,766,632,0,0.000000
86,0,777,626,0,0.000000
87,0,770,626,0,0.000000
88,0,771,627,0,0.000000
89,0,775,625,0,0.000000
90,0,778,625,0,0.000000
91,0,771,630,0,0.000000
92,0,759,635,0,0.000000
93,0,780,621,0,0.000000
94,0,779,627,0,0.000000
95,0,767,631,0,0.000000
96,0,783,623,0,0.000000
97,0,776,620,0,0.000000
98,0,762,637,0,0.000000
99,0,777,627,0,0.000000
100,0,775,621,0,0.000000
101,0,772,627,0,0.000000
102,0,777,624,0,0.000000
103,0,780,624,0,0.000000
104,0,762,634,0,0.000000
105,0,786,615,0,0.000000
106,0,769,626,0,0.000000
107,0,780,625,0,0.000000
108,0,757,637,0,0.000000
109,0,767,633,0,0.000000
110,0,786,620,0,0.000000
111,0,783,617,0,0.000000
112,0,781,613,0,0.000000
113,0,779,622,0,0.000000
114,0,776,629,0,0.000000
115,0,772,626,0,0.000000
116,0,775,628,0,0.000000
117,0,773,625,0,0.000000
118,0,776,622,0,0.000000
119,0,768,634,0,0.000000
120,0,776,622,0,0.000000
121,0,724,675,0,0.000000
122,0,690,712,0,0.000000
123,0,739,660,0,0.000000
124,0,708,695,0,0.000000
125,0,681,716,0,0.000000
126,0,731,667,0,0.000000
127,0,726,678,0,0.000000
128,0,686,712,0,0.000000
129,0,744,660,0,0.000000
130,0,728,670,0,0.000000
131,0,685,713,0,0.000000
132,0,740,659,0,0.000000
133,0,721,680,0,0.000000
134,0,690,711,0,0.000000
135,0,725,671,0,0.000000
136,0,722,683,0,0.000000
137,0,691,709,0,0.000000
138,0,736,659,0,0.000000
139,0,781,622,0,0.000000
140,0,726,673,0,0.000000
141,0,747,656,0,0.000000
142,0,770,624,0,0.000000
143,0,729,674,0,0.000000
144,0,691,711,0,0.000000
145,0,739,660,0,0.000000
146,0,735,663,0,0.000000
147,0,684,720,0,0.000000
148,0,739,656,0,0.000000
149,0,772,631,0,0.000000
150,0,721,680,0,0.000000
151,0,685,716,0,0.000000
152,0,739,659,0,0.000000
153,0,724,677,0,0.000000
154,0,682,718,0,0.000000
155,0,746,656,0,0.000000
156,0,781,615,0,0.000000
157,0,727,674,0,0.000000
158,0,730,669,0,0.000000
159,0,723,680,0,0.000000
160,0,689,712,0,0.000000
161,0,723,673,0,0.000000
162,0,726,677,0,0.000000
163,0,680,716,0,0.000000
