t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,0,707,567,0,0.000000
1,0,464,1075,0,0.000000
2,0,735,555,0,0.000000
3,0,452,1066,0,0.000000
4,0,709,545,0,0.000000
5,0,462,1077,0,0.000000
6,0,708,552,0,0.000000
7,0,456,1085,0,0.000000
8,0,720,551,0,0.000000
9,0,466,1066,0,0.000000
10,0,695,548,0,0.000000
11,0,478,1075,0,0.000000
12,0,698,554,0,0.000000
13,0,479,1074,0,0.000000
14,0,687,550,0,0.000000
15,0,496,1068,0,0.000000
16,0,697,549,0,0.000000
17,0,498,1040,0,0.000000
18,0,700,565,0,0.000000
19,0,467,1074,0,0.000000
20,0,707,558,0,0.000000
21,0,473,1071,0,0.000000
22,0,711,549,0,0.000000
23,0,474,1070,0,0.000000
24,0,697,545,0,0.000000
25,0,476,1071,0,0.000000
26,0,700,555,0,0.000000
27,0,472,1084,0,0.000000
28,0,673,543,0,0.000000
29,0,454,1087,0,0.000000
30,0,709,587,0,0.000000
31,0,461,1074,0,0.000000
32,0,706,556,0,0.000000
33,0,458,1080,0,0.000000
34,0,698,555,0,0.000000
35,0,464,1079,0,0.000000
36,0,693,557,0,0.000000
37,0,472,1088,0,0.000000
38,0,678,549,0,0.000000
39,0,490,1076,0,0.000000
40,0,679,559,0,0.000000
41,0,463,1080,0,0.000000
42,0,704,576,0,0.000000
43,0,505,1046,0,0.000000
44,0,695,545,0,0.000000
45,0,485,1068,0,0.000000
46,0,680,552,0,0.000000
47,0,471,1092,0,0.000000
48,0,707,557,0,0.000000
49,0,449,1092,0,0.000000
50,0,689,552,0,0.000000
51,0,485,1081,0,0.000000
52,0,690,544,0,0.000000
53,0,494,1069,0,0.000000
54,0,683,547,0,0.000000
55,0,449,1078,0,0.000000
56,0,702,593,0,0.000000
57,0,504,1047,0,0.000000
58,0,712,545,0,0.000000
59,0,456,1085,0,0.000000
60,0,715,549,0,0.000000
61,0,450,1083,0,0.000000
62,0,699,550,0,0.000000
63,0,441,1100,0,0.000000
64,0,696,558,0,0.000000
65,0,491,1070,0,0.000000
66,0,713,543,0,0.000000
67,0,485,1055,0,0.000000
68,0,673,549,0,0.000000
69,0,475,1099,0,0.000000
70,0,703,552,0,0.000000
71,0,474,1069,0,0.000000
72,0,686,554,0,0.000000
73,0,480,1086,0,0.000000
74,0,685,550,0,0.000000
75,0,470,1097,0,0.000000
76,0,674,546,0,0.000000
77,0,467,1082,0,0.000000
78,0,715,577,0,0.000000
79,0,451,1077,0,0.000000
80,0,697,557,0,0.000000
81,0,485,1074,0,0.000000
82,0,701,544,0,0.000000
83,0,495,1053,0,0.000000
84,0,689,553,0,0.000000
85,0,474,1088,0,0.000000
86,0,706,548,0,0.000000
87,0,479,1057,0,0.000000
88,0,716,558,0,0.000000
89,0,443,1078,0,0.000000
90,0,698,561,0,0.000000
91,0,464,1084,0,0.000000
92,0,676,554,0,0.000000
93,0,468,1092,0,0.000000
94,0,696,567,0,0.000000
95,0,476,1079,0,0.000000
96,0,676,549,0,0.000000
97,0,479,1088,0,0.000000
98,0,722,555,0,0.000000
99,0,443,1074,0,0.000000
100,0,714,561,0,0.000000
101,0,440,1083,0,0.000000
102,0,716,564,0,0.000000
103,0,462,1067,0,0.000000
104,0,701,555,0,0.000000
105,0,481,1071,0,0.000000
106,0,701,549,0,0.000000
107,0,472,1075,0,0.000000
108,0,713,547,0,0.000000
109,0,456,1076,0,0.000000
110,0,724,555,0,0.000000
111,0,463,1071,0,0.000000
112,0,719,542,0,0.000000
113,0,465,1070,0,0.000000
114,0,704,546,0,0.000000
115,0,445,1079,0,0.000000
116,0,688,573,0,0.000000
117,0,470,1096,0,0.000000
118,0,707,546,0,0.000000
119,0,454,1080,0,0.000000
120,0,704,560,0,0.000000
121,0,455,1069,0,0.000000
122,0,701,573,0,0.000000
123,0,464,1063,0,0.000000
124,0,682,571,0,0.000000
125,0,459,1081,0,0.000000
126,0,697,578,0,0.000000
127,0,502,1037,0,0.000000
128,0,703,563,0,0.000000
129,0,453,1053,0,0.000000
130,0,657,591,0,0.000000
131,0,494,1035,0,0.000000
132,0,709,610,0,0.000000
133,0,467,1060,0,0.000000
134,0,661,570,0,0.000000
135,0,444,1084,0,0.000000
136,0,685,608,0,0.000000
137,0,447,1074,0,0.000000
138,0,699,595,0,0.000000
139,0,426,1075,0,0.000000
140,0,708,603,0,0.000000
141,0,494,1016,0,0.000000
142,0,679,582,0,0.000000
143,0,489,1053,0,0.000000
144,0,675,578,0,0.000000
145,0,489,1057,0,0.000000
146,0,725,577,0,0.000000
147,0,431,1063,0,0.000000
148,0,666,582,0,0.000000
149,0,470,1056,0,0.000000
150,0,687,606,0,0.000000
151,0,493,1039,0,0.000000
152,0,714,583,0,0.000000
153,0,462,1041,0,0.000000
154,0,694,583,0,0.000000
155,0,438,1070,0,0.000000
156,0,678,593,0,0.000000
157,0,474,1042,0,0.000000
158,0,685,608,0,0.000000
159,0,454,1082,0,0.000000
160,0,683,584,0,0.000000
161,0,451,1062,0,0.000000
162,0,683,599,0,0.000000
163,0,491,1050,0,0.000000
164,0,689,581,0,0.000000
165,0,445,1081,0,0.000000
166,0,700,585,0,0.000000
167,0,466,1063,0,0.000000
168,0,691,571,0,0.000000
169,0,436,1078,0,0.000000
170,0,707,589,0,0.000000
171,0,435,1070,0,0.000000
172,0,687,585,0,0.000000
173,0,466,1039,0,0.000000
174,0,697,611,0,0.000000
175,0,477,1028,0,0.000000
176,0,693,598,0,0.000000
177,0,488,1049,0,0.000000
178,0,697,574,0,0.000000
179,0,415,1073,0,0.000000
180,0,668,610,0,0.000000
181,0,512,1044,0,0.000000
182,0,700,580,0,0.000000
183,0,456,1061,0,0.000000
184,0,696,583,0,0.000000
185,0,483,1044,0,0.000000
186,0,683,577,0,0.000000
187,0,478,1029,0,0.000000
188,0,681,611,0,0.000000
189,0,425,1051,0,0.000000
190,0,690,636,0,0.000000
191,0,440,1074,0,0.000000
192,0,696,604,0,0.000000
193,0,468,1034,0,0.000000
194,0,674,603,0,0.000000
195,0,483,1038,0,0.000000
196,0,710,603,0,0.000000
197,0,439,1057,0,0.000000
198,0,699,594,0,0.000000
199,0,455,1040,0,0.000000
200,0,682,604,0,0.000000
201,0,487,1028,0,0.000000
202,0,706,604,0,0.000000
203,0,447,1055,0,0.000000
204,0,679,594,0,0.000000
205,0,454,1055,0,0.000000
206,0,684,609,0,0.000000
207,0,482,1036,0,0.000000
208,0,676,599,0,0.000000
209,0,479,1022,0,0.000000
210,0,711,621,0,0.000000
211,0,468,1019,0,0.000000
212,0,661,601,0,0.000000
213,0,468,1070,0,0.000000
214,0,711,603,0,0.000000
215,0,457,1046,0,0.000000
216,0,688,582,0,0.000000
217,0,475,1037,0,0.000000
218,0,672,607,0,0.000000
219,0,492,1013,0,0.000000
220,0,682,620,0,0.000000
221,0,491,1040,0,0.000000
222,0,676,588,0,0.000000
223,0,490,1049,0,0.000000
224,0,677,584,0,0.000000
225,0,455,1055,0,0.000000
226,0,697,614,0,0.000000
227,0,416,1060,0,0.000000
228,0,699,626,0,0.000000
229,0,467,1049,0,0.000000
230,0,692,585,0,0.000000
231,0,478,1034,0,0.000000
232,0,689,599,0,0.000000
233,0,437,1063,0,0.000000
234,0,700,605,0,0.000000
235,0,447,1034,0,0.000000
236,0,685,624,0,0.000000
237,0,482,1042,0,0.000000
238,0,690,593,0,0.000000
239,0,467,1040,0,0.000000
240,0,713,601,0,0.000000
241,0,465,1064,0,0.000000
242,0,710,557,0,0.000000
243,0,487,1056,0,0.000000
244,0,692,547,0,0.000000
245,0,494,1073,0,0.000000
246,0,698,542,0,0.000000
247,0,472,1081,0,0.000000
248,0,690,548,0,0.000000
249,0,458,1066,0,0.000000
250,0,692,587,0,0.000000
251,0,486,1067,0,0.000000
252,0,690,553,0,0.000000
253,0,489,1061,0,0.000000
254,0,720,560,0,0.000000
255,0,420,1087,0,0.000000
256,0,700,573,0,0.000000
257,0,474,1083,0,0.000000
258,0,685,543,0,0.000000
259,0,439,1108,0,0.000000
260,0,708,567,0,0.000000
261,0,470,1074,0,0.000000
262,0,707,552,0,0.000000
263,0,498,1047,0,0.000000
264,0,707,546,0,0.000000
265,0,468,1066,0,0.000000
266,0,694,560,0,0.000000
267,0,496,1066,0,0.000000
268,0,698,544,0,0.000000
269,0,444,1089,0,0.000000
270,0,703,568,0,0.000000
271,0,478,1069,0,0.000000
272,0,699,551,0,0.000000
273,0,438,1098,0,0.000000
274,0,695,565,0,0.000000
275,0,464,1090,0,0.000000
276,0,701,552,0,0.000000
277,0,460,1088,0,0.000000
278,0,703,549,0,0.000000
279,0,451,1080,0,0.000000
280,0,677,566,0,0.000000
281,0,495,1077,0,0.000000
282,0,698,551,0,0.000000
283,0,479,1059,0,0.000000
284,0,697,564,0,0.000000
285,0,459,1085,0,0.000000
286,0,688,559,0,0.000000
287,0,489,1079,0,0.000000
288,0,695,542,0,0.000000
289,0,434,1105,0,0.000000
290,0,698,568,0,0.000000
291,0,489,1063,0,0.000000
292,0,667,551,0,0.000000
293,0,490,1046,0,0.000000
294,0,681,597,0,0.000000
295,0,486,1081,0,0.000000
296,0,679,551,0,0.000000
297,0,495,1071,0,0.000000
298,0,697,555,0,0.000000
299,0,450,1096,0,0.000000
300,0,687,556,0,0.000000
301,0,502,1053,0,0.000000
302,0,700,558,0,0.000000
303,0,479,1065,0,0.000000
304,0,695,557,0,0.000000
305,0,480,1066,0,0.000000
306,0,689,559,0,0.000000
307,0,481,1067,0,0.000000
308,0,684,563,0,0.000000
309,0,466,1072,0,0.000000
310,0,706,576,0,0.000000
311,0,455,1085,0,0.000000
312,0,696,556,0,0.000000
313,0,466,1077,0,0.000000
314,0,689,559,0,0.000000
315,0,461,1096,0,0.000000
316,0,700,557,0,0.000000
317,0,490,1060,0,0.000000
318,0,709,550,0,0.000000
319,0,444,1081,0,0.000000
320,0,679,563,0,0.000000
321,0,491,1083,0,0.000000
322,0,698,547,0,0.000000
323,0,490,1067,0,0.000000
324,0,708,545,0,0.000000
325,0,472,1065,0,0.000000
326,0,694,555,0,0.000000
327,0,471,1084,0,0.000000
328,0,688,552,0,0.000000
329,0,441,1102,0,0.000000
330,0,711,569,0,0.000000
331,0,441,1098,0,0.000000
332,0,708,550,0,0.000000
333,0,459,1089,0,0.000000
334,0,694,543,0,0.000000
335,0,468,1083,0,0.000000
336,0,685,555,0,0.000000
337,0,478,1085,0,0.000000
338,0,709,552,0,0.000000
339,0,470,1065,0,0.000000
340,0,679,558,0,0.000000
341,0,492,1070,0,0.000000
342,0,687,559,0,0.000000
343,0,468,1089,0,0.000000
344,0,693,555,0,0.000000
345,0,458,1094,0,0.000000
346,0,696,557,0,0.000000
347,0,481,1051,0,0.000000
348,0,711,570,0,0.000000
349,0,443,1084,0,0.000000
350,0,709,562,0,0.000000
351,0,450,1083,0,0.000000
352,0,703,558,0,0.000000
353,0,504,1044,0,0.000000
354,0,721,549,0,0.000000
355,0,452,1077,0,0.000000
356,0,716,554,0,0.000000
357,0,462,1046,0,0.000000
358,0,726,573,0,0.000000
359,0,426,1073,0,0.000000
360,0,0,74,0,0.000000
