ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786312526.072,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786312526.072,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786312526.072,S1,search,0,prior,0.0,,,,6.899,,6.899
1786312526.072,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786312526.072,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786312526.072,S2,search,0,prior,0.0,,,,4.287,,4.287
1786312526.072,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786312526.072,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786312526.072,S3,search,0,prior,0.0,,,,4.019,,4.019
1786312527.073,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786312527.073,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786312527.073,S1,search,0,prior,0.0,,,,6.899,,6.899
1786312527.073,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786312527.073,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786312527.073,S2,search,0,prior,0.0,,,,4.287,,4.287
1786312527.073,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786312527.073,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786312527.073,S3,search,0,prior,0.0,,,,4.019,,4.019
1786312528.073,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786312528.073,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786312528.073,S1,search,0,prior,0.0,,,,6.899,,6.899
1786312528.073,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786312528.073,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786312528.073,S2,search,0,prior,0.0,,,,4.287,,4.287
1786312528.073,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786312528.073,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786312528.073,S3,search,0,prior,0.0,,,,4.019,,4.019
1786312529.073,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786312529.073,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786312529.073,S1,search,0,prior,0.0,,,,6.899,,6.899
1786312529.073,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786312529.073,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786312529.073,S2,search,0,prior,0.0,,,,4.287,,4.287
1786312529.073,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786312529.073,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786312529.073,S3,search,0,prior,0.0,,,,4.019,,4.019
1786312530.073,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786312530.073,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786312530.073,S1,search,0,prior,0.0,,,,6.899,,6.899
1786312530.073,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786312530.073,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786312530.073,S2,search,0,prior,0.0,,,,4.287,,4.287
1786312530.073,S3,recommend,65,prior,0.1438,0.5392,0.681,62.7,1.0,,1.0
1786312530.073,S3,reserve,32,prior,0.1497,4.5393,21.602,58.5,1.348,,1.348
1786312530.073,S3,search,51,prior,0.1437,3.2359,4.017,66.7,4.019,,4.019
1786312531.076,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786312531.076,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786312531.076,S1,search,0,prior,0.0,,,,6.899,,6.899
1786312531.076,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786312531.076,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786312531.076,S2,search,0,prior,0.0,,,,4.287,,4.287
1786312531.076,S3,recommend,286,prior_fill,0.6455,0.5318,0.791,59.5,1.0,,1.0
1786312531.076,S3,reserve,144,prior_fill,0.6475,1.7324,1.662,63.1,1.348,,1.348
1786312531.076,S3,search,218,prior_fill,0.6455,3.2005,3.873,63.5,4.019,,4.019
1786312532.076,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786312532.076,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786312532.076,S1,search,0,prior,0.0,,,,6.899,,6.899
1786312532.076,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786312532.076,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786312532.076,S2,search,0,prior,0.0,,,,4.287,,4.287
1786312532.076,S3,recommend,432,obs,0.9682,0.5342,0.832,59.1,1.0,0.832,0.832
1786312532.076,S3,reserve,218,obs,0.966,0.9107,1.113,67.1,1.348,1.113,1.113
1786312532.076,S3,search,322,obs,0.9682,3.1841,3.922,63.1,4.019,3.922,3.922
1786312533.075,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786312533.075,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786312533.075,S1,search,0,prior,0.0,,,,6.899,,6.899
1786312533.075,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786312533.075,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786312533.075,S2,search,0,prior,0.0,,,,4.287,,4.287
1786312533.075,S3,recommend,435,obs,0.972,0.5187,0.72,55.2,1.0,0.72,0.72
1786312533.075,S3,reserve,214,obs,0.9662,0.9109,1.161,58.7,1.348,1.161,1.161
1786312533.075,S3,search,324,obs,0.9697,3.1847,3.937,59.2,4.019,3.937,3.937
1786312534.076,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786312534.076,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786312534.076,S1,search,0,prior,0.0,,,,6.899,,6.899
1786312534.076,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786312534.076,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786312534.076,S2,search,0,prior,0.0,,,,4.287,,4.287
1786312534.076,S3,recommend,435,obs,0.9722,0.5041,0.686,55.1,1.0,0.686,0.686
1786312534.076,S3,reserve,213,obs,0.966,0.9161,1.189,63.1,1.348,1.189,1.189
1786312534.076,S3,search,326,obs,0.9682,3.1817,3.797,59.2,4.019,3.797,3.797
1786312535.075,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786312535.075,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786312535.075,S1,search,0,prior,0.0,,,,6.899,,6.899
1786312535.075,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786312535.075,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786312535.075,S2,search,0,prior,0.0,,,,4.287,,4.287
1786312535.075,S3,recommend,429,obs,0.972,0.5157,0.792,51.2,1.0,0.792,0.792
1786312535.075,S3,reserve,219,obs,0.972,0.9032,1.168,54.8,1.348,1.168,1.168
1786312535.075,S3,search,327,obs,0.972,3.1797,3.797,55.2,4.019,3.797,3.797
1786312536.075,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786312536.075,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786312536.075,S1,search,0,prior,0.0,,,,6.899,,6.899
1786312536.075,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786312536.075,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786312536.075,S2,search,0,prior,0.0,,,,4.287,,4.287
1786312536.075,S3,recommend,435,obs,0.9742,0.5351,0.973,50.8,1.0,0.973,0.973
1786312536.075,S3,reserve,218,obs,0.9662,0.9951,1.202,58.8,1.348,1.202,1.202
1786312536.075,S3,search,323,obs,0.972,3.1754,3.766,54.8,4.019,3.766,3.766
1786312537.075,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786312537.075,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786312537.075,S1,search,0,prior,0.0,,,,6.899,,6.899
1786312537.075,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786312537.075,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786312537.075,S2,search,0,prior,0.0,,,,4.287,,4.287
1786312537.075,S3,recommend,438,obs,0.9762,0.526,0.822,46.8,1.0,0.822,0.822
1786312537.075,S3,reserve,214,obs,0.9718,0.9981,1.295,51.2,1.348,1.295,1.295
1786312537.075,S3,search,325,obs,0.9722,3.172,3.806,50.8,4.019,3.806,3.806
1786312538.075,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786312538.075,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786312538.075,S1,search,0,prior,0.0,,,,6.899,,6.899
1786312538.075,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786312538.075,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786312538.075,S2,search,0,prior,0.0,,,,4.287,,4.287
1786312538.075,S3,recommend,435,obs,0.9742,0.5112,0.759,46.8,1.0,0.759,0.759
1786312538.075,S3,reserve,215,obs,0.972,0.9122,1.154,54.8,1.348,1.154,1.154
1786312538.075,S3,search,328,obs,0.9742,3.19,3.958,50.8,4.019,3.958,3.958
1786312539.075,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786312539.075,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786312539.075,S1,search,0,prior,0.0,,,,6.899,,6.899
1786312539.075,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786312539.075,S2,reserve,0,prior,0.0,,,,1.332,,1.332
