ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786385368.628,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385368.628,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385368.628,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385368.628,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786385368.628,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786385368.628,S2,search,0,prior,0.0,,,,4.287,,4.287
1786385368.628,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786385368.628,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786385368.628,S3,search,0,prior,0.0,,,,4.019,,4.019
1786385369.629,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385369.629,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385369.629,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385369.629,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786385369.629,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786385369.629,S2,search,0,prior,0.0,,,,4.287,,4.287
1786385369.629,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786385369.629,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786385369.629,S3,search,0,prior,0.0,,,,4.019,,4.019
1786385370.628,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385370.628,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385370.628,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385370.628,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786385370.628,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786385370.628,S2,search,0,prior,0.0,,,,4.287,,4.287
1786385370.628,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786385370.628,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786385370.628,S3,search,0,prior,0.0,,,,4.019,,4.019
1786385371.629,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385371.629,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385371.629,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385371.629,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786385371.629,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786385371.629,S2,search,0,prior,0.0,,,,4.287,,4.287
1786385371.629,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786385371.629,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786385371.629,S3,search,0,prior,0.0,,,,4.019,,4.019
1786385372.633,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385372.633,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385372.633,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385372.633,S2,recommend,71,prior,0.1955,1.1926,2.463,55.6,0.975,,0.975
1786385372.633,S2,reserve,46,prior,0.1908,12.7523,100.683,62.7,1.332,,1.332
1786385372.633,S2,search,64,prior,0.1966,5.1552,8.006,56.1,4.287,,4.287
1786385372.633,S3,recommend,69,prior,0.1898,0.5861,1.215,65.3,1.0,,1.0
1786385372.633,S3,reserve,25,prior,0.1907,10.6921,71.554,70.0,1.348,,1.348
1786385372.633,S3,search,42,prior,0.1798,3.1119,3.593,77.7,4.019,,4.019
1786385373.636,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385373.636,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385373.636,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385373.636,S2,recommend,280,prior_fill,0.6972,1.045,2.472,52.5,0.975,,0.975
1786385373.636,S2,reserve,147,prior_fill,0.6933,4.7692,4.397,57.5,1.332,,1.332
1786385373.636,S2,search,221,prior_fill,0.697,4.757,7.292,55.0,4.287,,4.287
1786385373.636,S3,recommend,219,prior_fill,0.6895,0.5592,1.041,65.6,1.0,,1.0
1786385373.636,S3,reserve,100,prior_fill,0.6856,3.3015,1.645,80.1,1.348,,1.348
1786385373.636,S3,search,151,prior_fill,0.6832,3.1414,3.613,70.6,4.019,,4.019
1786385374.636,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385374.636,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385374.636,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385374.636,S2,recommend,405,obs,0.972,1.0702,2.472,53.1,0.975,2.472,2.472
1786385374.636,S2,reserve,197,obs,0.961,1.2089,2.153,73.1,1.332,2.153,2.153
1786385374.636,S2,search,308,obs,0.9674,4.5973,7.172,55.6,4.287,7.172,7.172
1786385374.636,S3,recommend,290,obs,0.9647,0.5372,0.756,68.1,1.0,0.756,0.756
1786385374.636,S3,reserve,145,obs,0.959,0.8363,1.038,75.0,1.348,1.038,1.038
1786385374.636,S3,search,209,obs,0.961,3.1431,3.788,70.6,4.019,3.788,3.788
1786385375.637,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385375.637,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385375.637,S1,search,0,prior,0.0,,,,6.899,,6.899
