ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786385889.282,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385889.282,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385889.282,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385889.282,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786385889.282,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786385889.282,S2,search,0,prior,0.0,,,,4.287,,4.287
1786385889.282,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786385889.282,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786385889.282,S3,search,0,prior,0.0,,,,4.019,,4.019
1786385890.283,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385890.283,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385890.283,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385890.283,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786385890.283,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786385890.283,S2,search,0,prior,0.0,,,,4.287,,4.287
1786385890.283,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786385890.283,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786385890.283,S3,search,0,prior,0.0,,,,4.019,,4.019
1786385891.283,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385891.283,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385891.283,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385891.283,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786385891.283,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786385891.283,S2,search,0,prior,0.0,,,,4.287,,4.287
1786385891.283,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786385891.283,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786385891.283,S3,search,0,prior,0.0,,,,4.019,,4.019
1786385892.283,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385892.283,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385892.283,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385892.283,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786385892.283,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786385892.283,S2,search,0,prior,0.0,,,,4.287,,4.287
1786385892.283,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786385892.283,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786385892.283,S3,search,0,prior,0.0,,,,4.019,,4.019
1786385893.286,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385893.286,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385893.286,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385893.286,S2,recommend,88,prior,0.1907,0.9642,2.256,79.4,0.975,,0.975
1786385893.286,S2,reserve,42,prior,0.1944,2.0868,2.891,76.9,1.332,,1.332
1786385893.286,S2,search,56,prior,0.1877,4.5344,7.315,81.9,4.287,,4.287
1786385893.286,S3,recommend,48,prior,0.1801,0.561,0.874,88.2,1.0,,1.0
1786385893.286,S3,reserve,28,prior,0.1801,15.9054,96.958,99.4,1.348,,1.348
1786385893.286,S3,search,47,prior,0.1857,3.1376,3.741,91.9,4.019,,4.019
1786385894.291,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385894.291,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385894.291,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385894.291,S2,recommend,295,prior_fill,0.6914,0.9872,2.221,78.2,0.975,,0.975
1786385894.291,S2,reserve,140,prior_fill,0.6931,1.5231,2.716,79.4,1.332,,1.332
1786385894.291,S2,search,218,prior_fill,0.6827,4.3559,6.337,91.9,4.287,,4.287
1786385894.291,S3,recommend,200,prior_fill,0.6795,0.5459,0.836,89.4,1.0,,1.0
1786385894.291,S3,reserve,105,prior_fill,0.6857,4.8468,3.417,88.1,1.348,,1.348
1786385894.291,S3,search,149,prior_fill,0.6745,3.1351,3.831,114.5,4.019,,4.019
1786385895.291,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385895.291,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385895.291,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385895.291,S2,recommend,399,obs,0.96,1.0057,2.221,76.9,0.975,2.221,2.221
1786385895.291,S2,reserve,205,obs,0.9487,1.3217,2.659,83.2,1.332,2.659,2.659
1786385895.291,S2,search,300,obs,0.9563,4.4654,7.175,81.9,4.287,7.175,7.175
1786385895.291,S3,recommend,287,obs,0.9569,0.5339,0.885,84.4,1.0,0.885,0.885
1786385895.291,S3,reserve,134,obs,0.9531,0.8443,1.045,89.4,1.348,1.045,1.045
1786385895.291,S3,search,212,obs,0.9525,3.1265,3.8,94.4,4.019,3.8,3.8
1786385896.291,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385896.291,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385896.291,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385896.291,S2,recommend,405,obs,0.96,0.9628,2.177,73.2,0.975,2.177,2.177
1786385896.291,S2,reserve,209,obs,0.96,1.3526,2.825,78.2,1.332,2.825,2.825
1786385896.291,S2,search,293,obs,0.9563,4.5309,7.185,76.9,4.287,7.185,7.185
1786385896.291,S3,recommend,278,obs,0.9556,0.5332,0.906,88.1,1.0,0.906,0.906
1786385896.291,S3,reserve,132,obs,0.9482,0.8273,0.986,100.6,1.348,0.986,0.986
1786385896.291,S3,search,221,obs,0.9531,3.0993,3.816,89.4,4.019,3.816,3.816
1786385897.290,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385897.290,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385897.290,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385897.290,S2,recommend,394,obs,0.9606,0.9023,1.894,74.1,0.975,1.894,1.894
1786385897.290,S2,reserve,223,obs,0.9631,1.2679,2.487,72.9,1.332,2.487,2.487
1786385897.290,S2,search,289,obs,0.9569,4.4316,7.168,76.5,4.287,7.168,7.168
1786385897.290,S3,recommend,287,obs,0.9563,0.6168,0.885,85.4,1.0,0.885,0.885
1786385897.290,S3,reserve,122,obs,0.9525,0.839,0.945,86.6,1.348,0.945,0.945
1786385897.290,S3,search,225,obs,0.9488,3.1253,3.877,99.1,4.019,3.877,3.877
1786385898.290,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385898.290,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385898.290,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385898.290,S2,recommend,403,obs,0.9606,0.9024,1.871,77.8,0.975,1.871,1.871
1786385898.290,S2,reserve,227,obs,0.96,1.2215,2.435,74.1,1.332,2.435,2.435
1786385898.290,S2,search,280,obs,0.9581,4.4754,7.168,79.1,4.287,7.168,7.168
1786385898.290,S3,recommend,282,obs,0.9581,0.625,0.885,80.4,1.0,0.885,0.885
1786385898.290,S3,reserve,118,obs,0.9344,0.8799,1.428,81.6,1.348,1.428,1.428
1786385898.290,S3,search,230,obs,0.9419,3.1238,3.703,101.6,4.019,3.703,3.703
1786385899.290,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385899.290,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385899.290,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385899.290,S2,recommend,404,obs,0.9637,1.1473,2.63,71.9,0.975,2.63,2.63
1786385899.290,S2,reserve,218,obs,0.9604,1.4242,3.331,76.9,1.332,3.331,3.331
1786385899.290,S2,search,283,obs,0.9612,5.0094,8.794,74.4,4.287,8.794,8.794
1786385899.290,S3,recommend,284,obs,0.9556,0.5322,0.846,81.9,1.0,0.846,0.846
1786385899.290,S3,reserve,122,obs,0.9294,0.872,1.304,93.1,1.348,1.304,1.304
1786385899.290,S3,search,230,obs,0.9563,3.0944,3.691,83.1,4.019,3.691,3.691
1786385900.290,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385900.290,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385900.290,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385900.290,S2,recommend,391,obs,0.9606,1.1716,2.717,74.1,0.975,2.717,2.717
1786385900.290,S2,reserve,204,obs,0.9594,1.5086,3.537,80.3,1.332,3.537,3.537
1786385900.290,S2,search,296,obs,0.9538,5.0267,8.122,77.8,4.287,8.122,8.122
1786385900.290,S3,recommend,296,obs,0.9494,0.5259,0.752,89.1,1.0,0.752,0.752
1786385900.290,S3,reserve,136,obs,0.9488,0.8173,1.102,86.6,1.348,1.102,1.102
1786385900.290,S3,search,218,obs,0.9569,3.1093,3.691,84.1,4.019,3.691,3.691
1786385901.290,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385901.290,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385901.290,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385901.290,S2,recommend,389,obs,0.9638,0.9453,1.987,70.6,0.975,1.987,1.987
1786385901.290,S2,reserve,214,obs,0.9556,1.2947,2.55,75.6,1.332,2.55,2.55
1786385901.290,S2,search,300,obs,0.9556,4.5184,7.017,74.4,4.287,7.017,7.017
1786385901.290,S3,recommend,293,obs,0.9563,0.5165,0.742,84.3,1.0,0.742,0.742
1786385901.290,S3,reserve,129,obs,0.9569,0.79,0.924,81.9,1.348,0.924,0.924
1786385901.290,S3,search,216,obs,0.9488,3.1114,3.785,101.9,4.019,3.785,3.785
1786385902.290,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385902.290,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385902.290,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385902.290,S2,recommend,391,obs,0.96,0.9525,1.969,79.0,0.975,1.969,1.969
1786385902.290,S2,reserve,214,obs,0.9597,1.2068,2.245,70.3,1.332,2.245,2.245
1786385902.290,S2,search,307,obs,0.9619,4.387,6.575,74.0,4.287,6.575,6.575
1786385902.290,S3,recommend,291,obs,0.9556,0.5015,0.723,80.3,1.0,0.723,0.723
1786385902.290,S3,reserve,134,obs,0.9563,0.8014,1.039,84.0,1.348,1.039,1.039
1786385902.290,S3,search,204,obs,0.9563,3.0982,3.786,81.5,4.019,3.786,3.786
1786385903.290,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385903.290,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385903.290,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385903.290,S2,recommend,392,obs,0.9644,0.9968,2.062,68.0,0.975,2.062,2.062
1786385903.290,S2,reserve,198,obs,0.96,1.2521,2.349,71.9,1.332,2.349,2.349
1786385903.290,S2,search,315,obs,0.9638,4.5027,7.049,70.6,4.287,7.049,7.049
1786385903.290,S3,recommend,296,obs,0.96,0.4927,0.683,75.6,1.0,0.683,0.683
1786385903.290,S3,reserve,145,obs,0.9444,0.8188,1.093,88.1,1.348,1.093,1.093
1786385903.290,S3,search,198,obs,0.9568,3.0931,3.785,85.6,4.019,3.785,3.785
1786385904.290,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385904.290,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385904.290,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385904.290,S2,recommend,399,obs,0.9638,0.9849,2.062,70.2,0.975,2.062,2.062
1786385904.290,S2,reserve,198,obs,0.9519,1.2402,2.463,67.7,1.332,2.463,2.463
1786385904.290,S2,search,302,obs,0.9637,4.5283,6.979,71.5,4.287,6.979,6.979
1786385904.290,S3,recommend,289,obs,0.9563,0.5246,0.779,84.0,1.0,0.779,0.779
1786385904.290,S3,reserve,143,obs,0.9563,0.8234,1.028,82.8,1.348,1.028,1.028
1786385904.290,S3,search,212,obs,0.9482,3.0722,3.654,87.7,4.019,3.654,3.654
1786385905.290,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385905.290,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385905.290,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385905.290,S2,recommend,391,obs,0.9638,0.9663,2.021,64.0,0.975,2.021,2.021
1786385905.290,S2,reserve,210,obs,0.9644,1.2034,2.533,69.0,1.332,2.533,2.533
1786385905.290,S2,search,296,obs,0.9644,4.5106,6.8,66.4,4.287,6.8,6.8
1786385905.290,S3,recommend,297,obs,0.9599,0.5334,0.854,79.0,1.0,0.854,0.854
1786385905.290,S3,reserve,132,obs,0.9594,0.8511,1.054,77.8,1.348,1.054,1.054
1786385905.290,S3,search,221,obs,0.9531,3.0732,3.634,82.8,4.019,3.634,3.634
1786385906.291,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786385906.291,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786385906.291,S1,search,0,prior,0.0,,,,6.899,,6.899
1786385906.291,S2,recommend,388,obs,0.9675,0.9534,2.17,63.0,0.975,2.17,2.17
1786385906.291,S2,reserve,215,obs,0.96,1.1912,2.307,73.0,1.332,2.307,2.307
1786385906.291,S2,search,293,obs,0.9531,4.4522,6.877,76.8,4.287,6.877,6.877
1786385906.291,S3,recommend,296,obs,0.9594,0.5367,0.945,75.6,1.0,0.945,0.945
1786385906.291,S3,reserve,131,obs,0.96,0.844,1.075,79.3,1.348,1.075,1.075
1786385906.291,S3,search,222,obs,0.9594,3.1138,3.689,78.1,4.019,3.689,3.689
1786385907.291,S1,recommend,0,prior,0.0,,,,1.24,,1.24
