t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,0,470,333,0,0.000000
1,0,464,336,0,0.000000
2,0,463,338,0,0.000000
3,0,461,338,0,0.000000
4,0,467,332,0,0.000000
5,0,462,337,0,0.000000
6,0,469,335,0,0.000000
7,0,466,332,0,0.000000
8,0,471,330,0,0.000000
9,0,473,327,0,0.000000
10,0,464,335,0,0.000000
11,0,467,334,0,0.000000
12,0,473,326,0,0.000000
13,0,466,334,0,0.000000
14,0,471,330,0,0.000000
15,0,470,330,0,0.000000
16,0,459,340,0,0.000000
17,0,469,330,0,0.000000
18,0,467,335,0,0.000000
19,0,464,335,0,0.000000
20,0,454,345,0,0.000000
21,0,472,329,0,0.000000
22,0,470,329,0,0.000000
23,0,465,334,0,0.000000
24,0,473,331,0,0.000000
25,0,470,329,0,0.000000
26,0,461,338,0,0.000000
27,0,465,336,0,0.000000
28,0,469,331,0,0.000000
29,0,460,339,0,0.000000
30,0,470,329,0,0.000000
31,0,477,325,0,0.000000
32,0,463,334,0,0.000000
33,0,474,330,0,0.000000
34,0,468,331,0,0.000000
35,0,472,328,0,0.000000
36,0,460,339,0,0.000000
37,0,462,340,0,0.000000
38,0,468,330,0,0.000000
39,0,464,336,0,0.000000
40,0,464,335,0,0.000000
41,0,470,331,0,0.000000
42,0,475,326,0,0.000000
43,0,465,335,0,0.000000
44,0,475,324,0,0.000000
45,0,465,336,0,0.000000
46,0,461,338,0,0.000000
47,0,466,335,0,0.000000
48,0,469,330,0,0.000000
49,0,466,332,0,0.000000
50,0,467,336,0,0.000000
51,0,469,332,0,0.000000
52,0,460,338,0,0.000000
53,0,473,326,0,0.000000
54,0,471,330,0,0.000000
55,0,468,331,0,0.000000
56,0,464,337,0,0.000000
57,0,468,333,0,0.000000
58,0,465,335,0,0.000000
59,0,465,332,0,0.000000
60,0,460,343,0,0.000000
61,0,472,329,0,0.000000
62,0,465,332,0,0.000000
63,0,470,333,0,0.000000
64,0,461,336,0,0.000000
65,0,472,330,0,0.000000
66,0,463,338,0,0.000000
67,0,464,332,0,0.000000
68,0,470,333,0,0.000000
69,0,468,332,0,0.000000
70,0,470,331,0,0.000000
71,0,469,330,0,0.000000
72,0,472,329,0,0.000000
73,0,473,325,0,0.000000
74,0,468,332,0,0.000000
75,0,461,338,0,0.000000
76,0,464,335,0,0.000000
77,0,469,332,0,0.000000
78,0,471,331,0,0.000000
79,0,465,335,0,0.000000
80,0,474,327,0,0.000000
81,0,469,331,0,0.000000
82,0,471,327,0,0.000000
83,0,467,334,0,0.000000
84,0,465,333,0,0.000000
85,0,475,325,0,0.000000
86,0,462,338,0,0.000000
87,0,471,330,0,0.000000
88,0,472,328,0,0.000000
89,0,475,326,0,0.000000
90,0,463,336,0,0.000000
91,0,460,338,0,0.000000
92,0,463,338,0,0.000000
93,0,470,331,0,0.000000
94,0,467,333,0,0.000000
95,0,468,333,0,0.000000
96,0,458,343,0,0.000000
97,0,463,336,0,0.000000
98,0,464,337,0,0.000000
99,0,465,333,0,0.000000
100,0,461,339,0,0.000000
101,0,468,334,0,0.000000
102,0,470,329,0,0.000000
103,0,467,330,0,0.000000
104,0,475,328,0,0.000000
105,0,460,340,0,0.000000
106,0,466,336,0,0.000000
107,0,467,330,0,0.000000
108,0,471,329,0,0.000000
109,0,473,324,0,0.000000
110,0,464,339,0,0.000000
111,0,468,333,0,0.000000
112,0,460,338,0,0.000000
113,0,468,332,0,0.000000
114,0,475,328,0,0.000000
115,0,468,329,0,0.000000
116,0,473,329,0,0.000000
117,0,471,330,0,0.000000
118,0,464,335,0,0.000000
119,0,471,328,0,0.000000
120,0,466,331,0,0.000000
121,53,445,304,0,0.066085
122,101,427,270,0,0.126566
123,100,429,272,0,0.124844
124,100,429,271,0,0.125000
125,102,424,274,0,0.127500
126,100,422,279,0,0.124844
127,95,423,281,0,0.118899
128,105,424,271,0,0.131250
129,96,423,281,0,0.120000
130,91,432,277,0,0.113750
131,96,425,277,0,0.120301
132,100,427,276,0,0.124533
133,102,425,273,0,0.127500
134,97,428,274,0,0.121402
135,95,436,270,0,0.118602
136,103,420,276,0,0.128911
137,90,435,276,0,0.112360
138,102,421,275,0,0.127820
139,100,428,275,0,0.124533
140,100,423,276,0,0.125156
141,102,420,275,0,0.127980
142,94,433,276,0,0.117061
143,98,419,283,0,0.122500
144,109,415,277,0,0.136080
145,96,428,275,0,0.120150
146,105,414,280,0,0.131414
147,93,430,276,0,0.116395
148,88,427,283,0,0.110276
149,95,435,275,0,0.118012
150,89,431,278,0,0.111529
151,99,424,278,0,0.123596
152,99,425,275,0,0.123905
153,101,429,272,0,0.125935
154,92,427,278,0,0.115433
155,89,441,271,0,0.111111
156,93,435,273,0,0.116105
157,97,424,277,0,0.121554
158,99,429,275,0,0.123288
159,102,423,274,0,0.127660
160,97,427,273,0,0.121706
161,100,423,279,0,0.124688
162,101,422,277,0,0.126250
163,112,410,278,0,0.140000
164,88,438,275,0,0.109863
165,100,428,272,0,0.125000
166,105,409,284,0,0.131579
167,93,426,280,0,0.116395
168,103,418,280,0,0.128589
169,104,419,278,0,0.129838
170,105,424,273,0,0.130923
171,97,424,278,0,0.121402
172,101,420,278,0,0.126408
173,100,426,277,0,0.124533
174,94,425,279,0,0.117794
175,93,429,276,0,0.116541
176,95,429,278,0,0.118454
177,90,436,274,0,0.112500
178,92,427,281,0,0.115000
179,109,411,277,0,0.136763
180,93,434,275,0,0.115960
181,97,449,248,0,0.122166
182,110,471,221,0,0.137157
183,104,472,223,0,0.130163
184,107,468,226,0,0.133583
185,91,484,226,0,0.113608
186,104,461,232,0,0.130489
187,84,496,224,0,0.104478
188,90,498,211,0,0.112641
189,102,479,216,0,0.127980
190,106,466,229,0,0.132335
191,99,478,223,0,0.123750
192,91,485,224,0,0.113750
193,96,481,224,0,0.119850
194,100,474,226,0,0.125000
195,97,477,227,0,0.121099
196,99,476,227,0,0.123441
197,99,479,222,0,0.123750
198,99,478,219,0,0.124372
199,93,487,223,0,0.115816
200,96,476,222,0,0.120907
201,89,487,226,0,0.110973
202,98,484,220,0,0.122195
203,101,468,232,0,0.126092
204,94,484,219,0,0.117942
205,93,485,226,0,0.115672
206,95,477,224,0,0.119347
207,96,478,227,0,0.119850
208,98,482,221,0,0.122347
209,99,467,232,0,0.124060
210,96,484,223,0,0.119552
211,106,470,223,0,0.132666
212,107,466,228,0,0.133583
213,105,474,220,0,0.131414
214,99,477,224,0,0.123750
215,103,474,224,0,0.128589
216,101,475,225,0,0.126092
217,97,479,221,0,0.121706
218,95,483,220,0,0.119048
219,107,465,230,0,0.133416
220,100,481,220,0,0.124844
221,100,480,221,0,0.124844
222,89,490,218,0,0.111669
223,101,483,218,0,0.125935
224,95,480,224,0,0.118899
225,99,481,220,0,0.123750
226,95,481,225,0,0.118602
227,90,487,224,0,0.112360
228,95,484,222,0,0.118602
229,96,482,219,0,0.120452
230,91,486,225,0,0.113466
